CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested )","Bharatiya Janata Party",SURAT,GUJARAT,NULL
"SHER SINGH GHUBAYA","Indian National Congress",FIROZPUR,PUNJAB,23.6977
"DR DHARAMVIRA GANDHI","Indian National Congress",PATIALA,PUNJAB,26.5351
"GURJEET SINGH AUJLA","Indian National Congress",AMRITSAR,PUNJAB,28.1764
"MALVINDER SINGH KANG","Aam Aadmi Party","ANANDPUR SAHIB",PUNJAB,29.0790
"SARABJEET SINGH KHALSA",Independent,FARIDKOT,PUNJAB,29.3815
"AMRINDER SINGH RAJA WARRING","Indian National Congress",LUDHIANA,PUNJAB,30.4227
"JADHAV PRATAPRAO GANPATRAO","Shiv Sena",BULDHANA,MAHARASHTRA,31.5339
"DR. RAJ KUMAR CHABBEWAL","Aam Aadmi Party",HOSHIARPUR,PUNJAB,32.0362
"HARSIMRAT KAUR BADAL","Shiromani Akali Dal",BATHINDA,PUNJAB,32.7109
"ADV ADOOR PRAKASH","Indian National Congress",ATTINGAL,KERALA,33.2931
"SUKHJINDER SINGH RANDHAWA","Indian National Congress",GURDASPUR,PUNJAB,33.7757
"MADHAVANENI RAGHUNANDAN RAO","Bharatiya Janata Party",MEDAK,TELANGANA,33.9925
"AMAR SINGH","Indian National Congress","FATEHGARH SAHIB",PUNJAB,34.1379
"MANI. A.","Dravida Munnetra Kazhagam",DHARMAPURI,"TAMIL NADU",34.6735
"MOHAMMAD JAWED","Indian National Congress",KISHANGANJ,BIHAR,34.9970
"CHANDRA PRAKASH CHOUDHARY","AJSU Party",GIRIDIH,JHARKHAND,35.6679
"GURMEET SINGH MEET HAYER","Aam Aadmi Party",SANGRUR,PUNJAB,36.0600
"MANICKAM TAGORE B","Indian National Congress",VIRUDHUNAGAR,"TAMIL NADU",36.2798
"BHUMARE SANDIPANRAO ASARAM","Shiv Sena",AURANGABAD,MAHARASHTRA,36.5636
