CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_UP_VOTE_PERCENTAGE
"ANIL CHOPRA","Indian National Congress","JAIPUR RURAL",RAJASTHAN,48.83
"SHUBHKARAN CHOUDHARY","Bharatiya Janata Party",JHUNJHUNU,RAJASTHAN,47.81
"DR. UMESH G JADHAV","Bharatiya Janata Party",GULBARGA,KARNATAKA,47.7
"SANJAY TANDON","Bharatiya Janata Party",CHANDIGARH,CHANDIGARH,47.67
"MANSOOR ALI KHAN","Indian National Congress","BANGALORE CENTRAL",KARNATAKA,47.57
"BHAMRE SUBHASH RAMRAO","Bharatiya Janata Party",DHULE,MAHARASHTRA,47.57
"ALOK MISRA","Indian National Congress",KANPUR,"UTTAR PRADESH",47.56
"PRAVEEN SINGH ARON","Samajwadi Party",BAREILLY,"UTTAR PRADESH",47.55
"ANANDSWAMY GADDADEVARMATH","Indian National Congress",HAVERI,KARNATAKA,47.43
"AMOL GAJANAN KIRTIKAR","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI NORTH WEST",MAHARASHTRA,47.4
"PRAHLAD GUNJAL","Indian National Congress",KOTA,RAJASTHAN,47.23
"ADV UJWAL NIKAM","Bharatiya Janata Party","MUMBAI NORTH CENTRAL",MAHARASHTRA,47.12
"BIRESH THAKUR","Indian National Congress",KANKER,CHHATTISGARH,47.08
"DR. NAVAL KISHOR SHAKYA","Samajwadi Party",FARRUKHABAD,"UTTAR PRADESH",46.94
"CHANDANJI TALAJI THAKOR","Indian National Congress",PATAN,GUJARAT,46.94
"MOHAMMED FAIZAL PP","Nationalist Congress Party – Sharadchandra Pawar",LAKSHADWEEP,LAKSHADWEEP,46.91
"MOHAN LAL BADOLI","Bharatiya Janata Party",SONIPAT,HARYANA,46.88
"UTTAM BARIK SON OF LATE BIRENDRA BARIK","All India Trinamool Congress",KANTHI,"WEST BENGAL",46.73
"DR. REKHABEN HITESHBHAI CHAUDHARI","Bharatiya Janata Party",BANASKANTHA,GUJARAT,46.62
"RAMSWAROOP KOLI","Bharatiya Janata Party",BHARATPUR,RAJASTHAN,46.59
B.N.CHANDRAPPA,"Indian National Congress",CHITRADURGA,KARNATAKA,46.58
"LALIT YADAV","Indian National Congress",ALWAR,RAJASTHAN,46.57
"PRAJWAL REVANNA","Janata Dal  (Secular)",HASSAN,KARNATAKA,46.52
"DR . BASAVARAJ. K. SHARANAPPA","Bharatiya Janata Party",KOPPAL,KARNATAKA,46.44
SHAHNAWAZ,"Rashtriya Janata Dal",ARARIA,BIHAR,46.31
"RAO DAN SINGH","Indian National Congress",BHIWANI-MAHENDRAGARH,HARYANA,46.24
"BHUPESH BAGHEL","Indian National Congress",RAJNANDGAON,CHHATTISGARH,46.18
"NISITH PRAMANIK","Bharatiya Janata Party",COOCHBEHAR,"WEST BENGAL",46.16
"DR CHUMBEN MURRY","Nationalist Democratic Progressive Party",NAGALAND,NAGALAND,46.13
"DEVENDRA JHAJHARIA","Bharatiya Janata Party",CHURU,RAJASTHAN,46.01
"GAYITHRI SIDDESHWARA","Bharatiya Janata Party",DAVANAGERE,KARNATAKA,45.97
"RAJU ALAGUR.","Indian National Congress",BIJAPUR,KARNATAKA,45.95
"HAFIZ RASHID AHMED CHOUDHURY","Indian National Congress",KARIMGANJ,ASSAM,45.93
"VIRENDRA CHAUDHARY","Indian National Congress",MAHARAJGANJ,"UTTAR PRADESH",45.92
"SARMISTHA SETHI","Biju Janata Dal",JAJPUR,ODISHA,45.87
"DR CHEVIREDDY BHASKAR REDD","Yuvajana Sramika Rythu Congress Party",ONGOLE,"ANDHRA PRADESH",45.82
"RAJ BABBAR","Indian National Congress",GURGAON,HARYANA,45.79
"K V GOWTHAM","Indian National Congress",KOLAR,KARNATAKA,45.76
"SAMYUKTA SHIVANAND PATIL","Indian National Congress",BAGALKOT,KARNATAKA,45.74
"GOVINDRAM MEGHWAL","Indian National Congress",BIKANER,RAJASTHAN,45.7
"BANTO KATARIA","Bharatiya Janata Party",AMBALA,HARYANA,45.64
"BIPLAB MITRA","All India Trinamool Congress",BALURGHAT,"WEST BENGAL",45.63
"AGNIMITRA PAUL","Bharatiya Janata Party",MEDINIPUR,"WEST BENGAL",45.56
"SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party","TONK-SAWAI MADHOPUR",RAJASTHAN,45.56
"VIKRAMADITYA SINGH","Indian National Congress",MANDI,"HIMACHAL PRADESH",45.51
"RAJA AMARESHWARA NAIK.","Bharatiya Janata Party",RAICHUR,KARNATAKA,45.49
"SANTOSH KUMAR","Janata Dal  (United)",PURNIA,BIHAR,45.47
"B. SREERAMULU","Bharatiya Janata Party",BELLARY,KARNATAKA,45.46
"MIHIR CHANDRAKANT KOTECHA","Bharatiya Janata Party","MUMBAI NORTH EAST",MAHARASHTRA,45.45
"PALLAVI SHRINIVAS DEMPO","Bharatiya Janata Party","SOUTH GOA",GOA,45.35
"RAM VITTHAL SATPUTE","Bharatiya Janata Party",SOLAPUR,MAHARASHTRA,45.33
"SUNITA VERMA","Samajwadi Party",MEERUT,"UTTAR PRADESH",45.32
"ARUP KANTI DIGAR","Bharatiya Janata Party",ARAMBAGH,"WEST BENGAL",45.3
"VINOD ASOOTI","Indian National Congress",DHARWAD,KARNATAKA,45.29
"KULDEEP KUMAR (MONU)","Aam Aadmi Party","EAST DELHI",DELHI,45.18
"PRIYANKA BALAN MEGHWAL","Bharatiya Janata Party",GANGANAGAR,RAJASTHAN,45.16
"SUMEDHANAND SARASWATI","Bharatiya Janata Party",SIKAR,RAJASTHAN,45.08
"SADAL PRASAD","Indian National Congress",BANSGAON,"UTTAR PRADESH",45.04
"AKHILESH PRATAP SINGH","Indian National Congress",DEORIA,"UTTAR PRADESH",45.02
"PHOOL SINGH BARAIYA","Indian National Congress",BHIND,"MADHYA PRADESH",45.02
"SHIVESH KUMAR","Bharatiya Janata Party",SASARAM,BIHAR,45.01
"DR. SUJAY RADHAKRISHNA VIKHEPATIL","Bharatiya Janata Party",AHMEDNAGAR,MAHARASHTRA,44.95
"SHASHIKANT JAYVANTRAO SHINDE","Nationalist Congress Party – Sharadchandra Pawar",SATARA,MAHARASHTRA,44.94
"SHREYA VERMA","Samajwadi Party",GONDA,"UTTAR PRADESH",44.92
"ROHINI ACHARYA","Rashtriya Janata Dal",SARAN,BIHAR,44.84
"JYOTI MIRDHA","Bharatiya Janata Party",NAGAUR,RAJASTHAN,44.79
"PRAVEEN PATHAK","Indian National Congress",GWALIOR,"MADHYA PRADESH",44.77
"AMIT CHAVDA","Indian National Congress",ANAND,GUJARAT,44.74
"ANNASAHEB SHANKAR JOLLE","Bharatiya Janata Party",CHIKKODI,KARNATAKA,44.69
"VARA PRASAD RAO VELAGAPALLI","Bharatiya Janata Party",THIRUPATHI,"ANDHRA PRADESH",44.67
"ANNU TANDON","Samajwadi Party",UNNAO,"UTTAR PRADESH",44.56
"SUJATA MONDAL","All India Trinamool Congress",BISHNUPUR,"WEST BENGAL",44.56
"SHASHI SINGH KORAM","Indian National Congress",SURGUJA,CHHATTISGARH,44.55
"SUNIL BABURAO MENDHE","Bharatiya Janata Party","BHANDARA GONDIYA",MAHARASHTRA,44.53
"PANKAJA GOPINATHRAO MUNDE","Bharatiya Janata Party",BEED,MAHARASHTRA,44.5
"KARAN SINGH UCHIYARDA","Indian National Congress",JODHPUR,RAJASTHAN,44.4
"DR. SHIVKUMAR DAHARIYA","Indian National Congress",JANJGIR-CHAMPA,CHHATTISGARH,44.4
"YAMINI YASHWANT JADHAV","Shiv Sena","MUMBAI SOUTH",MAHARASHTRA,44.36
"RAJVEER SINGH (RAJU BHAIYA)","Bharatiya Janata Party",ETAH,"UTTAR PRADESH",44.32
"SITA MURMU","Bharatiya Janata Party",DUMKA,JHARKHAND,44.32
