PARTY,SEATS_PARTICIPATED,SEATS_WON,SUCCESS_RATIO
Independent,532,7,1.3158
"Aazad Samaj Party (Kanshi Ram)",26,1,3.8462
"Bharat Adivasi Party",22,1,4.5455
"Communist Party of India",30,2,6.6667
"All India Majlis-E-Ittehadul Muslimeen",15,1,6.6667
"Communist Party of India  (Marxist)",52,4,7.6923
"Shiromani Akali Dal",13,1,7.6923
"Revolutionary Socialist Party",10,1,10.0000
"Aam Aadmi Party",22,3,13.6364
"Viduthalai Chiruthaigal Katchi",13,2,15.3846
"Yuvajana Sramika Rythu Congress Party",25,4,16.0000
"Rashtriya Janata Dal",24,4,16.6667
"Nationalist Congress Party",5,1,20.0000
"Communist Party of India  (Marxist-Leninist)  (Liberation)",7,2,28.5714
"Indian National Congress",328,99,30.1829
"AJSU Party",3,1,33.3333
"Shiv Sena (Uddhav Balasaheb Thackrey)",21,9,42.8571
"Shiv Sena",15,7,46.6667
"Jharkhand Mukti Morcha",6,3,50.0000
"Apna Dal (Soneylal)",2,1,50.0000
"Asom Gana Parishad",2,1,50.0000
"Samajwadi Party",71,37,52.1127
"Bharatiya Janata Party",441,240,54.4218
"All India Trinamool Congress",48,29,60.4167
"Nationalist Congress Party – Sharadchandra Pawar",12,8,66.6667
"Janata Dal  (Secular)",3,2,66.6667
"Jammu & Kashmir National Conference",3,2,66.6667
"Janata Dal  (United)",16,12,75.0000
"Telugu Desam",17,16,94.1176
"Dravida Munnetra Kazhagam",22,22,100.0000
"Lok Janshakti Party(Ram Vilas)",5,5,100.0000
"Indian Union Muslim League",3,3,100.0000
"Rashtriya Lok Dal",2,2,100.0000
"Janasena Party",2,2,100.0000
"Voice of the People Party",1,1,100.0000
"Zoram People’s Movement",1,1,100.0000
"Kerala Congress",1,1,100.0000
"Rashtriya Loktantrik Party",1,1,100.0000
"Sikkim Krantikari Morcha",1,1,100.0000
"Hindustani Awam Morcha (Secular)",1,1,100.0000
"Marumalarchi Dravida Munnetra Kazhagam",1,1,100.0000
"United People’s Party Liberal",1,1,100.0000
