CANDIDATE,CONSTITUENCY,STATE,PARTY,RESULT
"PRASUN BANERJEE",HOWRAH,"WEST BENGAL","All India Trinamool Congress",WON
"RAHUL GANDHI",WAYANAD,KERALA,"Indian National Congress",WON
"RAHUL GANDHI","RAE BARELI","UTTAR PRADESH","Indian National Congress",WON
"PRASUN BANERJEE","MALDAHA UTTAR","WEST BENGAL","All India Trinamool Congress",LOST
"YASHUTOSH LAHARE",BILASPUR,CHHATTISGARH,"Ambedkarite Party of India",LOST
"YASHUTOSH LAHARE",RAIPUR,CHHATTISGARH,"Ambedkarite Party of India",LOST
"RANJIT KUMAR",HOSHIARPUR,PUNJAB,"Bahujan Samaj Party",LOST
"RANJIT KUMAR",NAWADA,BIHAR,"Bahujan Samaj Party",LOST
"ADVOCATE HARI KISHAN TIWARI",JAIPUR,RAJASTHAN,"Bheem Tribal Congress",LOST
"ADVOCATE HARI KISHAN TIWARI","JAIPUR RURAL",RAJASTHAN,"Bheem Tribal Congress",LOST
"SHRIDHAR NARAYAN SALVE",KALYAN,MAHARASHTRA,"Bhim Sena",LOST
"SHRIDHAR NARAYAN SALVE",BARAMATI,MAHARASHTRA,"Bhim Sena",LOST
"SHRIDHAR NARAYAN SALVE",NAGPUR,MAHARASHTRA,"Bhim Sena",LOST
"SHYAM BHARTEEY","CHANDNI CHOWK",DELHI,"Gareeb Aadmi Party",LOST
"SHYAM BHARTEEY","NORTH-WEST DELHI",DELHI,"Gareeb Aadmi Party",LOST
"ADV ULHAS SHALIKRAM DUPARE",RAMTEK,MAHARASHTRA,Independent,LOST
"ADV ULHAS SHALIKRAM DUPARE",NAGPUR,MAHARASHTRA,Independent,LOST
"AGNI AALVAR",DHARMAPURI,"TAMIL NADU",Independent,LOST
"AGNI AALVAR","CHENNAI CENTRAL","TAMIL NADU",Independent,LOST
"AJIT SINGH","KHADOOR SAHIB",PUNJAB,Independent,LOST
"AJIT SINGH",HISAR,HARYANA,Independent,LOST
"AMAR SINGH",PRATAPGARH,"UTTAR PRADESH",Independent,LOST
"AMAR SINGH",ETAH,"UTTAR PRADESH",Independent,LOST
"AMIT GUPTA",ALWAR,RAJASTHAN,Independent,LOST
"AMIT GUPTA","EAST DELHI",DELHI,Independent,LOST
"AMOL VILAS PACHUNDKAR",AHMEDNAGAR,MAHARASHTRA,Independent,LOST
"AMOL VILAS PACHUNDKAR",SHIRUR,MAHARASHTRA,Independent,LOST
ANIL,UJJAIN,"MADHYA PRADESH",Independent,LOST
ANIL,RAJGARH,"MADHYA PRADESH",Independent,LOST
"ANIL KUMAR GADEPAKA",BHONGIR,TELANGANA,Independent,LOST
"ANIL KUMAR GADEPAKA",WARANGAL,TELANGANA,Independent,LOST
"ANIL KUMAR MADDINENI",KHAMMAM,TELANGANA,Independent,LOST
"ANIL KUMAR MADDINENI",VIJAYAWADA,"ANDHRA PRADESH",Independent,LOST
"ARUN KUMAR","SOUTH DELHI",DELHI,Independent,LOST
"ARUN KUMAR","KHADOOR SAHIB",PUNJAB,Independent,LOST
"ARUN KUMAR",FAIZABAD,"UTTAR PRADESH",Independent,LOST
"ARUN KUMAR",BEGUSARAI,BIHAR,Independent,LOST
"ARUN KUMAR",GAYA,BIHAR,Independent,LOST
"ARUNIMA PANDEY",GONDA,"UTTAR PRADESH",Independent,LOST
"ARUNIMA PANDEY",KAISERGANJ,"UTTAR PRADESH",Independent,LOST
"ASHOK KUMAR",ROHTAK,HARYANA,Independent,LOST
"ASHOK KUMAR",KARNAL,HARYANA,Independent,LOST
"ASHOK KUMAR",ETAH,"UTTAR PRADESH",Independent,LOST
"BALWINDER SINGH",SANGRUR,PUNJAB,Independent,LOST
"BALWINDER SINGH",AMRITSAR,PUNJAB,Independent,LOST
"BHASKAR ANKALAMADUGU SHIVAREDDY",CHIKKBALLAPUR,KARNATAKA,Independent,LOST
"BHASKAR ANKALAMADUGU SHIVAREDDY","BANGALORE NORTH",KARNATAKA,Independent,LOST
"BISWAJIT DAS",MEDINIPUR,"WEST BENGAL",Independent,LOST
"BISWAJIT DAS",BANGAON,"WEST BENGAL",Independent,LOST
"CHANDRAKANT RAMBHAJI MOTE",BHIWANDI,MAHARASHTRA,Independent,LOST
"CHANDRAKANT RAMBHAJI MOTE",KALYAN,MAHARASHTRA,Independent,LOST
"DAVINDER SINGH","ANANDPUR SAHIB",PUNJAB,Independent,LOST
"DAVINDER SINGH",HOSHIARPUR,PUNJAB,Independent,LOST
"DINESH KUMAR",BADAUN,"UTTAR PRADESH",Independent,LOST
"DINESH KUMAR",HISAR,HARYANA,Independent,LOST
"GNYANENDRA BEHERA",BARGARH,ODISHA,Independent,LOST
"GNYANENDRA BEHERA",SAMBALPUR,ODISHA,Independent,LOST
"GOPALAKRISHNAN S",COIMBATORE,"TAMIL NADU",Independent,LOST
"GOPALAKRISHNAN S",MADURAI,"TAMIL NADU",Independent,LOST
"GOVIND LAL",CHEVELLA,TELANGANA,Independent,LOST
"GOVIND LAL",JAUNPUR,"UTTAR PRADESH",Independent,LOST
"GURMEET SINGH",FARIDKOT,PUNJAB,Independent,LOST
"GURMEET SINGH",BATHINDA,PUNJAB,Independent,LOST
"GURPREET SINGH",FIROZPUR,PUNJAB,Independent,LOST
"GURPREET SINGH","KHADOOR SAHIB",PUNJAB,Independent,LOST
"HAREKRISHNA SARKAR",JALPAIGURI,"WEST BENGAL",Independent,LOST
"HAREKRISHNA SARKAR",COOCHBEHAR,"WEST BENGAL",Independent,LOST
"HARJINDER SINGH","FATEHGARH SAHIB",PUNJAB,Independent,LOST
"HARJINDER SINGH","KHADOOR SAHIB",PUNJAB,Independent,LOST
"JITENDRA KUMAR",MOHANLALGANJ,"UTTAR PRADESH",Independent,LOST
"JITENDRA KUMAR",MUZAFFARPUR,BIHAR,Independent,LOST
"MANOJ KUMAR",KODARMA,JHARKHAND,Independent,LOST
"MANOJ KUMAR",PATIALA,PUNJAB,Independent,LOST
"MANOJ KUMAR",KANPUR,"UTTAR PRADESH",Independent,LOST
"MANOJ KUMAR","NORTH-EAST DELHI",DELHI,Independent,LOST
"MURUGESAN. P",KARUR,"TAMIL NADU",Independent,LOST
