CONSTITUENCY,STATE,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
"JAIPUR RURAL",RAJASTHAN,616262,"Bharatiya Janata Party",617877,1615
KANKER,CHHATTISGARH,595740,"Bharatiya Janata Party",597624,1884
BANSGAON,"UTTAR PRADESH",425543,"Bharatiya Janata Party",428693,3150
MAHBUBNAGAR,TELANGANA,506247,"Bharatiya Janata Party",510747,4500
"ANANDPUR SAHIB",PUNJAB,302371,"Aam Aadmi Party",313217,10846
KARIMGANJ,ASSAM,526733,"Bharatiya Janata Party",545093,18360
ALATHUR,KERALA,383336,"Communist Party of India  (Marxist)",403447,20111
KANPUR,"UTTAR PRADESH",422087,"Bharatiya Janata Party",443055,20968
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",78040,"Bharatiya Janata Party",102436,24396
LADAKH,LADAKH,37397,Independent,65259,27862
AMROHA,"UTTAR PRADESH",447836,"Bharatiya Janata Party",476506,28670
"ARUNACHAL EAST","ARUNACHAL PRADESH",115160,"Bharatiya Janata Party",145581,30421
PATAN,GUJARAT,560071,"Bharatiya Janata Party",591947,31876
"BANGALORE CENTRAL",KARNATAKA,626208,"Bharatiya Janata Party",658915,32707
DEORIA,"UTTAR PRADESH",469699,"Bharatiya Janata Party",504541,34842
MAHARAJGANJ,"UTTAR PRADESH",555859,"Bharatiya Janata Party",591310,35451
MEDAK,TELANGANA,432078,"Bharatiya Janata Party",471217,39139
AKOLA,MAHARASHTRA,416404,"Bharatiya Janata Party",457030,40626
BHIWANI-MAHENDRAGARH,HARYANA,547154,"Bharatiya Janata Party",588664,41510
KOTA,RAJASTHAN,708522,"Bharatiya Janata Party",750496,41974
"FATEHPUR SIKRI","UTTAR PRADESH",402252,"Bharatiya Janata Party",445657,43405
HAVERI,KARNATAKA,662025,"Bharatiya Janata Party",705538,43513
HOSHIARPUR,PUNJAB,259748,"Aam Aadmi Party",303859,44111
RAJNANDGAON,CHHATTISGARH,667646,"Bharatiya Janata Party",712057,44411
CHITRADURGA,KARNATAKA,636769,"Bharatiya Janata Party",684890,48121
ALWAR,RAJASTHAN,583710,"Bharatiya Janata Party",631992,48282
SECUNDERABAD,TELANGANA,423068,"Bharatiya Janata Party",473012,49944
