constituency_code,constituency,state,no_of_candidates
S03124,KARIMGANJ SOUTH,ASSAM,16
S03122,ALGAPUR-KATLICHERRA,ASSAM,16
S03116,KATIGORAH,ASSAM,15
S0314,GOALPARA EAST,ASSAM,15
S0344,GORESWAR,ASSAM,15
S03123,KARIMGANJ NORTH,ASSAM,15
S0320,BIJNI,ASSAM,14
S03121,HAILAKANDI,ASSAM,13
S0362,BINNAKANDI,ASSAM,13
S03119,SONAI,ASSAM,13
S034,BAOKHUNGRI,ASSAM,13
S0341,MANAS,ASSAM,10
S03126,RAM KRISHNA NAGAR,ASSAM,10
S0374,RONGONADI,ASSAM,10
S03125,PATHARKANDI,ASSAM,10
S037,GAURIPUR,ASSAM,10
S039,BIRSING JARUA,ASSAM,10
S0345,BHERGAON,ASSAM,9
S035,PARBATJHORA,ASSAM,9
S0386,TINSUKIA,ASSAM,9
S0396,SIBSAGAR,ASSAM,9
S0366,BARCHALLA,ASSAM,9
S0397,NAZIRA,ASSAM,9
S0356,RUPAHIHAT,ASSAM,9
S0312,JALESHWAR,ASSAM,8
S0358,SAMAGURI,ASSAM,8
S0322,MANDIA,ASSAM,8
S0379,SISSIBARGAON,ASSAM,8
S0328,BOKO-CHAYGAON,ASSAM,8
S0365,DHEKIAJULI,ASSAM,8
S0336,GUWAHATI CENTRAL,ASSAM,8
S0348,TANGLA,ASSAM,8
S0343,TAMULPUR,ASSAM,8
S0342,BAKSA,ASSAM,8
S03118,SILCHAR,ASSAM,8
S0318,BONGAIGAON,ASSAM,7
S0310,BILASIPARA,ASSAM,7
S0329,PALASBARI,ASSAM,7
S0355,DHING,ASSAM,7
S0350,MANGALDAI,ASSAM,7
S03109,HOWRAGHAT,ASSAM,7
S03117,BORKHOLA,ASSAM,7
S0378,DHEMAJI,ASSAM,7
S0317,SRIJANGRAM,ASSAM,7
S0311,MANKACHAR,ASSAM,7
S0354,MORIGAON,ASSAM,7
S03105,BOKAKHAT,ASSAM,7
S033,KOKRAJHAR,ASSAM,7
S03110,DIPHU,ASSAM,7
S0323,CHENGA,ASSAM,7
S0339,NALBARI,ASSAM,7
S0327,CHAMARIA,ASSAM,7
S0384,DIGBOI,ASSAM,6
S0385,MAKUM,ASSAM,6
S0376,LAKHIMPUR,ASSAM,6
S0347,MAZBAT,ASSAM,6
S0315,DUDHNAI,ASSAM,6
S0333,DISPUR,ASSAM,6
S031,GOSSAIGAON,ASSAM,6
S0313,GOALPARA WEST,ASSAM,6
S03106,KHUMTAI,ASSAM,6
S03108,BOKAJAN,ASSAM,6
S032,DOTMA,ASSAM,6
S0392,NAHARKATIA,ASSAM,6
S038,DHUBRI,ASSAM,6
S0321,BHOWANIPUR-SORBHOG,ASSAM,6
S0368,RANGAPARA,ASSAM,6
S0353,LAHARIGHAT,ASSAM,6
S0334,DIMORIA,ASSAM,6
S0381,SADIYA,ASSAM,6
S0332,KAMALPUR,ASSAM,6
S0330,HAJO-SUALKUCHI,ASSAM,6
S0325,PAKABETBARI,ASSAM,6
S0370,BISWANATH,ASSAM,6
S0359,BARHAMPUR,ASSAM,6
S0335,NEW GUWAHATI,ASSAM,6
S0349,SIPAJHAR,ASSAM,5
S03101,MARIANI,ASSAM,5
S03115,UDHARBOND,ASSAM,5
S0319,SIDLI CHIRANG,ASSAM,5
S0351,DALGAON,ASSAM,5
S03111,RONGKHANG,ASSAM,5
S0340,TIHU,ASSAM,5
S0371,BEHALI,ASSAM,5
S0367,TEZPUR,ASSAM,5
S03100,JORHAT,ASSAM,5
S03120,DHOLAI,ASSAM,5
S0393,SONARI,ASSAM,5
S03102,TITABOR,ASSAM,5
S0346,UDALGURI,ASSAM,5
S0387,CHABUA-LAHOWAL,ASSAM,5
S0389,KHOWANG,ASSAM,5
S0375,NOWBOICHA,ASSAM,5
S0364,LUMDING,ASSAM,5
S0338,BARKHETRI,ASSAM,5
S036,GOLAKGANJ,ASSAM,5
S0372,GOHPUR,ASSAM,5
S0316,ABHAYAPURI,ASSAM,5
S0357,KALIABOR,ASSAM,5
S0361,RAHA,ASSAM,5
S0373,BIHPURIA,ASSAM,5
S0377,DHAKUAKHANA,ASSAM,4
S03104,DERGAON,ASSAM,4
S0324,BARPETA,ASSAM,4
S03103,GOLAGHAT,ASSAM,4
S0391,TINGKHONG,ASSAM,4
S0337,JALUKBARI,ASSAM,4
S0395,DEMOW,ASSAM,4
S0390,DULIAJAN,ASSAM,4
S03112,AMRI,ASSAM,4
S03107,SARUPATHAR,ASSAM,4
S0360,NAGAON-BATADRABA,ASSAM,4
S0398,MAJULI,ASSAM,4
S0383,MARGHERITA,ASSAM,4
S0388,DIBRUGARH,ASSAM,4
S0326,BAJALI,ASSAM,4
S03113,HAFLONG,ASSAM,4
S0380,JONAI,ASSAM,3
S0363,HOJAI,ASSAM,3
S0369,NADUAR,ASSAM,3
S0331,RANGIA,ASSAM,3
S0399,TEOK,ASSAM,3
S0382,DOOMDOOMA,ASSAM,3
S0394,MAHMORA,ASSAM,3
S0352,JAGIROAD,ASSAM,3
S03114,LAKHIPUR,ASSAM,3
