candidate,party,constituency,vote_share
WAZED ALI CHOUDHURY,Indian National Congress,BIRSING JARUA,41.52984544032552695800
RUPAM CHANDRA ROY,Bodoland Peoples Front,BAOKHUNGRI,41.94629974167123984400
SHERMAN ALI AHMED,All India Trinamool Congress,MANDIA,43.07360621887525810800
ARUP KUMAR DEY,Bharatiya Janata Party,BIJNI,43.43964864455550507300
SABHARAM BASUMATARY,Bodoland Peoples Front,GOSSAIGAON,44.35275194069515350700
KESHAB MAHANTA,Asom Gana Parishad,KALIABOR,45.09975935910323189900
DIGANTA KALITA,Bharatiya Janata Party,KAMALPUR,45.33332521508289748500
DIPTIMAYEE CHOUDHURY,Asom Gana Parishad,BONGAIGAON,46.08177063400943998000
MD ASHRAFUL ISLAM SHEIKH,Indian National Congress,PARBATJHORA,46.94996865051102710700
ABUL KALAM RASHEED ALAM,Indian National Congress,GOALPARA EAST,46.98842817144880029100
MD. NURUL ISLAM,Indian National Congress,SRIJANGRAM,47.46984093092772499200
DHIRAJ GOWALA,Bharatiya Janata Party,TITABOR,47.51024200701102335600
PRAKASH CHANDRA DAS,Asom Gana Parishad,HAJO-SUALKUCHI,47.83705924373192182000
JIBESH ROY,Asom Gana Parishad,BILASIPARA,48.09386297751362725700
MAZIBUR RAHMAN,All India United Democratic Front,DALGAON,48.49810517043605730800
AKHIL GOGOI,Raijor Dal,SIBSAGAR,49.38159569428511092500
RAMESWAR TELI,Bharatiya Janata Party,DULIAJAN,49.81181259322246539400
BISWAJIT DAIMARY,Bharatiya Janata Party,TAMULPUR,49.91978893590381379900
MAHESWAR BARO,Bodoland Peoples Front,BHERGAON,50.22490999857794010900
MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,BINNAKANDI,50.53864662923719870000
CHAKRADHAR GOGOI,Bharatiya Janata Party,KHOWANG,50.70301095925637399100
THANESWAR BASUMATARY,Bodoland Peoples Front,MANAS,50.95015303149450387800
RISHIRAJ HAZARIKA,Bharatiya Janata Party,RONGONADI,51.28598872234207237800
RABIRAM NARZARY,Bodoland Peoples Front,DOTMA,51.73748859706812058500
BHUPEN KUMAR BORAH,Bharatiya Janata Party,BIHPURIA,52.01028101927335122800
DHORMESWAR KONWAR,Bharatiya Janata Party,SONARI,52.05882557549027110100
JIBAN GOGOI,Bharatiya Janata Party,SISSIBARGAON,52.07057481218769545900
PALLAB LOCHAN DAS,Bharatiya Janata Party,BISWANATH,52.73093317757590068000
SIBU MISRA,Bharatiya Janata Party,LUMDING,52.85517873510540788300
RITU BARAN SARMAH,Bharatiya Janata Party,BARCHALLA,53.15086933548046196800
PRITHIRAJ RAVA,Asom Gana Parishad,TEZPUR,53.39468482022979820100
SASHI KANTA DAS,Bharatiya Janata Party,RAHA,53.43364938006218571300
CHARAN BORO,Bodoland Peoples Front,MAZBAT,53.48392350961811627600
PANIRAM BRAHMA,Bodoland Peoples Front,SIDLI CHIRANG,53.57813599403247223900
BABY BEGUM,Indian National Congress,DHUBRI,53.64242012236573759300
JAKARIA AHMED,Indian National Congress,KARIMGANJ NORTH,54.16690646208059782100
SURJYA RONGPHAR,Bharatiya Janata Party,BOKAJAN,54.47788549278968015700
RIHON DAIMARI,Bodoland Peoples Front,UDALGURI,54.60517895994198199700
NILIMA DEVI,Bharatiya Janata Party,MANGALDAI,54.77243372227938440000
BIKAN CHANDRA DEKA,Bharatiya Janata Party,TANGLA,54.81622595137936191100
MANESWAR BRAHMA,Bodoland Peoples Front,BAKSA,55.05792798209780499700
SURUJ DEHINGIA,Bharatiya Janata Party,MAHMORA,55.20269304666783111300
PARAMANANDA RAJBONGSHI,Bharatiya Janata Party,SIPAJHAR,55.82738968324170594900
BIKASH SAIKIA,Asom Gana Parishad,TEOK,55.83751954078385576000
PRADYUT BORDOLOI,Bharatiya Janata Party,DISPUR,55.89107036616366488200
DHARMESWAR ROY,Asom Gana Parishad,BAJALI,56.03614061833465037700
AMINUL HAQUE LASKAR,Indian National Congress,SONAI,56.05111813123477328900
NARAYAN DEKA,Bharatiya Janata Party,BARKHETRI,56.06988329628453477300
CHANDRAMOHAN PATOWARY,Bharatiya Janata Party,TIHU,56.26436525115479883100
SUREN PHUKAN,Bharatiya Janata Party,DIGBOI,56.26600656108403498100
