party,no_of_candidates_with_less_than_one_sixth_votes
Independent,248
None of the Above,126
Socialist Unity Centre Of India (COMMUNIST),41
All India Trinamool Congress,20
Aam Aadmi Party,18
Voters Party International,17
All India United Democratic Front,16
Jharkhand Mukti Morcha,13
Rashtriya Ulama Council,10
Gana Suraksha Party,10
Asom Gana Parishad,10
Indian National Congress,10
United Peoples Party Liberal,7
Vikas India Party,5
Bharatiya Gana Parishad,4
Bharatiya Janata Party,4
Communist Party of India,3
Raijor Dal,3
Republican Party of India (Athawale),3
Gondvana Gantantra Party,3
All India Forward Bloc,2
Communist Party of India (Marxist-Leninist) (Liberation),2
Apni Janta Party,2
The National Road Map Party of India,2
Communist Party of India (Marxist),1
Republican Party of India (A),1
National Peoples Party,1
Revolutionary Communist Party of India (Rasik Bhatt),1
