candidate,constituency_count
DHANJEEP PRASAD RABHA,2
HEMANTA BORUAH,2
JAKIR HUSSAIN,2
MAHENDRA ORANG,2
MAZIBUR RAHMAN,2
NABA KUMAR SARANIA,2
RABINDRA RONGPI,2
SAMSUL HAQUE,2
WILSON TERANG,2
ABDUL AZIZ,1
ABDUL GOFFUR,1
ABDUL HAI NAGARI,1
ABDUL HANNAN,1
ABDUL KHALEQUE,1
ABDUL MATLIB LASKAR,1
ABDUL MUKTADIR,1
ABDUL ODUD CHOUDHURY,1
ABDUL RAHMAN,1
ABDUL SALAM SHAH,1
ABDUR RAHIM AHMED,1
ABDUR RAHIM CHOUDHURY,1
ABDUR RAHIM ZIBRAN,1
ABDUR RASHID MANDAL,1
ABDUS SOBAHAN ALI SARKAR,1
ABDUS SOBUR MIAH,1
ABHIJIT PAUL,1
ABRAHAM TIRKEY,1
ABUL KALAM HUSSAIN,1
ABUL KALAM RASHEED ALAM,1
ABUL KHAIR ZAKARIA,1
ABUL MAJAN,1
ABUL MIAH,1
ABU NOSOR MD ILIAS,1
ABU SHA SHADI HOSSAIN,1
ABU TAHER BEPARI,1
ACHYUT DAS,1
ACHYUT KALITA,1
ADITYA GOGOI,1
AFTAB UDDIN MOLLAH,1
AFTADUR ALI KHAN,1
AFZAL HOSSAIN,1
AHAD UDDIN,1
AJANTA NEOG,1
AJGAR ALI MONDAL,1
AJIT ACHARJYA,1
AJIT NUNIA,1
AJIT SINGH,1
AJOY BORA,1
AJOY KUMAR GOGOI,1
AJOY KUMAR SINGHA,1
AKBAR ALI MONDAL,1
AKHIL GOGOI,1
AKIBUR RAHMAN,1
ALAM HUSSAIN LASKAR,1
ALI AKBAR MIAH,1
ALOK NATH,1
AMALENDU DAS,1
AMAR CHAND JAIN,1
AMINUL HAQUE LASKAR,1
AMINUL ISLAM,1
AMINUR RASHID CHOUDHURY,1
AMIRUL ISLAM,1
AMIT KUMAR KALWAR,1
AMIT NAG,1
AMIYA KANTI DAS,1
AMLESH MEDHI,1
AMRIT BADSHA,1
ANANDA NARAH,1
ANANTA GOGOI,1
ANARUL HOQUE,1
ANCHULA GWRA DAIMARY,1
ANIL SAIKIA,1
ANIMUL HOQUE CHOUDHURY,1
ANINDA BASUMATARY,1
ANJAN KUMAR CHANDA,1
ANJAN TALUKDAR,1
ANKUR DAS,1
ANSUMA BASUMATARY,1
ANUP KUMAR DAS TALUKDAR,1
ANURUPA DEKARAJA,1
ARIF AKHTAR AHMED,1
ARUNANGSHU BHATTACHARJEE,1
ARUN BAISHYA,1
ARUP KUMAR DEY,1
ASAD UDDIN AHMED,1
ASHIS HAZARIKA,1
ASHOK GAYARI,1
ASHOK KUMAR SARMA,1
ASHOK SINGHAL,1
ASHRAFUL HUSSAIN,1
ASHWINI RAY SARKAR,1
ATUL BORA,1
AUGUSTINE ENGHEE,1
AVIJIT MAZUMDAR,1
AYUB ALI MOLLAH,1
AYUB HUSSAIN MONDAL,1
AYUB KHAN,1
AYUSH KUMAR SINGH,1
AZIZ AHMED KHAN,1
AZIZUR RAHMAN,1
AZIZUR RAHMAN,1
BABURAM BASUMATARY,1
BABY BEGUM,1
BADAL CHANDRA ARJYA,1
BADAN CHANDRA SWARGIARY,1
BAHARUL ISLAM,1
BALDEV TELI,1
BALLAV PATRA,1
BANI KANTA DAS,1
BANIMA BRAHMA,1
BAPURAM BORO,1
BARNALI SARMA,1
BARUN BIKASH DAS,1
BASANTA DAS,1
BATASH ORANG,1
BHABENDRA NATH MOHAN,1
BHABESH KALITA,1
BHABOTOSH CHAKRABORTY,1
BHADRESWAR BARMAN,1
BHAIRAW BHAGAT,1
BHAITY RICHONG,1
BHARAT NAYAK,1
BHASKAR JYOTI BARUAH,1
BHASKAR JYOTI PATHAK,1
BHASKAR SHARMA,1
BHOBESWAR DUSAD,1
BHOGLAL RABHA,1
BHUBAN GAM,1
BHUBON PEGU,1
BHUPEN KUMAR BORAH,1
BHUPEN ROY,1
BHUPEN SINGH MURARI,1
BIBEKANANDA RAJOWAR,1
BIDISHA NEOG,1
BIJAY MANJANI,1
BIJIT KUMAR SINHA,1
BIJOY MALAKAR,1
BIJU DOWARAH,1
BIJU PAUL,1
BIKAN CHANDRA DEKA,1
BIKASH LAL DHUBI,1
BIKASH NATH,1
BIKASH SAIKIA,1
BIKRAM HANSE,1
BIKROM DAS,1
BIMAL BORAH,1
BINANDA KUMAR SAIKIA,1
BINAY KRISHNA ROY,1
BINOD HAZARIKA,1
BINOD REE,1
BINOY KUMAR BASUMATARY,1
BIPLAB DAS,1
BIPUL DEBNATH,1
BIPUL GOGOI,1
BIRESH DIFOESA,1
BIRINCHI PEGU,1
BIRKHANG BORO,1
BISHAL SINGHA MALAKAR,1
BISHWADUTTA TATI,1
BISWAJIT DAIMARY,1
BISWAJIT PHUKAN,1
Bitupan Saikia,1
BOLIN CHETIA,1
CHAKRADHAR DAS,1
CHAKRADHAR GOGOI,1
CHAMPA KURMI,1
CHANDAN GOWALA,1
CHANDRAMOHAN PATOWARY,1
CHARAN BORO,1
CHENIRAM KONWAR,1
CHINMOYEE BHUYAN BARDOLOI,1
CHINTU BARUAH,1
CHITA RANJAN NATH,1
CHOUDHURY HIBBUR RASUL USAMA MABRUR,1
DANIEL LANGTHASA,1
DEBABRATA SAIKIA,1
DELOWARA HUSSAIN,1
DELOWAR HUSSAIN,1
DEVID PHUKAN,1
DHARMESWAR ROY,1
DHIRAJ GOWALA,1
DHORMESWAR KONWAR,1
DHRUBA GOGOI,1
DHRUBAJYOTI PURKAYASTHA,1
DHRUBO CHAKRABORTY,1
DIGANTA BARMAN,1
DIGANTA KALITA,1
DILIP BARUAH,1
DILIP BURA GOHAIN,1
DILIP KUMAR BARMAN,1
DILIP KUMAR REE,1
DILIP MORAN,1
DILIP SAHU,1
DILWAR HUSSAIN,1
DIMBESWAR BORO,1
DIPAK KUMAR DAS,1
DIPAK RAJBONGSHI,1
DIPEN BORO,1
DIPIKA DAS,1
DIPLU RANJAN SARMAH,1
DIPTIMAYEE CHOUDHURY,1
DR ASIF MOHAMMAD NAZAR,1
DR. DIGANTA GOGOI,1
DR. INDRANEEL PEGU,1
DR. JOY PRAKASH DAS,1
DR. PRABHAKAR DAS,1
DR. RAJDEEP ROY,1
DR. RANOJ PEGU,1
DR. TAPAN DAS,1
DR. TARA PRASAD DAS,1
DULAL CHANDRA BORUAH,1
DULAL MORAN,1
DURGA BHUMIJ,1
DURLAV CHAMUA,1
EKBAL HUSSAIN,1
ELVIN BARUAH,1
FAJLUL KARIM CHOWDHURY,1
FAKRUL ISLAM,1
FARHAD ALI,1
