constituency_code,candidate,party,constituency,state,votes
S04154,MURARI PASAVAN,Bharatiya Janata Party,PIRPAINTI,BIHAR,140608
S0461,LESHI SINGH,Janata Dal (United),DHAMDAHA,BIHAR,138750
S0470,NARENDRA NARAYAN YADAV,Janata Dal (United),ALAMNAGAR,BIHAR,138401
S04155,SHUBHANAND MUKESH,Janata Dal (United),KAHALGAON,BIHAR,130767
S04184,RATNESH KUMAR,Bharatiya Janata Party,PATNA SAHIB,BIHAR,130366
S04124,SANJAY KUMAR SINGH,Bharatiya Janata Party,LALGANJ,BIHAR,127650
S0462,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,PURNIA,BIHAR,127614
S04188,SHYAM RAJAK,Janata Dal (United),PHULWARI,BIHAR,126470
S0460,KALADHAR PRASAD MANDAL,Janata Dal (United),RUPAULI,BIHAR,124826
S04241,SHREYASI SINGH,Bharatiya Janata Party,JAMUI,BIHAR,123868
S0424,ANIL KUMAR,Bharatiya Janata Party,BATHNAHA,BIHAR,123698
S0469,KAVITA DEVI,Bharatiya Janata Party,KORHA,BIHAR,123495
S04139,BIRENDRA KUMAR,Bharatiya Janata Party,ROSERA,BIHAR,122773
S0459,KRISHNA KUMAR RISHI,Bharatiya Janata Party,BANMANKHI,BIHAR,122494
S0445,NIRAJ KUMAR SINGH,Bharatiya Janata Party,CHHATAPUR,BIHAR,122491
S04164,SAMRAT CHOUDHARY,Bharatiya Janata Party,TARAPUR,BIHAR,122480
S04168,VIJAY KUMAR SINHA,Bharatiya Janata Party,LAKHISARAI,BIHAR,122408
S0446,DEVANTI YADAV,Bharatiya Janata Party,NARPATGANJ,BIHAR,120557
S0448,MANOJ BISHWAS,Indian National Congress,FORBESGANJ,BIHAR,120114
S0448,VIDYA SAGAR KESHARI,Bharatiya Janata Party,FORBESGANJ,BIHAR,119893
S04186,RAM KRIPAL YADAV,Bharatiya Janata Party,DANAPUR,BIHAR,119877
S04146,KUNDAN KUMAR,Bharatiya Janata Party,BEGUSARAI,BIHAR,119506
S0441,ANIRUDDHA PRASAD YADAV,Janata Dal (United),NIRMALI,BIHAR,118904
S04151,BABULAL SHORYA,Lok Janshakti Party (Ram Vilas),PARBATTA,BIHAR,118677
S04128,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,RAGHOPUR,BIHAR,118597
S04131,MAHESHWAR HAZARI,Janata Dal (United),KALYANPUR,BIHAR,118162
S04158,MITHUN KUMAR,Lok Janshakti Party (Ram Vilas),NATHNAGAR,BIHAR,118143
S04144,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,MATIHANI,BIHAR,117789
S0423,BAIDYANATH PRASAD,Bharatiya Janata Party,RIGA,BIHAR,117393
S0495,AJIT KUMAR,Janata Dal (United),KANTI,BIHAR,117299
S0471,NIRANJAN KUMAR MEHTA,Janata Dal (United),BIHARIGANJ,BIHAR,116622
S04163,MANOJ YADAV,Janata Dal (United),BELHAR,BIHAR,115393
S042,NAND KISHOR RAM,Bharatiya Janata Party,RAMNAGAR,BIHAR,115214
S0475,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,SAHARSA,BIHAR,115036
S0467,MANOHAR PRASAD SINGH,Indian National Congress,MANIHARI,BIHAR,114754
S0490,AJAY KUMAR,Janata Dal (United),MINAPUR,BIHAR,113411
S04123,AWADHESH SINGH,Bharatiya Janata Party,HAJIPUR,BIHAR,113221
S04160,MANISH KUMAR,Janata Dal (United),DHORAIYA,BIHAR,113011
S0475,ALOK RANJAN,Bharatiya Janata Party,SAHARSA,BIHAR,112998
S04143,RAJNISH KUMAR,Bharatiya Janata Party,TEGHRA,BIHAR,112770
S0421,FAISAL RAHMAN,Rashtriya Janata Dal,DHAKA,BIHAR,112727
S0421,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,DHAKA,BIHAR,112549
S04144,RAJ KUMAR SINGH,Janata Dal (United),MATIHANI,BIHAR,112499
S0440,SATISH KUMAR SAH,Janata Dal (United),LAUKAHA,BIHAR,111761
S0447,AVINASH MANGLAM,Rashtriya Janata Dal,RANIGANJ,BIHAR,111590
S0451,VIJAY KUMAR MANDAL,Bharatiya Janata Party,SIKTI,BIHAR,111342
S04181,SANJIV CHAURASIA,Bharatiya Janata Party,DIGHA,BIHAR,111001
S04187,BHAI BIRENDRA,Rashtriya Janata Dal,MANER,BIHAR,110798
S0417,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,PIPRA,BIHAR,110422
S0476,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),SIMRI BAKHTIARPUR,BIHAR,109699
S04172,DR. SUNIL KUMAR,Bharatiya Janata Party,BIHARSHARIF,BIHAR,109304
S0443,BIJENDRA PRASAD YADAV,Janata Dal (United),SUPAUL,BIHAR,109085
S04132,MANJARIK MRINAL,Janata Dal (United),WARISNAGAR,BIHAR,108968
