constituency_code,candidate,party,constituency,state,winner_votes
S04170,DR. KUMAR PUSPANJAY,Janata Dal (United),BARBIGHA,BIHAR,61882
S04106,BHISM PRATAP SINGH,Janata Dal (United),ZIRADEI,BIHAR,66227
S04114,RANDHIR KUMAR SINGH,Janata Dal (United),MANJHI,BIHAR,68455
S04195,MAHESH PASWAN,Bharatiya Janata Party,AGIAON,BIHAR,69412
S04206,MD. ZAMA KHAN,Janata Dal (United),CHAINPUR,BIHAR,70876
S04238,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),GOBINDPUR,BIHAR,72581
S04203,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,RAMGARH,BIHAR,72689
S04213,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),KARAKAT,BIHAR,74157
S04215,PAPPU KUMAR VERMA,Janata Dal (United),KURTHA,BIHAR,74466
S04218,SUBEDAR DAS,Rashtriya Janata Dal,MAKHDUMPUR,BIHAR,74769
S04141,ABHISHEK ANAND,Janata Dal (United),CHERIA,BIHAR,75081
S04120,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,AMNOUR,BIHAR,75525
S04204,SANGITA KUMARI,Bharatiya Janata Party,MOHANIA,BIHAR,76290
S04145,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,SAHEBPUR KAMAL,BIHAR,76798
S0484,RAM CHANDRA PRASAD,Bharatiya Janata Party,HAYAGHAT,BIHAR,77222
S04226,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),SHERGHATI,BIHAR,77270
S0479,SUJIT KUMAR,Bharatiya Janata Party,GAURA BAURAM,BIHAR,77682
S04135,RANVIJAY SAHU,Rashtriya Janata Dal,MORWA,BIHAR,77770
S0415,SHALINI MISHRA,Janata Dal (United),KESARIA,BIHAR,78192
S04210,ALOK KUMAR SINGH,Rashtriya Lok Morcha,DINARA,BIHAR,78338
S04138,AJAY KUMAR,Communist Party of India (Marxist),BIBHUTIPUR,BIHAR,79246
S04201,RAHUL KUMAR SINGH,Janata Dal (United),DUMRAON,BIHAR,79411
S04193,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,BARHARA,BIHAR,79593
S04214,MANOJ KUMAR,Bharatiya Janata Party,ARWAL,BIHAR,79854
S04205,BHARAT BIND,Bharatiya Janata Party,BHABUA,BIHAR,80039
S04243,SAVITRI DEVI,Rashtriya Janata Dal,CHAKAI,BIHAR,80357
S04221,CHETAN ANAND,Janata Dal (United),NABINAGAR,BIHAR,80380
S0465,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),BALRAMPUR,BIHAR,80459
S04192,RADHA CHARAN SAH,Janata Dal (United),SANDESH,BIHAR,80598
S0482,RAJESH KUMAR MANDAL,Janata Dal (United),DARBHANGA RURAL,BIHAR,80624
S04202,SANTOSH KUMAR NIRALA,Janata Dal (United),RAJPUR,BIHAR,80701
S04217,RITURAJ KUMAR,Janata Dal (United),GHOSI,BIHAR,80740
S04190,SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),PALIGANJ,BIHAR,81105
S0455,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,KOCHADHAMAN,BIHAR,81860
S0430,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),BELSAND,BIHAR,82076
S0425,GAYETRI DEVI,Bharatiya Janata Party,PARIHAR,BIHAR,82644
S04169,RANDHIR KUMAR SONI,Janata Dal (United),SHEIKHPURA,BIHAR,82922
S04107,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),DARAULI,BIHAR,83014
S0450,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,JOKIHAT,BIHAR,83737
S04113,MANORANJAN SINGH,Janata Dal (United),EKMA,BIHAR,84077
S0480,BINAY KUMAR CHOUDHARY,Janata Dal (United),BENIPUR,BIHAR,84207
S04222,LALAN RAM,Hindustani Awam Morcha (Secular),KUTUMBA,BIHAR,84727
S04200,ANAND MISHRA,Bharatiya Janata Party,BUXAR,BIHAR,84901
S0481,MAITHILI THAKUR,Bharatiya Janata Party,ALINAGAR,BIHAR,84915
S0453,GOPAL KUMAR AGARWAL,Janata Dal (United),THAKURGANJ,BIHAR,85243
S0431,SUDHANSHU SHEKHAR,Janata Dal (United),HARLAKHI,BIHAR,85486
S04116,JANAK SINGH,Bharatiya Janata Party,TARAIYA,BIHAR,85564
S0478,ATIREK KUMAR,Janata Dal (United),KUSHESHWAR ASTHAN,BIHAR,85685
S0418,RANA RANDHIR,Bharatiya Janata Party,MADHUBAN,BIHAR,86002
S04117,JITENDRA KUMAR RAI,Rashtriya Janata Dal,MARHAURA,BIHAR,86118
S04216,RAHUL KUMAR,Rashtriya Janata Dal,JEHANABAD,BIHAR,86402
S04112,HEM NARAYAN SAH,Janata Dal (United),MAHARAJGANJ,BIHAR,86813
S04118,CHHOTI KUMARI,Bharatiya Janata Party,CHAPRA,BIHAR,86845
S0458,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),KASBA,BIHAR,86877
S04109,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,DARAUNDA,BIHAR,87047
S0432,VINOD NARAYAN JHA,Bharatiya Janata Party,BENIPATTI,BIHAR,87153
S04223,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,AURANGABAD,BIHAR,87200
