constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04192,BIHAR,SANDESH,RADHA CHARAN SAH,Janata Dal (United),80598,DIPU SINGH,Rashtriya Janata Dal,80571,27
S04203,BIHAR,RAMGARH,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,72689,ASHOK KUMAR SINGH,Bharatiya Janata Party,72659,30
S04195,BIHAR,AGIAON,MAHESH PASWAN,Bharatiya Janata Party,69412,SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),69317,95
S04221,BIHAR,NABINAGAR,CHETAN ANAND,Janata Dal (United),80380,AMOD KUMAR SINGH,Rashtriya Janata Dal,80268,112
S0421,BIHAR,DHAKA,FAISAL RAHMAN,Rashtriya Janata Dal,112727,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,112549,178
S0448,BIHAR,FORBESGANJ,MANOJ BISHWAS,Indian National Congress,120114,VIDYA SAGAR KESHARI,Bharatiya Janata Party,119893,221
S0465,BIHAR,BALRAMPUR,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),80459,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,80070,389
S047,BIHAR,CHANPATIA,ABHISHEK RANJAN,Indian National Congress,87538,UMAKANT SINGH,Bharatiya Janata Party,86936,602
S04216,BIHAR,JEHANABAD,RAHUL KUMAR,Rashtriya Janata Dal,86402,CHANDESHWAR PRASAD,Janata Dal (United),85609,793
S04229,BIHAR,BODH GAYA,KUMAR SARVJEET,Rashtriya Janata Dal,100236,SHYAMDEO PASWAN,Lok Janshakti Party (Ram Vilas),99355,881
S04180,BIHAR,BAKHTIARPUR,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),88520,ANIRUDDH KUMAR,Rashtriya Janata Dal,87539,981
S04116,BIHAR,TARAIYA,JANAK SINGH,Bharatiya Janata Party,85564,SHAILENDRA PRATAP,Rashtriya Janata Dal,84235,1329
S0412,BIHAR,NARKATIA,VISHAL KUMAR,Janata Dal (United),104450,SHAMIM AHMAD,Rashtriya Janata Dal,103007,1443
S041,BIHAR,VALMIKI NAGAR,SURENDRA PRASAD,Indian National Congress,107730,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),106055,1675
S04218,BIHAR,MAKHDUMPUR,SUBEDAR DAS,Rashtriya Janata Dal,74769,RANI KUMARI,Lok Janshakti Party (Ram Vilas),72939,1830
S0475,BIHAR,SAHARSA,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,115036,ALOK RANJAN,Bharatiya Janata Party,112998,2038
S04231,BIHAR,TIKARI,AJAY KUMAR,Rashtriya Janata Dal,97550,ANIL KUMAR,Hindustani Awam Morcha (Secular),95492,2058
S04201,BIHAR,DUMRAON,RAHUL KUMAR SINGH,Janata Dal (United),79411,DR. AJIT KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),77306,2105
S04106,BIHAR,ZIRADEI,BHISM PRATAP SINGH,Janata Dal (United),66227,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),63601,2626
S04213,BIHAR,KARAKAT,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),74157,MAHABALI SINGH,Janata Dal (United),71321,2836
S04232,BIHAR,BELAGANJ,MANORMA DEVI,Janata Dal (United),95685,VISHVANATH KUMAR SINGH,Rashtriya Janata Dal,92803,2882
S0472,BIHAR,SINGHESHWAR,RAMESH RISHI,Janata Dal (United),106416,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,103434,2982
S04199,BIHAR,BRAHAMPUR,SHAMBHU NATH YADAV,Rashtriya Janata Dal,95828,HULAS PANDE,Lok Janshakti Party (Ram Vilas),92608,3220
S0427,BIHAR,BAJPATTI,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,99144,MUKESH KUMAR YADAV,Rashtriya Janata Dal,95749,3395
S0477,BIHAR,MAHISHI,GAUTAM KRISHNA,Rashtriya Janata Dal,93752,GUNJESHWAR SAH,Janata Dal (United),90012,3740
S04120,BIHAR,AMNOUR,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,75525,SUNIL KUMAR,Rashtriya Janata Dal,71717,3808
S04235,BIHAR,RAJAULI,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),90272,PINKI BHARTI,Rashtriya Janata Dal,86319,3953
S04219,BIHAR,GOH,AMRENDRA KUMAR,Rashtriya Janata Dal,93624,DR. RANVIJAY KUMAR,Bharatiya Janata Party,89583,4041
S04141,BIHAR,CHERIA,ABHISHEK ANAND,Janata Dal (United),75081,SUSHIL KUMAR,Rashtriya Janata Dal,70962,4119
S04242,BIHAR,JHAJHA,DAMODAR RAWAT,Janata Dal (United),108317,JAY PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,104055,4262
S04122,BIHAR,SONEPUR,VINAY KUMAR SINGH,Bharatiya Janata Party,90842,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,86075,4767
S04144,BIHAR,MATIHANI,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,117789,RAJ KUMAR SINGH,Janata Dal (United),112499,5290
S04215,BIHAR,KURTHA,PAPPU KUMAR VERMA,Janata Dal (United),74466,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,68985,5481
S0418,BIHAR,MADHUBAN,RANA RANDHIR,Bharatiya Janata Party,86002,SANDHYA RANI,Rashtriya Janata Dal,80510,5492
S0428,BIHAR,SITAMARHI,SUNIL KUMAR PINTU,Bharatiya Janata Party,104226,SUNIL KUMAR,Rashtriya Janata Dal,98664,5562
S04191,BIHAR,BIKRAM,SIDDHARTH SAURAV,Bharatiya Janata Party,101189,ANIL KUMAR,Indian National Congress,95588,5601
S0479,BIHAR,GAURA BAURAM,SUJIT KUMAR,Bharatiya Janata Party,77682,AFZAL ALI KHAN,Rashtriya Janata Dal,72013,5669
S0444,BIHAR,TRIVENIGANJ,SONAM RANI,Janata Dal (United),105262,SANTOSH KUMAR,Rashtriya Janata Dal,99579,5683
S044,BIHAR,BAGAHA,RAM SINGH,Bharatiya Janata Party,106875,JAYESH MANGALAM SINGH,Indian National Congress,100562,6313
S04190,BIHAR,PALIGANJ,SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),81105,SUNIL KUMAR,Lok Janshakti Party (Ram Vilas),74450,6655
S04223,BIHAR,AURANGABAD,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,87200,ANAND SHANKAR SINGH,Indian National Congress,80406,6794
S0413,BIHAR,HARSIDHI,KRISHNANANDAN PASWAN,Bharatiya Janata Party,96864,RAJENDRA KUMAR,Rashtriya Janata Dal,89769,7095
S0486,BIHAR,KEOTI,MURARI MOHAN JHA,Bharatiya Janata Party,89123,FARAZ FATMI,Rashtriya Janata Dal,81818,7305
S04239,BIHAR,WARSALIGANJ,ANITA,Rashtriya Janata Dal,97833,ARUNA  DEVI,Bharatiya Janata Party,90290,7543
S04118,BIHAR,CHAPRA,CHHOTI KUMARI,Bharatiya Janata Party,86845,SHATRUGHAN YADAV,Rashtriya Janata Dal,79245,7600
S04189,BIHAR,MASAURHI,ARUN MANJHI,Janata Dal (United),106505,REKHA DEVI,Rashtriya Janata Dal,98862,7643
