state,candidate,party,constituency,runner_up_vote_percentage
BIHAR,VIDYA SAGAR KESHARI,Bharatiya Janata Party,FORBESGANJ,47.680
BIHAR,SHAMIM AHMAD,Rashtriya Janata Dal,NARKATIA,46.060
BIHAR,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,DHAKA,45.640
BIHAR,SUNIL KUMAR,Rashtriya Janata Dal,SITAMARHI,45.540
BIHAR,RAJ KUMAR SINGH,Janata Dal (United),MATIHANI,45.520
BIHAR,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),VALMIKI NAGAR,45.390
BIHAR,VISHVANATH KUMAR SINGH,Rashtriya Janata Dal,BELAGANJ,45.270
BIHAR,SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),AGIAON,45.140
BIHAR,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,SINGHESHWAR,45.130
BIHAR,ARUNA  DEVI,Bharatiya Janata Party,WARSALIGANJ,44.960
BIHAR,SANTOSH KUMAR,Rashtriya Janata Dal,TRIVENIGANJ,44.920
BIHAR,HULAS PANDE,Lok Janshakti Party (Ram Vilas),BRAHAMPUR,44.870
BIHAR,ANIL KUMAR,Hindustani Awam Morcha (Secular),TIKARI,44.830
BIHAR,ACHMIT RISHIDEV,Janata Dal (United),RANIGANJ,44.740
BIHAR,HARIBHUSHAN THAKUR,Bharatiya Janata Party,BISFI,44.710
BIHAR,ANIRUDDH KUMAR,Rashtriya Janata Dal,BAKHTIARPUR,44.640
BIHAR,JAYESH MANGALAM SINGH,Indian National Congress,BAGAHA,44.590
BIHAR,ANIL KUMAR,Indian National Congress,BIKRAM,44.420
BIHAR,GUNJESHWAR SAH,Janata Dal (United),MAHISHI,44.350
BIHAR,AJEET SHARMA,Indian National Congress,BHAGALPUR,44.280
BIHAR,RAJENDRA KUMAR,Rashtriya Janata Dal,HARSIDHI,44.240
BIHAR,CHANDESHWAR PRASAD,Janata Dal (United),JEHANABAD,44.230
BIHAR,DIPU SINGH,Rashtriya Janata Dal,SANDESH,43.970
BIHAR,ANWARUL HAQUE,Rashtriya Janata Dal,GORIAKOTHI,43.840
BIHAR,RANI KUMARI,Lok Janshakti Party (Ram Vilas),MAKHDUMPUR,43.830
BIHAR,SANDHYA RANI,Rashtriya Janata Dal,MADHUBAN,43.800
BIHAR,REKHA DEVI,Rashtriya Janata Dal,MASAURHI,43.780
BIHAR,MADAN SINGH  S/O-KUMI SINGH,Communist Party of India (Marxist-Leninist) (Liberation),TARARI,43.720
BIHAR,VIKASH KUMAR SINGH,Janata Dal (United),RAGHUNATHPUR,43.690
BIHAR,SATISH KUMAR,Bharatiya Janata Party,RAGHOPUR,43.640
BIHAR,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,SIWAN,43.560
BIHAR,TANUSHREE KUMARI,Rashtriya Janata Dal,BARACHATTI,43.540
BIHAR,YUSUF SALAHUDDIN,Rashtriya Janata Dal,SIMRI BAKHTIARPUR,43.540
BIHAR,SHAILENDRA PRATAP,Rashtriya Janata Dal,TARAIYA,43.520
BIHAR,ALOK RANJAN,Bharatiya Janata Party,SAHARSA,43.500
BIHAR,MUKESH KUMAR YADAV,Rashtriya Janata Dal,BAJPATTI,43.470
BIHAR,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,SONEPUR,43.200
BIHAR,DEWA GUPTA,Rashtriya Janata Dal,MOTIHARI,43.170
BIHAR,PINKI BHARTI,Rashtriya Janata Dal,RAJAULI,43.010
BIHAR,SHYAMDEO PASWAN,Lok Janshakti Party (Ram Vilas),BODH GAYA,43.000
BIHAR,BRAJ KISHOR YADAV,Rashtriya Janata Dal,KHAJAULI,42.950
BIHAR,AFZAL ALI KHAN,Rashtriya Janata Dal,GAURA BAURAM,42.810
BIHAR,DR. VIPIN KUMAR SINGH,Rashtriya Janata Dal,CHHATAPUR,42.690
BIHAR,JAY PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,JHAJHA,42.670
BIHAR,GHULAM SHAHID,Rashtriya Janata Dal,RAFIGANJ,42.610
BIHAR,PUNAM KUMARI,Indian National Congress,KORHA,42.480
BIHAR,FARAZ FATMI,Rashtriya Janata Dal,KEOTI,42.480
BIHAR,SWEETY SIMA HEMBROM,Rashtriya Janata Dal,KATORIA,42.460
BIHAR,TAUQUIR ALAM,Indian National Congress,BARARI,42.370
BIHAR,DR. RANVIJAY KUMAR,Bharatiya Janata Party,GOH,42.320
BIHAR,EJYA YADAV,Rashtriya Janata Dal,MOHIUDDINNAGAR,42.310
BIHAR,SUNIL KUMAR SUMAN,Rashtriya Janata Dal,KURHANI,42.300
BIHAR,SUNIL KUMAR,Rashtriya Janata Dal,AMNOUR,42.270
BIHAR,PRITHWINATH RAY,Rashtriya Janata Dal,SAHEBGANJ,42.270
BIHAR,BINOD MISHRA,Rashtriya Janata Dal,ALINAGAR,42.270
BIHAR,AVINASH KUMAR VIDYARTHI,Rashtriya Janata Dal,MUNGER,42.250
BIHAR,AMOD KUMAR SINGH,Rashtriya Janata Dal,NABINAGAR,42.230
BIHAR,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,HAJIPUR,42.050
BIHAR,KAVITA KUMARI SAHA,Janata Dal (United),MADHEPURA,42.010
BIHAR,SATYADEO RAM,Communist Party of India (Marxist-Leninist) (Liberation),DARAULI,41.920
BIHAR,SHATRUGHAN YADAV,Rashtriya Janata Dal,CHAPRA,41.840
BIHAR,SHAMBHU KUMAR SUMAN,Janata Dal (United),MANIHARI,41.800
BIHAR,HARI NARAYAN PRAMANIK,Vikassheel Insaan Party,SIKTI,41.780
BIHAR,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),FATUHA,41.660
BIHAR,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,KURTHA,41.590
BIHAR,ATRI MUNI URF SHAKTI SINGH YADAV,Rashtriya Janata Dal,HILSA,41.440
BIHAR,ARUN KUMAR GUPTA,Rashtriya Janata Dal,BARHARIA,41.350
BIHAR,SHYAM BIHARI PRASAD,Indian National Congress,RAXAUL,41.260
BIHAR,RIT LAL ROY,Rashtriya Janata Dal,DANAPUR,41.190
BIHAR,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,SAMASTIPUR,41.160
BIHAR,RAHUL TIWARY,Rashtriya Janata Dal,SHAHPUR,41.160
BIHAR,PREM SHANKAR PRASAD,Rashtriya Janata Dal,BAIKUNTHPUR,41.070
BIHAR,TRIBHUWAN PRASAD,Rashtriya Janata Dal,DHORAIYA,41.050
BIHAR,PREMA CHAUDHARY,Rashtriya Janata Dal,PATEPUR,41.030
BIHAR,SARITA DEVI,Indian National Congress,SONBARSHA,40.870
BIHAR,SUNIL KUMAR,Lok Janshakti Party (Ram Vilas),PALIGANJ,40.830
BIHAR,RAJMANGAL PRASAD,Communist Party of India (Marxist),PIPRA,40.740
BIHAR,RAJESH KUMAR SINGH,Rashtriya Janata Dal,HATHUA,40.690
BIHAR,UMESH KUMAR RAM,Indian National Congress,SAKRA,40.600
BIHAR,MALA PUSHPAM,Rashtriya Janata Dal,HASANPUR,40.570
BIHAR,JITENDRA KUMAR,Indian National Congress,PURNIA,40.530
BIHAR,QUYAMUDDIN ANSARI,Communist Party of India (Marxist-Leninist) (Liberation),ARRAH,40.380
BIHAR,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),ZIRADEI,40.270
BIHAR,AMAR KUMAR PASWAN,Rashtriya Janata Dal,BOCHAHAN,40.150
BIHAR,JITENDRA YADAV,Lok Janshakti Party (Ram Vilas),MANER,40.140
BIHAR,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),GHOSI,40.100
