state,party,seats_participated,seats_won,success_ratio
BIHAR,Bahujan Samaj Party,179,1,0.55865921787709497200
BIHAR,Indian National Congress,61,6,9.83606557377049180300
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),20,2,10.00000000000000000000
BIHAR,Rashtriya Janata Dal,143,25,17.48251748251748251700
BIHAR,All India Majlis-E-Ittehadul Muslimeen,28,5,17.85714285714285714300
BIHAR,Communist Party of India (Marxist),4,1,25.00000000000000000000
BIHAR,Indian Inclusive Party,3,1,33.33333333333333333300
BIHAR,Rashtriya Lok Morcha,6,4,66.66666666666666666700
BIHAR,Lok Janshakti Party (Ram Vilas),28,19,67.85714285714285714300
BIHAR,Janata Dal (United),101,84,83.16831683168316831700
BIHAR,Hindustani Awam Morcha (Secular),6,5,83.33333333333333333300
BIHAR,Bharatiya Janata Party,101,88,87.12871287128712871300
