state,losing_party,< 500,< 2500,< 5000,< 10000,< 15000,< 25000,< 50000
BIHAR,All India Majlis-E-Ittehadul Muslimeen,1,1,1,2,2,2,2
BIHAR,Bahujan Samaj Party,0,0,0,0,0,0,1
BIHAR,Bharatiya Janata Party,3,5,6,8,10,10,11
BIHAR,Communist Party of India,0,0,0,0,0,2,4
BIHAR,Communist Party of India (Marxist),0,0,0,1,3,3,3
BIHAR,Communist Party of India (Marxist-Leninist) (Liberation),1,2,3,4,7,10,14
BIHAR,Hindustani Awam Morcha (Secular),0,1,1,1,1,1,1
BIHAR,Independent,0,0,0,0,0,2,4
BIHAR,Indian Inclusive Party,0,0,0,0,0,0,1
BIHAR,Indian National Congress,0,0,0,4,11,25,46
BIHAR,Janata Dal (United),0,2,4,9,12,13,16
BIHAR,Jan Suraaj Party,0,0,0,0,0,0,1
BIHAR,Lok Janshakti Party (Ram Vilas),0,2,3,5,6,8,8
BIHAR,Rashtriya Janata Dal,2,5,13,29,46,77,107
BIHAR,Rashtriya Lok Morcha,0,0,0,0,0,1,2
BIHAR,Vikassheel Insaan Party,0,0,0,0,0,4,7
