state,constituency,constituency_code,runner_up_party,runner_up_votes,winning_party,winning_votes,vote_difference
BIHAR,RAMGARH,S04203,Bharatiya Janata Party,72659,Bahujan Samaj Party,72689,30
BIHAR,DHAKA,S0421,Bharatiya Janata Party,112549,Rashtriya Janata Dal,112727,178
BIHAR,FORBESGANJ,S0448,Bharatiya Janata Party,119893,Indian National Congress,120114,221
BIHAR,CHANPATIA,S047,Bharatiya Janata Party,86936,Indian National Congress,87538,602
BIHAR,SAHARSA,S0475,Bharatiya Janata Party,112998,Indian Inclusive Party,115036,2038
BIHAR,GOH,S04219,Bharatiya Janata Party,89583,Rashtriya Janata Dal,93624,4041
BIHAR,WARSALIGANJ,S04239,Bharatiya Janata Party,90290,Rashtriya Janata Dal,97833,7543
BIHAR,BISFI,S0435,Bharatiya Janata Party,92664,Rashtriya Janata Dal,100771,8107
BIHAR,KISHANGANJ,S0454,Bharatiya Janata Party,76875,Indian National Congress,89669,12794
BIHAR,RAGHOPUR,S04128,Bharatiya Janata Party,104065,Rashtriya Janata Dal,118597,14532
BIHAR,BAISI,S0457,Bharatiya Janata Party,65515,All India Majlis-E-Ittehadul Muslimeen,92766,27251
