state,constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
BIHAR,S04206,CHAINPUR,Bahujan Samaj Party,DHIRAJ KUMAR SINGH,22.35,2.21,20.14,23,8362
BIHAR,S04135,MORWA,Independent,ABHAY KUMAR SINGH,15.27,1.33,13.94,10,8671
BIHAR,S047,CHANPATIA,Jan Suraaj Party,TRIPURARI KUMAR TIWARI ALIAS MANISH KASHYAP,17.02,3.48,13.54,6,602
BIHAR,S04213,KARAKAT,Independent,JYOTI SINGH,11.87,1.33,10.54,14,2836
BIHAR,S04114,MANJHI,Independent,RANA PRATAP SINGH,10.77,1.33,9.44,13,9787
BIHAR,S04141,CHERIA,Jan Suraaj Party,MRITUNJAY KUMAR,12.86,3.48,9.38,10,4119
BIHAR,S04223,AURANGABAD,Bahujan Samaj Party,SHAKTI KUMAR MISHRA,9.84,2.21,7.63,16,6794
BIHAR,S04202,RAJPUR,Bahujan Samaj Party,LAL JEE RAM,9.70,2.21,7.49,14,9136
BIHAR,S04118,CHAPRA,Independent,RAKHI GUPTA,6.07,1.33,4.74,11,7600
BIHAR,S04201,DUMRAON,Bahujan Samaj Party,DADAN YADAV,5.66,2.21,3.45,17,2105
BIHAR,S04229,BODH GAYA,Independent,NANDLAL KUMAR,4.41,1.33,3.08,11,881
BIHAR,S04106,ZIRADEI,Jan Suraaj Party,MUNNA PANDEY,6.41,3.48,2.93,11,2626
BIHAR,S04242,JHAJHA,Independent,MOHAMMAD IRFAN,3.93,1.33,2.60,10,4262
BIHAR,S0479,GAURA BAURAM,Independent,SHYAM SUNDAR CHOUDHARY,3.89,1.33,2.56,13,5669
BIHAR,S04122,SONEPUR,Jan Suraaj Party,CHANDAN LAL MEHTA,6.01,3.48,2.53,9,4767
