CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_VOTES
"VARDHAN YADAV","Indian National Congress",BADSHAHPUR,HARYANA,84798
"DURA RAM","Bharatiya Janata Party",FATEHABAD,HARYANA,83920
"VARINDER SINGH RATHORE","Indian National Congress",GHARAUNDA,HARYANA,82705
"JAI PARKASH DALAL","Bharatiya Janata Party",LOHARU,HARYANA,80544
"DEVENDER SINGH BABLI","Bharatiya Janata Party",TOHANA,HARYANA,77686
"LEELA RAM","Bharatiya Janata Party",KAITHAL,HARYANA,75620
"KARAN SINGH DALAL","Indian National Congress",PALWAL,HARYANA,75513
"JAGDISH YADAV","Indian National Congress",KOSLI,HARYANA,74976
"ASEEM GOEL NANEOLA","Bharatiya Janata Party","AMBALA CITY",HARYANA,73344
"VIJAY PRATAP SINGH","Indian National Congress",BADKHAL,HARYANA,73295
"CAPT. ABHIMANYU","Bharatiya Janata Party",NARNAUND,HARYANA,72223
"GOPAL KANDA","Haryana Lokhit Party",SIRSA,HARYANA,71786
"DR. M.L. RANGA","Indian National Congress",BAWAL,HARYANA,66847
"SUBHASH SUDHA","Bharatiya Janata Party",THANESAR,HARYANA,66833
"UDAI BHAN","Indian National Congress",HODAL,HARYANA,66270
"SANTOSH CHAUHAN SARWAN","Bharatiya Janata Party",MULANA,HARYANA,66224
"GIAN CHAND GUPTA","Bharatiya Janata Party",PANCHKULA,HARYANA,65400
"RAKESH KAMBOJ","Indian National Congress",INDRI,HARYANA,65316
"SUNITA DUGGAL","Bharatiya Janata Party",RATIA,HARYANA,64984
"BHAVYA BISHNOI","Bharatiya Janata Party",ADAMPUR,HARYANA,64103
"MANISHA SANGWAN","Indian National Congress",DADRI,HARYANA,63611
"ABHAY SINGH CHAUTALA","Indian National Lok Dal",ELLENABAD,HARYANA,62865
"ANIRUDH CHAUDHARY","Indian National Congress",TOSHAM,HARYANA,62157
"DHARAM SINGH CHHOKER","Indian National Congress",SAMALKHA,HARYANA,61978
"KANWAR PAL","Bharatiya Janata Party",JAGADHRI,HARYANA,60535
"RAO DAN SINGH","Indian National Congress",MAHENDRAGARH,HARYANA,60388
"DR. BISHAN LAL SAINI","Indian National Congress",RADAUR,HARYANA,60216
"JAI BHAGWAN ANTIL","Indian National Congress",RAI,HARYANA,59941
"YOGESH KUMAR","Bharatiya Janata Party",JULANA,HARYANA,59065
"DHARAM PAL","Indian National Congress",NILOKHERI,HARYANA,59057
"NEERAJ SHARMA","Indian National Congress","FARIDABAD NIT",HARYANA,58775
"PRADEEP NARWAL","Indian National Congress","BAWANI KHERA",HARYANA,58298
"MANISH KUMAR GROVER","Bharatiya Janata Party",ROHTAK,HARYANA,58078
"JAI BHAGWAN SHARMA (DD)","Bharatiya Janata Party",PEHOWA,HARYANA,57995
"RAHUL MAKKAR","Indian National Congress",HANSI,HARYANA,57226
"RENU DABLA","Bharatiya Janata Party",KALANAUR,HARYANA,57116
"LALIT NAGAR S/O LATE BHARAT SINGH NAGAR",Independent,TIGAON,HARYANA,56828
"SUMITA VIRK","Indian National Congress",KARNAL,HARYANA,56354
"BALWANT SINGH","Bharatiya Janata Party",SADHAURA,HARYANA,55835
"AMIT SIHAG","Indian National Congress",DABWALI,HARYANA,55464
"SURENDER PANWAR","Indian National Congress",SONIPAT,HARYANA,55200
"DR. ABHE SINGH YADAV","Bharatiya Janata Party","NANGAL CHAUDHRY",HARYANA,55059
"CHIRANJEEV RAO","Indian National Congress",REWARI,HARYANA,54978
"SUBHASH GANGOLI","Indian National Congress",SAFIDON,HARYANA,54946
"ATTAR LAL","Bahujan Samaj Party",ATELI,HARYANA,54652
"SUBHASH CHAND","Bharatiya Janata Party",SHAHBAD,HARYANA,54609
"NAVEEN GOYAL",Independent,GURGAON,HARYANA,54570
"ANIL MAAN","Indian National Congress",NALWA,HARYANA,54186
"MEWA SINGH","Indian National Congress",LADWA,HARYANA,54123
"BALBIR SINGH BALMIKI","Indian National Congress",ISRANA,HARYANA,53643
"RAHISH KHAN",Independent,PUNAHANA,HARYANA,53384
"MAHAVIR GUPTA","Indian National Congress",JIND,HARYANA,53060
"KAPTAN BIRDHANA","Bharatiya Janata Party",JHAJJAR,HARYANA,52790
"CHITRA SARWARA",Independent,"AMBALA CANTT.",HARYANA,52581
"SHAMSHER SINGH GOGI","Indian National Congress",ASSANDH,HARYANA,52455
"JAIVEER SINGH","Indian National Congress",KHARKHAUDA,HARYANA,52449
"PEARL CHOUDHARY","Indian National Congress",PATAUDI,HARYANA,51989
"SOMVIR SINGH","Indian National Congress",BADHRA,HARYANA,51730
"OMPRAKASH DHANKAR","Bharatiya Janata Party",BADLI,HARYANA,51340
"SACHIN KUNDU","Indian National Congress","PANIPAT RURAL",HARYANA,50867
"RAMAN TYAGI","Indian National Congress",YAMUNANAGAR,HARYANA,50748
"ANOOP DHANAK","Bharatiya Janata Party",UKLANA,HARYANA,50356
"PARDEEP CHAUDHARY","Indian National Congress",KALKA,HARYANA,49729
"TEK CHAND SHARMA","Bharatiya Janata Party",PRITHLA,HARYANA,49721
"ROHTAS SINGH","Indian National Congress",SOHNA,HARYANA,49366
"BRIJENDRA SINGH","Indian National Congress","UCHANA KALAN",HARYANA,48936
"KAPOOR SINGH NARWAL",Independent,BARODA,HARYANA,48820
"SATBIR DABLAIN","Indian National Congress",NARWANA,HARYANA,47975
"MANOJ KUMAR","Bharatiya Janata Party",HATHIN,HARYANA,47511
"DR. PAWAN SAINI","Bharatiya Janata Party",NARAINGARH,HARYANA,47086
"JAGBIR SINGH MALIK","Indian National Congress",GOHANA,HARYANA,46626
"VARINDER KUMAR SHAH","Indian National Congress","PANIPAT CITY",HARYANA,46078
"LAKHAN KUMAR SINGLA","Indian National Congress",FARIDABAD,HARYANA,45263
"TAHIR HUSSAIN","Indian National Lok Dal",NUH,HARYANA,44870
"SHARDA RATHORE",Independent,BALLABGARH,HARYANA,44076
"RAJINDER SINGH DESUJODHA","Bharatiya Janata Party",KALANWALI,HARYANA,43769
"KULDIP SHARMA","Indian National Congress",GANAUR,HARYANA,42039
"KULWANT RAM BAZIGAR","Bharatiya Janata Party",GUHLA,HARYANA,41731
"SATBIR BHANA",Independent,PUNDRI,HARYANA,40608
"RAO NARENDER SINGH","Indian National Congress",NARNAUL,HARYANA,40464
"RAMNIWAS GHORELA","Indian National Congress",BARWALA,HARYANA,39901
"SARV MITTER","Indian National Congress",RANIA,HARYANA,39723
"BALRAJ KUNDU","Haryana Jan Sevak Party",MEHAM,HARYANA,38805
MANJU,"Bharatiya Janata Party","GARHI SAMPLA",HARYANA,37074
"KAMLESH DHANDA","Bharatiya Janata Party",KALAYAT,HARYANA,34723
"OM PRAKASH","Communist Party of India  (Marxist)",BHIWANI,HARYANA,34373
"NASEEM AHMED","Bharatiya Janata Party","FEROZEPUR JHIRKA",HARYANA,32056
"DINESH KAUSHIK","Bharatiya Janata Party",BAHADURGARH,HARYANA,31192
"RAM NIWAS RARA","Indian National Congress",HISAR,HARYANA,30290
"SANJAY KUMAR","Bharatiya Janata Party",BERI,HARYANA,25160
