STATE,PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
HARYANA,"Bharatiya Janata Party",356000000,5548800,64.1580
HARYANA,"Indian National Congress",356000000,5430602,65.5544
HARYANA,"Communist Party of India  (Marxist)",4000000,34373,116.3704
HARYANA,"Haryana Lokhit Party",16000000,72492,220.7140
HARYANA,"Haryana Jan Sevak Party",12000000,39333,305.0873
HARYANA,"Indian National Lok Dal",204000000,575192,354.6642
HARYANA,"Bahujan Samaj Party",140000000,252671,554.0802
HARYANA,"Nationalist Congress Party – Sharadchandra Pawar",4000000,4218,948.3167
HARYANA,"Kisan Mazdoor Sangharsh Party",4000000,3977,1005.7833
HARYANA,Independent,1856000000,1448835,1281.0292
HARYANA,"Aam Aadmi Party",352000000,248455,1416.7555
HARYANA,"Jannayak Janta Party",264000000,125022,2111.6284
HARYANA,"Aazad Samaj Party (Kanshi Ram)",48000000,19534,2457.2540
HARYANA,"Rashtriya Bhagidari Samaj Party",4000000,1339,2987.3040
HARYANA,"Sanyukt Sangharsh Party",4000000,1170,3418.8034
HARYANA,"Communist Party of India",8000000,1342,5961.2519
HARYANA,"Socialist Unity Centre Of India (COMMUNIST)",32000000,4880,6557.3770
HARYANA,"None of the Above",360000000,53300,6754.2214
HARYANA,"Rashtrawadi Janlok Party (Satya)",28000000,3331,8405.8841
HARYANA,"Samata Party",12000000,1395,8602.1505
HARYANA,"Mission Ekta Party",20000000,2197,9103.3227
HARYANA,"Jan Sewak Kranti Party",24000000,2155,11136.8910
HARYANA,"Veer Lakshya Party",4000000,353,11331.4448
HARYANA,"Bhartiya Panchyat Party",4000000,335,11940.2985
HARYANA,"Political Team India",4000000,328,12195.1220
HARYANA,"Liberal Socialist Party",8000000,632,12658.2278
HARYANA,"Akhil Bhartiya Manavatavadi Party",4000000,313,12779.5527
HARYANA,"Loktanter Suraksha Party",12000000,812,14778.3251
HARYANA,"Ambedkar Samaj Vikas Party",4000000,261,15325.6705
HARYANA,"Bhartiya Shakti Chetna Party",44000000,2733,16099.5243
HARYANA,"Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",20000000,1177,16992.3534
HARYANA,"Buland Bharat Party",16000000,922,17353.5792
HARYANA,"Bharatiya Asha Party",8000000,461,17353.5792
HARYANA,"Republican Party of India",4000000,230,17391.3043
HARYANA,"Republican Party of India (A)",16000000,825,19393.9394
HARYANA,"Rashtriya Janhit Vikas Party",4000000,200,20000.0000
HARYANA,"Akhil Bhartiya Kisan Majdoor Party",8000000,392,20408.1633
HARYANA,"Indian Praja Congress",8000000,383,20887.7285
HARYANA,"Bahujan Mukti Party",4000000,190,21052.6316
HARYANA,"Bharat Jodo Party",4000000,190,21052.6316
HARYANA,"Peoples Party of India (Democratic)",48000000,2169,22130.0138
HARYANA,"Yuga Thulasi Party",20000000,900,22222.2222
HARYANA,"Sarva Jan Smaj Party (Nand Kishore Chawla)",4000000,168,23809.5238
HARYANA,"Aam Janshakti Party",4000000,166,24096.3855
HARYANA,"Rashtriya Lokswaraj Party",8000000,286,27972.0280
HARYANA,"Aam Aadmi Parivartan Party",20000000,631,31695.7211
HARYANA,"Akhil Bharatiya Socialist Party",4000000,95,42105.2632
HARYANA,"Rashtriya Mazdoor Ekta Party",4000000,84,47619.0476
HARYANA,"Rashtra Nirman Party",4000000,81,49382.7160
HARYANA,"Bhartiya Kisan Party",12000000,241,49792.5311
HARYANA,"Right to Recall Party",16000000,315,50793.6508
HARYANA,"Bahujan Janata Dal (Khodawal)",4000000,78,51282.0513
HARYANA,"Rashtriya Jatigat Aarakshan Virodhi Party",4000000,70,57142.8571
HARYANA,"Nehru Janhit Congress",4000000,67,59701.4925
HARYANA,"Rashtriya Garib Dal",16000000,243,65843.6214
HARYANA,"Rashtriya Majdoor Vikas Party",4000000,60,66666.6667
HARYANA,"Bhartiya Veer Dal",4000000,58,68965.5172
HARYANA,"Nationalist Congress Party",4000000,56,71428.5714
HARYANA,"Bhartiya Sarvodaya Party",4000000,48,83333.3333
HARYANA,"Bhartiya Janraj Party",4000000,41,97560.9756
HARYANA,"Bharat Jan Jagran Dal",4000000,39,102564.1026
HARYANA,"Rashtravadi Bharat Party",4000000,34,117647.0588
