STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
HARYANA,LOHARU,80544,"Indian National Congress",81336,792
HARYANA,ADAMPUR,64103,"Indian National Congress",65371,1268
HARYANA,ROHTAK,58078,"Indian National Congress",59419,1341
HARYANA,SADHAURA,55835,"Indian National Congress",57534,1699
HARYANA,PANCHKULA,65400,"Indian National Congress",67397,1997
HARYANA,FATEHABAD,83920,"Indian National Congress",86172,2252
HARYANA,THANESAR,66833,"Indian National Congress",70076,3243
HARYANA,JULANA,59065,"Indian National Congress",65080,6015
HARYANA,SHAHBAD,54609,"Indian National Congress",61050,6441
HARYANA,PEHOWA,57995,"Indian National Congress",64548,6553
HARYANA,JAGADHRI,60535,"Indian National Congress",67403,6868
HARYANA,"NANGAL CHAUDHRY",55059,"Indian National Congress",61989,6930
HARYANA,KAITHAL,75620,"Indian National Congress",83744,8124
HARYANA,TOHANA,77686,"Indian National Congress",88522,10836
HARYANA,"AMBALA CITY",73344,"Indian National Congress",84475,11131
HARYANA,KALANAUR,57116,"Indian National Congress",69348,12232
HARYANA,NARNAUND,72223,"Indian National Congress",84801,12578
HARYANA,MULANA,66224,"Indian National Congress",79089,12865
HARYANA,KALAYAT,34723,"Indian National Congress",48142,13419
HARYANA,JHAJJAR,52790,"Indian National Congress",66345,13555
HARYANA,NARAINGARH,47086,"Indian National Congress",62180,15094
HARYANA,BADLI,51340,"Indian National Congress",68160,16820
HARYANA,PRITHLA,49721,"Indian National Congress",70262,20541
HARYANA,RATIA,64984,"Indian National Congress",86426,21442
HARYANA,GUHLA,41731,"Indian National Congress",64611,22880
HARYANA,KALANWALI,43769,"Indian National Congress",66728,22959
HARYANA,UKLANA,50356,"Indian National Congress",78448,28092
HARYANA,HATHIN,47511,"Indian National Congress",79907,32396
HARYANA,BERI,25160,"Indian National Congress",60630,35470
HARYANA,BAHADURGARH,31192,Independent,73191,41999
