STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
HARYANA,"UCHANA KALAN",48936,"Bharatiya Janata Party",48968,32
HARYANA,DABWALI,55464,"Indian National Lok Dal",56074,610
HARYANA,DADRI,63611,"Bharatiya Janata Party",65568,1957
HARYANA,ASSANDH,52455,"Bharatiya Janata Party",54761,2306
HARYANA,HODAL,66270,"Bharatiya Janata Party",68865,2595
HARYANA,MAHENDRAGARH,60388,"Bharatiya Janata Party",63036,2648
HARYANA,SAFIDON,54946,"Bharatiya Janata Party",58983,4037
HARYANA,RANIA,39723,"Indian National Lok Dal",43914,4191
HARYANA,GHARAUNDA,82705,"Bharatiya Janata Party",87236,4531
HARYANA,RAI,59941,"Bharatiya Janata Party",64614,4673
HARYANA,KHARKHAUDA,52449,"Bharatiya Janata Party",58084,5635
HARYANA,BADKHAL,73295,"Bharatiya Janata Party",79476,6181
HARYANA,BADHRA,51730,"Bharatiya Janata Party",59315,7585
HARYANA,GOHANA,46626,"Bharatiya Janata Party",57055,10429
HARYANA,KALKA,49729,"Bharatiya Janata Party",60612,10883
HARYANA,NARWANA,47975,"Bharatiya Janata Party",59474,11499
HARYANA,SOHNA,49366,"Bharatiya Janata Party",61243,11877
HARYANA,NALWA,54186,"Bharatiya Janata Party",66330,12144
HARYANA,RADAUR,60216,"Bharatiya Janata Party",73348,13132
HARYANA,ISRANA,53643,"Bharatiya Janata Party",67538,13895
HARYANA,TOSHAM,62157,"Bharatiya Janata Party",76414,14257
HARYANA,INDRI,65316,"Bharatiya Janata Party",80465,15149
HARYANA,JIND,53060,"Bharatiya Janata Party",68920,15860
HARYANA,LADWA,54123,"Bharatiya Janata Party",70177,16054
HARYANA,NARNAUL,40464,"Bharatiya Janata Party",57635,17171
HARYANA,KOSLI,74976,"Bharatiya Janata Party",92185,17209
HARYANA,NILOKHERI,59057,"Bharatiya Janata Party",77902,18845
HARYANA,HISAR,30290,Independent,49231,18941
HARYANA,SAMALKHA,61978,"Bharatiya Janata Party",81293,19315
HARYANA,BAWAL,66847,"Bharatiya Janata Party",86858,20011
HARYANA,HANSI,57226,"Bharatiya Janata Party",78686,21460
HARYANA,"BAWANI KHERA",58298,"Bharatiya Janata Party",80077,21779
HARYANA,YAMUNANAGAR,50748,"Bharatiya Janata Party",73185,22437
HARYANA,BARWALA,39901,"Bharatiya Janata Party",66843,26942
HARYANA,REWARI,54978,"Bharatiya Janata Party",83747,28769
HARYANA,SONIPAT,55200,"Bharatiya Janata Party",84827,29627
HARYANA,"FARIDABAD NIT",58775,"Bharatiya Janata Party",91992,33217
HARYANA,PALWAL,75513,"Bharatiya Janata Party",109118,33605
HARYANA,KARNAL,56354,"Bharatiya Janata Party",90006,33652
HARYANA,GANAUR,42039,Independent,77248,35209
HARYANA,"PANIPAT CITY",46078,"Bharatiya Janata Party",81750,35672
HARYANA,PATAUDI,51989,"Bharatiya Janata Party",98519,46530
HARYANA,FARIDABAD,45263,"Bharatiya Janata Party",93651,48388
