STATE,PARTY,NO_OF_CANDIDATES
"JAMMU & KASHMIR",Independent,346
"JAMMU & KASHMIR","Jammu & Kashmir Peoples Democratic Party",80
"JAMMU & KASHMIR","Bharatiya Janata Party",62
"JAMMU & KASHMIR","Jammu & Kashmir National Conference",56
"JAMMU & KASHMIR","Jammu and Kashmir Apni Party",46
"JAMMU & KASHMIR","Indian National Congress",39
"JAMMU & KASHMIR","Bahujan Samaj Party",28
"JAMMU & KASHMIR","Democratic Progressive Azad Party",23
"JAMMU & KASHMIR","Jammu & Kashmir National Panthers Party (Bhim)",21
"JAMMU & KASHMIR","Samajwadi Party",20
"JAMMU & KASHMIR","Jammu & Kashmir People Conference",20
"JAMMU & KASHMIR","Jammu & Kashmir Awami National Conference",11
"JAMMU & KASHMIR","Bhim Sena",9
"JAMMU & KASHMIR","Nationalist Congress Party",9
"JAMMU & KASHMIR","Rashtriya Lok Dal",9
"JAMMU & KASHMIR","Jammu & Kashmir All Alliance Democratic Party",9
"JAMMU & KASHMIR","Shiv Sena (Uddhav Balasaheb Thackeray)",9
"JAMMU & KASHMIR","Aam Aadmi Party",7
"JAMMU & KASHMIR","Janata Dal  (United)",5
"JAMMU & KASHMIR","Rashtriya Lok Janshakti Party",5
"JAMMU & KASHMIR","Aazad Samaj Party (Kanshi Ram)",5
"JAMMU & KASHMIR","Republican Party of India (Athawale)",4
"JAMMU & KASHMIR","Republican Party of India (A)",4
"JAMMU & KASHMIR","Jammu and Kashmir Nationalist Peoples Front",4
"JAMMU & KASHMIR","All India Forward Bloc",4
"JAMMU & KASHMIR","J&K National Panthers Party (India)",4
"JAMMU & KASHMIR","Sampoorna Bharat Kranti Party",3
"JAMMU & KASHMIR","National Loktantrik Party",3
"JAMMU & KASHMIR","Jammu And Kashmir Peoples Democratic Front (Secular)",3
"JAMMU & KASHMIR","National Awami United Party",3
"JAMMU & KASHMIR","Anarakshit Samaj Party",2
"JAMMU & KASHMIR","All Jammu & Kashmir Liberal Democratic Party",2
"JAMMU & KASHMIR","Liberal Democratic Party",2
"JAMMU & KASHMIR","Hindustan Shakti Sena",2
"JAMMU & KASHMIR","Sainik Samaj Party",2
"JAMMU & KASHMIR","Bharatiya Sampuran Krantikari Party",1
"JAMMU & KASHMIR","National Youth Party",1
"JAMMU & KASHMIR","Bharat Jodo Party",1
"JAMMU & KASHMIR","National Republic Party Of India",1
"JAMMU & KASHMIR","Garib Democratic Party",1
"JAMMU & KASHMIR","Peoples Democratic Party",1
"JAMMU & KASHMIR","Communist Party of India  (Marxist)",1
"JAMMU & KASHMIR","Aman Aur Shanti Tehreek-E-Jammu & Kashmir",1
"JAMMU & KASHMIR","Azad Samaj Party",1
"JAMMU & KASHMIR","Haq Insaaf Party",1
"JAMMU & KASHMIR","ShivSena (Uddhav Balasaheb Thackeray)",1
"JAMMU & KASHMIR","National Democratic Party (Indian)",1
