STATE,CANDIDATE,CONSTITUENCY_COUNT
"JAMMU & KASHMIR","RAVINDER SINGH",3
"JAMMU & KASHMIR","BALBIR SINGH",2
"JAMMU & KASHMIR","BILAL AHMAD BHAT",2
"JAMMU & KASHMIR","GAZANFAR ALI",2
"JAMMU & KASHMIR","GHULAM NABI BHAT",2
"JAMMU & KASHMIR","MANOJ KUMAR",2
"JAMMU & KASHMIR","NAZIR AHMAD MIR",2
"JAMMU & KASHMIR","OMAR ABDULLAH",2
"JAMMU & KASHMIR","PARVEEN KUMAR",2
"JAMMU & KASHMIR","QARI ZAHEER ABBAS BHATTI",2
"JAMMU & KASHMIR","RAKESH KUMAR",2
"JAMMU & KASHMIR","SAJAD AHMAD DAR",2
"JAMMU & KASHMIR","SAJAD GANI LONE",2
"JAMMU & KASHMIR","SANJAY SARAF",2
"JAMMU & KASHMIR","SARJAN AHMAD WAGAY",2
"JAMMU & KASHMIR","SHAKEEL AHMAD DAR",2
"JAMMU & KASHMIR",SOMA,2
"JAMMU & KASHMIR","SULAKSH GUPTA",2
"JAMMU & KASHMIR","A. R. WANI",1
"JAMMU & KASHMIR","AADIL NAZIR KHAN",1
"JAMMU & KASHMIR","AADIL RASHID BHAT",1
"JAMMU & KASHMIR","AAFAQ SADIQ",1
"JAMMU & KASHMIR","AAQIB MUSHTAQ GANIE",1
"JAMMU & KASHMIR","AASIF AHMAD KHAN",1
"JAMMU & KASHMIR","AASIFUL HASSAN",1
"JAMMU & KASHMIR","AB RASHID KHAN",1
"JAMMU & KASHMIR","ABDUL AHAD",1
"JAMMU & KASHMIR","ABDUL AHAD AAKHOON",1
"JAMMU & KASHMIR","ABDUL AHAD MIR",1
"JAMMU & KASHMIR","ABDUL GAFFAR SOFI",1
"JAMMU & KASHMIR","ABDUL GANI DAR",1
"JAMMU & KASHMIR","ABDUL GANI VAKIL",1
"JAMMU & KASHMIR","ABDUL GHANI",1
"JAMMU & KASHMIR","ABDUL HAMEED TELI",1
"JAMMU & KASHMIR","ABDUL HAMID WANI",1
"JAMMU & KASHMIR","ABDUL MAJEED BANIYEA",1
"JAMMU & KASHMIR","ABDUL MAJEED BHAT",1
"JAMMU & KASHMIR","ABDUL MAJEED KHAN",1
"JAMMU & KASHMIR","ABDUL MAJEED PADDER",1
"JAMMU & KASHMIR","ABDUL MAJEED SHEIKH",1
"JAMMU & KASHMIR","ABDUL MAJID BANDAY",1
"JAMMU & KASHMIR","ABDUL MAJID WANI",1
"JAMMU & KASHMIR","ABDUL QAYUM BHAT",1
"JAMMU & KASHMIR","ABDUL QUYOOM MIR",1
"JAMMU & KASHMIR","ABDUL RASHID",1
"JAMMU & KASHMIR","ABDUL RASHID DAR",1
"JAMMU & KASHMIR","ABDUL RASHID GANAIE",1
"JAMMU & KASHMIR","ABDUL RASHID GOJAR",1
"JAMMU & KASHMIR","ABDUL RASHID GOJJER",1
"JAMMU & KASHMIR","ABDUL RASHID HAROON",1
"JAMMU & KASHMIR","ABDUL REHMAN BHAT",1
"JAMMU & KASHMIR","ABDUL REHMAN BHAT",1
"JAMMU & KASHMIR","ABDUL REHMAN SHALLA",1
"JAMMU & KASHMIR","ABDUL REHMAN WANI",1
"JAMMU & KASHMIR","ABDUL ROUF NAIK",1
"JAMMU & KASHMIR","ABID HUSSAIN ANSARI",1
"JAMMU & KASHMIR","ABID HUSSAIN MALIK",1
