STATE,CANDIDATE,CONSTITUENCY,PARTY,RESULT
"JAMMU & KASHMIR","OMAR ABDULLAH",BUDGAM,"Jammu & Kashmir National Conference",WON
"JAMMU & KASHMIR","OMAR ABDULLAH",GANDERBAL,"Jammu & Kashmir National Conference",WON
"JAMMU & KASHMIR","SAJAD GANI LONE",HANDWARA,"Jammu & Kashmir People Conference",WON
"JAMMU & KASHMIR","QARI ZAHEER ABBAS BHATTI","LAL CHOWK","All India Forward Bloc",LOST
"JAMMU & KASHMIR","QARI ZAHEER ABBAS BHATTI",BAHU,"All India Forward Bloc",LOST
"JAMMU & KASHMIR","BILAL AHMAD BHAT",PAMPORE,Independent,LOST
"JAMMU & KASHMIR","BILAL AHMAD BHAT",BANDIPORA,Independent,LOST
"JAMMU & KASHMIR","GAZANFAR ALI","LAL CHOWK",Independent,LOST
"JAMMU & KASHMIR","GAZANFAR ALI","CHRAR-I- SHARIEF",Independent,LOST
"JAMMU & KASHMIR","GHULAM NABI BHAT",TRAL,Independent,LOST
"JAMMU & KASHMIR","GHULAM NABI BHAT",EIDGAH,Independent,LOST
"JAMMU & KASHMIR","MANOJ KUMAR",BHADARWAH,Independent,LOST
"JAMMU & KASHMIR","MANOJ KUMAR",RAMGARH,Independent,LOST
"JAMMU & KASHMIR","NAZIR AHMAD MIR",RAFIABAD,Independent,LOST
"JAMMU & KASHMIR","NAZIR AHMAD MIR",TREHGAM,Independent,LOST
"JAMMU & KASHMIR","PARVEEN KUMAR",CHHAMB,Independent,LOST
"JAMMU & KASHMIR","PARVEEN KUMAR",BANI,Independent,LOST
"JAMMU & KASHMIR","RAVINDER SINGH",SAMBA,Independent,LOST
"JAMMU & KASHMIR","RAVINDER SINGH","R. S. PURA- JAMMU SOUTH",Independent,LOST
"JAMMU & KASHMIR","RAVINDER SINGH",BARAMULLA,Independent,LOST
"JAMMU & KASHMIR","SAJAD AHMAD DAR",KULGAM,Independent,LOST
"JAMMU & KASHMIR","SAJAD AHMAD DAR","D. H. PORA",Independent,LOST
"JAMMU & KASHMIR","SARJAN AHMAD WAGAY",BEERWAH,Independent,LOST
"JAMMU & KASHMIR","SARJAN AHMAD WAGAY",GANDERBAL,Independent,LOST
"JAMMU & KASHMIR","SHAKEEL AHMAD DAR",PAMPORE,Independent,LOST
"JAMMU & KASHMIR","SHAKEEL AHMAD DAR",EIDGAH,Independent,LOST
"JAMMU & KASHMIR",SOMA,"UDHAMPUR EAST",Independent,LOST
"JAMMU & KASHMIR",SOMA,"UDHAMPUR WEST",Independent,LOST
"JAMMU & KASHMIR","SULAKSH GUPTA",BAHU,Independent,LOST
"JAMMU & KASHMIR","SULAKSH GUPTA","R. S. PURA- JAMMU SOUTH",Independent,LOST
"JAMMU & KASHMIR","BALBIR SINGH",NAGROTA,"Indian National Congress",LOST
"JAMMU & KASHMIR","BALBIR SINGH",JASROTA,"Indian National Congress",LOST
"JAMMU & KASHMIR","RAKESH KUMAR",RAMGARH,"Jammu & Kashmir National Panthers Party (Bhim)",LOST
"JAMMU & KASHMIR","RAKESH KUMAR","JAMMU WEST","Jammu & Kashmir National Panthers Party (Bhim)",LOST
"JAMMU & KASHMIR","SAJAD GANI LONE",KUPWARA,"Jammu & Kashmir People Conference",LOST
"JAMMU & KASHMIR","SANJAY SARAF",ANANTNAG,"Rashtriya Lok Janshakti Party",LOST
"JAMMU & KASHMIR","SANJAY SARAF",HABBAKADAL,"Rashtriya Lok Janshakti Party",LOST
