STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
"JAMMU & KASHMIR",GUREZ,7246,"Jammu & Kashmir National Conference",8378,1132
"JAMMU & KASHMIR",RAJOURI,27519,"Indian National Congress",28923,1404
"JAMMU & KASHMIR",BANI,16624,Independent,18672,2048
"JAMMU & KASHMIR",DODA,18690,"Aam Aadmi Party",23228,4538
"JAMMU & KASHMIR",THANNAMANDI,26466,Independent,32645,6179
"JAMMU & KASHMIR",CHHAMB,27056,Independent,33985,6929
"JAMMU & KASHMIR",NOWSHERA,27250,"Jammu & Kashmir National Conference",35069,7819
"JAMMU & KASHMIR",HABBAKADAL,2899,"Jammu & Kashmir National Conference",12437,9538
"JAMMU & KASHMIR",MENDHAR,17270,"Jammu & Kashmir National Conference",32176,14906
"JAMMU & KASHMIR",BUDHAL,23135,"Jammu & Kashmir National Conference",42043,18908
"JAMMU & KASHMIR","POONCH HAVELI",20928,"Jammu & Kashmir National Conference",41807,20879
