constituency_code,candidate,party,constituency,state,winner_votes
S11134,C P JOHN,Communist Marxist Party Kerala State Committee,THIRUVANANTHAPURAM,KERALA,45586
S11132,V. MURALEEDHARAN,Bharatiya Janata Party,KAZHAKOOTTAM,KERALA,46564
S11133,K. MURALEEDHARAN,Indian National Congress,VATTIYOORKAVU,KERALA,48338
S1188,F. RAJA,Indian National Congress,DEVIKULAM,KERALA,50590
S1127,ADV.K JAYANTH,Indian National Congress,KOZHIKODE NORTH,KERALA,50636
S1193,MANI C KAPPEN,Independent,PALA,KERALA,50799
S11126,B.B.GOPAKUMAR,Bharatiya Janata Party,CHATHANNOOR,KERALA,51923
S1128,ADV. FYZAL BABU,Indian Union Muslim League,KOZHIKODE SOUTH,KERALA,52680
S1195,K BINIMON,Indian National Congress,VAIKOM,KERALA,52944
S11111,ADV.VARGHESE MAMMEN,Kerala Congress,THIRUVALLA,KERALA,53224
S11112,ADV. PAZHAKULAM MADHU,Indian National Congress,RANNI,KERALA,54652
S11127,ADV.V JOY,Communist Party of India (Marxist),VARKALA,KERALA,55365
S1199,VINU JOB KUZHIMANNIL,Kerala Congress,CHANGANASSERY,KERALA,55991
S11106,REJI CHERIYAN,Kerala Congress,KUTTANAD,KERALA,56594
S11100,RONY K BABY,Indian National Congress,KANJIRAPPALLY,KERALA,56646
S11129,RAMYA HARIDAS,Indian National Congress,CHIRAYINKEEZHU,KERALA,56833
S11138,M. R. BAIJU,Indian National Congress,KATTAKKADA,KERALA,56846
S11101,ADV.SEBASTIAN M.J,Indian National Congress,POONJAR,KERALA,56900
S11135,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,NEMOM,KERALA,57192
S11110,SAJI CHERIAN,Communist Party of India (Marxist),CHENGANNUR,KERALA,57859
S11140,N. SHAKTHAN,Indian National Congress,NEYYATTINKARA,KERALA,58760
S1168,GEETHAGOPI,Communist Party of India,NATTIKA,KERALA,58979
S11128,O.S AMBIKA,Communist Party of India (Marxist),ATTINGAL,KERALA,59163
S1167,RAJAN. J. PALLAN,Indian National Congress,THRISSUR,KERALA,60290
S11114,ADV K U JENISH KUMAR,Communist Party of India (Marxist),KONNI,KERALA,60380
S1157,SUMOD,Communist Party of India (Marxist),TARUR,KERALA,60557
S1182,T.J VINOD,Indian National Congress,ERANAKULAM,KERALA,61296
S1160,T M SASI,Communist Party of India (Marxist),ALATHUR,KERALA,61564
S11136,ADV. G. STEEPHEN,Communist Party of India (Marxist),ARUVIKKARA,KERALA,61907
S1156,RAMESH PISHARODY,Indian National Congress,PALAKKAD,KERALA,62199
S1153,THULASI TEACHER,Indian National Congress,KONGAD,KERALA,62734
S1171,K K RAMACHANDRAN,Communist Party of India (Marxist),PUDUKKAD,KERALA,63136
S11124,ADV. BINDHU KRISHNA,Indian National Congress,KOLLAM,KERALA,63416
S11119,K.N. BALAGOPAL,Communist Party of India (Marxist),KOTTARAKKARA,KERALA,63926
S1196,NATTAKOM SURESH,Indian National Congress,ETTUMANOOR,KERALA,64077
S1180,MOHAMMED SHIYAS,Indian National Congress,KOCHI,KERALA,64318
