constituency_code,candidate,party,constituency,state,runner_votes
S1145,V.ABDURAHIMAN,Communist Party of India (Marxist),TIRUR,KERALA,81971
S118,P K SHYAMALA TEACHER,Communist Party of India (Marxist),TALIPARAMBA,KERALA,78788
S115,DR. V P P MUSTAFA,Communist Party of India (Marxist),TRIKARIPUR,KERALA,78678
S1130,ADV. P T A RAHIM,Independent,KUNNAMANGALAM,KERALA,78285
S1125,ADV. K.M. SACHINDEV,Communist Party of India (Marxist),BALUSSERI,KERALA,77824
S1121,K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),KUTTIADI,KERALA,77275
S1124,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),PERAMBRA,KERALA,76342
S1122,ADV.P. VASANTHAM,Communist Party of India,NADAPURAM,KERALA,76163
S1129,P V ANVAR S/O SHOUKATHALI,Independent,BEYPORE,KERALA,74362
S113,C H KUNHAMBU,Communist Party of India (Marxist),UDMA,KERALA,74063
S1136,DR.K.K DAMODARAN,Communist Party of India (Marxist),WANDOOR,KERALA,73135
S1138,V.P MOHAMMED HANEEFA,Communist Party of India (Marxist),PERINTHALMANNA,KERALA,72457
S1150,T. P. SHAJI,Indian National Congress,PATTAMBI,KERALA,70620
S1132,LINTO JOSEPH,Communist Party of India (Marxist),THIRUVAMBADI,KERALA,70399
S1114,JAYANTHI RAJAN,Indian Union Muslim League,KUTHUPARAMBA,KERALA,69162
S116,T. I. MADHUSOODANAN,Communist Party of India (Marxist),PAYYANNUR,KERALA,69153
S11103,K.R. RAJENDRA PRASAD,Indian National Congress,CHERTHALA,KERALA,68727
S1149,M B RAJESH,Communist Party of India (Marxist),THRITHALA,KERALA,68042
S1123,K. DASAN,Communist Party of India (Marxist),QUILANDY,KERALA,67843
S111,K SURENDRAN,Bharatiya Janata Party,MANJESHWAR,KERALA,67696
S1148,ADV.M.K SAKKEER,Communist Party of India (Marxist),PONNANI,KERALA,67407
S1115,CHANDRAN THILLANKERI,Indian National Congress,MATTANNUR,KERALA,67288
S1117,O R KELU,Communist Party of India (Marxist),MANANTHAVADY,KERALA,66882
S1112,ADV. V.P ABDUL RASHEED,Indian National Congress,DHARMADAM,KERALA,66367
S1141,SABAH KUNDUPUZHAKKAL,Independent,VENGARA,KERALA,65538
S1126,A.K.SASEENDRAN S/O KUNJAMBU,Nationalist Congress Party - Sharadchandra Pawar,ELATHUR,KERALA,65500
S1164,T N PRATHAPAN,Indian National Congress,MANALUR,KERALA,65211
S11102,DALEEMA,Communist Party of India (Marxist),AROOR,KERALA,65145
S1139,KUNNATH MOHAMED S/O ALI HAJI,Independent,MANKADA,KERALA,65083
S1165,P.N. VAISAKH,Indian National Congress,WADAKKANCHERY,KERALA,65035
S1147,DR. K T JALEEL,Independent,THAVANUR,KERALA,65014
S1162,P T AJAY MOHAN,Indian National Congress,KUNNAMKULAM,KERALA,64959
S1144,MOHAMED SAMEER T THIRUTHIYIL HOUSE,Independent,TANUR,KERALA,64861
