constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S1164,KERALA,MANALUR,PROF C RAVINDRANATH,Communist Party of India (Marxist),65337,T N PRATHAPAN,Indian National Congress,65211,126
S1110,KERALA,AZHIKODE,K. V. SUMESH,Communist Party of India (Marxist),64951,ADV.  KAREEM CHELERI,Indian Union Muslim League,64602,349
S11132,KERALA,KAZHAKOOTTAM,V. MURALEEDHARAN,Bharatiya Janata Party,46564,KADAKAMPALLY SURENDRAN,Communist Party of India (Marxist),46136,428
S11119,KERALA,KOTTARAKKARA,K.N. BALAGOPAL,Communist Party of India (Marxist),63926,ADV.P. AISHA POTTY,Indian National Congress,62914,1012
S1114,KERALA,KUTHUPARAMBA,P K PRAVEEN,Rashtriya Janata Dal,70448,JAYANTHI RAJAN,Indian Union Muslim League,69162,1286
S1195,KERALA,VAIKOM,K BINIMON,Indian National Congress,52944,P PRADEEP,Communist Party of India,51584,1360
S11129,KERALA,CHIRAYINKEEZHU,RAMYA HARIDAS,Indian National Congress,56833,MANOJ EDAMANA,Communist Party of India,55411,1422
S1127,KERALA,KOZHIKODE NORTH,ADV.K JAYANTH,Indian National Congress,50636,THOTTATHIL RAVINDRAN,Communist Party of India (Marxist),49153,1483
S11114,KERALA,KONNI,ADV K U JENISH KUMAR,Communist Party of India (Marxist),60380,PROF SATHEESH KOCHUPARAMBIL,Indian National Congress,58542,1838
S1163,KERALA,GURUVAYOOR,N. K. AKBAR,Communist Party of India (Marxist),66069,C. H. RASHEED,Indian Union Muslim League,64071,1998
S11127,KERALA,VARKALA,ADV.V JOY,Communist Party of India (Marxist),55365,VARKALA KAHAR,Indian National Congress,53315,2050
S11136,KERALA,ARUVIKKARA,ADV. G. STEEPHEN,Communist Party of India (Marxist),61907,V. S. SIVAKUMAR,Indian National Congress,59064,2843
S1171,KERALA,PUDUKKAD,K K RAMACHANDRAN,Communist Party of India (Marxist),63136,K M BABURAJAN,Indian National Congress,60283,2853
S1193,KERALA,PALA,MANI C KAPPEN,Independent,50799,JOSE K MANI,Kerala Congress (M),47808,2991
S1159,KERALA,NEMMARA,K PREMAN,Communist Party of India (Marxist),66521,A. THANKAPPAN,Indian National Congress,63216,3305
S1153,KERALA,KONGAD,THULASI TEACHER,Indian National Congress,62734,ADV. K.SANTHAKUMARI,Communist Party of India (Marxist),59028,3706
S11112,KERALA,RANNI,ADV. PAZHAKULAM MADHU,Indian National Congress,54652,ADV. PRAMOD NARAYAN,Kerala Congress (M),50308,4344
S11126,KERALA,CHATHANNOOR,B.B.GOPAKUMAR,Bharatiya Janata Party,51923,ADV.R.RAJENDRAN,Communist Party of India,47525,4398
S115,KERALA,TRIKARIPUR,SANDEEP VARIER,Indian National Congress,83109,DR. V P P MUSTAFA,Communist Party of India (Marxist),78678,4431
S1162,KERALA,KUNNAMKULAM,A C MOIDEEN,Communist Party of India (Marxist),69522,P T AJAY MOHAN,Indian National Congress,64959,4563
S113,KERALA,UDMA,NEELAKANDAN,Indian National Congress,78910,C H KUNHAMBU,Communist Party of India (Marxist),74063,4847
S11135,KERALA,NEMOM,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,57192,V SIVANKUTTY,Communist Party of India (Marxist),52214,4978
S1124,KERALA,PERAMBRA,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,81429,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),76342,5087
S1188,KERALA,DEVIKULAM,F. RAJA,Indian National Congress,50590,ADV. A. RAJA,Communist Party of India (Marxist),45357,5233
S11133,KERALA,VATTIYOORKAVU,K. MURALEEDHARAN,Indian National Congress,48338,ADV. V.K PRASANTH,Communist Party of India (Marxist),42913,5425
S1165,KERALA,WADAKKANCHERY,XAVIER CHITTILAPPILLY,Communist Party of India (Marxist),70725,P.N. VAISAKH,Indian National Congress,65035,5690
S11100,KERALA,KANJIRAPPALLY,RONY K BABY,Indian National Congress,56646,DR. N. JAYARAJ,Kerala Congress (M),50874,5772
S1158,KERALA,CHITTUR,ADV. SUMESH ACHUTHAN,Indian National Congress,65325,ADV. V. MURUGADAS,Indian Socialist Janata Dal,58815,6510
