party,party_votes,vote_share
Indian National Congress,6217918,28.79324919524400377800
Communist Party of India (Marxist),4700662,21.76730737661932326600
Bharatiya Janata Party,2466178,11.42010520464059943400
Indian Union Muslim League,2378053,11.01202566976560143100
Communist Party of India,1434524,6.64283559361159302400
Independent,1388701,6.43064349685610895600
Kerala Congress (M),561157,2.59854397221956600700
Kerala Congress,525323,2.43260783545121788300
Twenty 20 Party,304566,1.41035065666653777900
Bharath Dharma Jana Sena,289623,1.34115425962101045800
Revolutionary Socialist Party,261551,1.21116153674996428600
Rashtriya Janata Dal,178051,0.82449894200315766700
Nationalist Congress Party - Sharadchandra Pawar,147799,0.68441131546087750200
None of the Above,123067,0.56988509637970359400
Kerala Congress (Jacob),89551,0.41468289846911712000
Revolutionary Marxist Party of India,70117,0.32469007372289628300
Kerala Congress (B),59965,0.27767931130529651300
Indian Socialist Janata Dal,58815,0.27235401808423271000
Kerala Revolutionary Socialist Party (Leninist- Marxist),56174,0.26012436643481574800
Social Democratic Party Of India,53752,0.24890883584227963300
Congress (Secular),52069,0.24111538498049669200
Communist Marxist Party Kerala State Committee,45586,0.21109462328296918000
Indian National League,41885,0.19395644049065862500
Aam Aadmi Party,37754,0.17482706110264595300
Bahujan Samaj Party,33125,0.15339159821542478100
Socialist Unity Centre Of India (COMMUNIST),9220,0.04269495956365936600
Democratic Human Rights Movement Party,3116,0.01442922928420418500
Equality Party of India,1655,0.007663791548574430581400
Communist Party of India (Marxist-Leninist) Red Star,1073,0.004968730109740401216900
Nationalist Congress Party,692,0.003204437312153175808100
Socialist Republican Party,469,0.002171793496242542563600
Communist Party of India (Marxist-Leninist) (Liberation),458,0.002120855908910627919200
Republican Party of India (Athawale),397,0.001838383833706373982400
Janam Rashtriya Party,375,0.001736508659042544693700
Ambedkarite Party of India,373,0.001727247279527651122000
Bahujan Dravida Party,297,0.001375314857961695397400
All India Hindustan Congress Party,276,0.001278070373055312894500
Bharatheeya Jawan Kisan Party,255,0.001180825888148930391700
Rashtravadi Janata Party,137,0.000634404496770209661400
Socialist Party (India),125,0.000578836219680848231200
Indian Gandhiyan Party,118,0.000546421391378720730300
The Future India Party,53,0.000245426557144679650000
