candidate,party,constituency,runner_up_vote_percentage
DR. V P P MUSTAFA,Communist Party of India (Marxist),TRIKARIPUR,46.040
LINTO JOSEPH,Communist Party of India (Marxist),THIRUVAMBADI,44.930
T. P. RAMAKRISHNAN,Communist Party of India (Marxist),PERAMBRA,44.360
T. I. MADHUSOODANAN,Communist Party of India (Marxist),PAYYANNUR,44.340
K B GANESH KUMAR,Kerala Congress (B),PATHANAPURAM,43.570
ADV.  KAREEM CHELERI,Indian Union Muslim League,AZHIKODE,43.530
K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),KUTTIADI,43.390
PROF SATHEESH KOCHUPARAMBIL,Indian National Congress,KONNI,43.230
ADV.P. AISHA POTTY,Indian National Congress,KOTTARAKKARA,42.270
P T AJAY MOHAN,Indian National Congress,KUNNAMKULAM,42.250
JAYANTHI RAJAN,Indian Union Muslim League,KUTHUPARAMBA,42.120
A. THANKAPPAN,Indian National Congress,NEMMARA,42.000
M.NOUSHAD,Communist Party of India (Marxist),ERAVIPURAM,41.980
M B RAJESH,Communist Party of India (Marxist),THRITHALA,41.950
K K SHAILAJA TEACHER,Communist Party of India (Marxist),PERAVOOR,41.890
K.J. MAXY,Communist Party of India (Marxist),KOCHI,41.780
T. P. SHAJI,Indian National Congress,PATTAMBI,41.680
ADV.M.K SAKKEER,Communist Party of India (Marxist),PONNANI,41.620
V.ABDURAHIMAN,Communist Party of India (Marxist),TIRUR,41.290
MURALEEDHARAN NAIR D K,Communist Party of India (Marxist),VAMANAPURAM,41.190
P K SHYAMALA TEACHER,Communist Party of India (Marxist),TALIPARAMBA,41.000
C H KUNHAMBU,Communist Party of India (Marxist),UDMA,40.960
P PRADEEP,Communist Party of India,VAIKOM,40.860
ANTONY JOHN,Communist Party of India (Marxist),KOTHAMANGALAM,40.710
ADV. K.M. SACHINDEV,Communist Party of India (Marxist),BALUSSERI,40.680
ADV. PRAMOD NARAYAN,Kerala Congress (M),RANNI,40.620
O R KELU,Communist Party of India (Marxist),MANANTHAVADY,40.530
ADV. A. RAJA,Communist Party of India (Marxist),DEVIKULAM,40.450
ADV.P. VASANTHAM,Communist Party of India,NADAPURAM,40.360
DALEEMA,Communist Party of India (Marxist),AROOR,40.220
V. S. SIVAKUMAR,Indian National Congress,ARUVIKKARA,40.210
P V ANVAR S/O SHOUKATHALI,Independent,BEYPORE,40.160
ADV. SHAJI J KODANKANDATH,Indian National Congress,OLLUR,40.020
K.R. RAJENDRA PRASAD,Indian National Congress,CHERTHALA,39.910
ADV. V. MURUGADAS,Indian Socialist Janata Dal,CHITTUR,39.800
P.N. VAISAKH,Indian National Congress,WADAKKANCHERY,39.740
ADV. K.SANTHAKUMARI,Communist Party of India (Marxist),KONGAD,39.710
DR. K T JALEEL,Independent,THAVANUR,39.670
J. CHINCHURANI,Communist Party of India,CHADAYAMANGALAM,39.670
CHANDRAN THILLANKERI,Indian National Congress,MATTANNUR,39.610
C. H. RASHEED,Indian Union Muslim League,GURUVAYOOR,39.540
K M FEBIN,Indian National Congress,ALATHUR,39.490
ADV. RAJEEVAN KAPPACHERI,Indian National Congress,KALLIASSERI,39.400
P RAJEEVE,Communist Party of India (Marxist),KALAMASSERY,39.360
K. DASAN,Communist Party of India (Marxist),QUILANDY,39.350
ADV. JOB MAICHIL,Kerala Congress (M),CHANGANASSERY,39.310
ADV.U.PRATHIBHA,Communist Party of India (Marxist),KAYAMKULAM,39.300
DR.SUJITH VIJAYANPILLAI,Independent,CHAVARA,39.160
K M BABURAJAN,Indian National Congress,PUDUKKAD,39.100
V.P MOHAMMED HANEEFA,Communist Party of India (Marxist),PERINTHALMANNA,38.940
T.M. NAZAR,Indian National Congress,KAIPAMANGALAM,38.850
K. ANSALAN,Communist Party of India (Marxist),NEYYATTINKARA,38.760
ADV. V.P ABDUL RASHEED,Indian National Congress,DHARMADAM,38.660
M K BHASKARAN,Rashtriya Janata Dal,VADAKARA,38.590
VARKALA KAHAR,Indian National Congress,VARKALA,38.570
SABAH KUNDUPUZHAKKAL,Independent,VENGARA,38.490
ADV. V R SUNIL KUMAR,Communist Party of India,KODUNGALLUR,38.440
MANZIL ABOOBACKER,Communist Party of India,MANNARKKAD,38.340
ADV. M. B. SHYNI,Communist Party of India (Marxist),VYPEN,38.300
P.P.CHITHARANJAN,Communist Party of India (Marxist),ALAPPUZHA,38.090
T N PRATHAPAN,Indian National Congress,MANALUR,38.050
MOHAMED SAMEER T THIRUTHIYIL HOUSE,Independent,TANUR,37.640
MANOJ EDAMANA,Communist Party of India,CHIRAYINKEEZHU,37.550
ADV. P T A RAHIM,Independent,KUNNAMANGALAM,37.470
DR. N. JAYARAJ,Kerala Congress (M),KANJIRAPPALLY,37.410
PRIJI KANNAN,Communist Party of India,ADOOR,37.300
V SIVANKUTTY,Communist Party of India (Marxist),NEMOM,37.200
