party,no_of_candidates_with_less_than_one_sixth_votes
Independent,259
None of the Above,140
Bharatiya Janata Party,59
Bahujan Samaj Party,55
Aam Aadmi Party,53
Social Democratic Party Of India,34
Socialist Unity Centre Of India (COMMUNIST),30
Bharath Dharma Jana Sena,22
Twenty 20 Party,17
Democratic Human Rights Movement Party,9
Communist Party of India (Marxist-Leninist) Red Star,4
Janam Rashtriya Party,3
Communist Party of India (Marxist-Leninist) (Liberation),3
Equality Party of India,2
Ambedkarite Party of India,2
Communist Party of India (Marxist),1
Socialist Party (India),1
Socialist Republican Party,1
Bahujan Dravida Party,1
The Future India Party,1
Bharatheeya Jawan Kisan Party,1
Indian Gandhiyan Party,1
Nationalist Congress Party,1
All India Hindustan Congress Party,1
Rashtravadi Janata Party,1
Republican Party of India (Athawale),1
