party,total_cost,party_votes,cost_per_vote
Indian Union Muslim League,104000000,2378053,43.7332557348385423
Kerala Congress (Jacob),4000000,89551,44.6672845641031368
Revolutionary Marxist Party of India,4000000,70117,57.0475063108803856
Indian National Congress,368000000,6217918,59.1837975348018420
Kerala Congress,32000000,525323,60.9149037830058840
Revolutionary Socialist Party,16000000,261551,61.1735378568615681
Communist Party of India (Marxist),308000000,4700662,65.5226859535954723
Kerala Congress (B),4000000,59965,66.7055782539814892
Communist Party of India,96000000,1434524,66.9211529399299001
Rashtriya Janata Dal,12000000,178051,67.3964201268175972
Indian Socialist Janata Dal,4000000,58815,68.0098614299073366
Kerala Revolutionary Socialist Party (Leninist- Marxist),4000000,56174,71.2073201125075658
Congress (Secular),4000000,52069,76.8211411780522000
Nationalist Congress Party - Sharadchandra Pawar,12000000,147799,81.1913477087125082
Kerala Congress (M),48000000,561157,85.5375590075504716
Communist Marxist Party Kerala State Committee,4000000,45586,87.7462378800508928
Indian National League,4000000,41885,95.4995821893279217
Bharatiya Janata Party,392000000,2466178,158.9504082835869917
Twenty 20 Party,76000000,304566,249.5354044771904940
Bharath Dharma Jana Sena,88000000,289623,303.8432721158195309
Independent,1128000000,1388701,812.2698838698899187
Social Democratic Party Of India,136000000,53752,2530.1384134543830927
None of the Above,560000000,123067,4550.3668733291621637
Equality Party of India,8000000,1655,4833.8368580060422961
Aam Aadmi Party,212000000,37754,5615.2990411612014621
Nationalist Congress Party,4000000,692,5780.3468208092485549
Bahujan Samaj Party,220000000,33125,6641.5094339622641509
Socialist Republican Party,4000000,469,8528.7846481876332623
Republican Party of India (Athawale),4000000,397,10075.566750629723
Democratic Human Rights Movement Party,36000000,3116,11553.273427471117
Socialist Unity Centre Of India (COMMUNIST),120000000,9220,13015.184381778742
Bahujan Dravida Party,4000000,297,13468.013468013468
All India Hindustan Congress Party,4000000,276,14492.753623188406
Communist Party of India (Marxist-Leninist) Red Star,16000000,1073,14911.463187325256
Bharatheeya Jawan Kisan Party,4000000,255,15686.274509803922
Ambedkarite Party of India,8000000,373,21447.721179624665
Communist Party of India (Marxist-Leninist) (Liberation),12000000,458,26200.873362445415
Rashtravadi Janata Party,4000000,137,29197.080291970803
Janam Rashtriya Party,12000000,375,32000.000000000000
Socialist Party (India),4000000,125,32000.000000000000
Indian Gandhiyan Party,4000000,118,33898.305084745763
The Future India Party,4000000,53,75471.698113207547
