constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
KAZHAKOOTTAM,S11132,46136,Bharatiya Janata Party,46564,428
KOZHIKODE NORTH,S1127,49153,Indian National Congress,50636,1483
KONGAD,S1153,59028,Indian National Congress,62734,3706
TRIKARIPUR,S115,78678,Indian National Congress,83109,4431
UDMA,S113,74063,Indian National Congress,78910,4847
NEMOM,S11135,52214,Bharatiya Janata Party,57192,4978
PERAMBRA,S1124,76342,Indian Union Muslim League,81429,5087
DEVIKULAM,S1188,45357,Indian National Congress,50590,5233
VATTIYOORKAVU,S11133,42913,Indian National Congress,48338,5425
THIRUVAMBADI,S1132,70399,Indian Union Muslim League,77140,6741
NEYYATTINKARA,S11140,51794,Indian National Congress,58760,6966
KATTAKKADA,S11138,49710,Indian National Congress,56846,7136
PAYYANNUR,S116,69153,Independent,76640,7487
KOCHI,S1180,56130,Indian National Congress,64318,8188
THRITHALA,S1149,68042,Indian National Congress,76427,8385
ERAVIPURAM,S11125,55580,Revolutionary Socialist Party,64383,8803
AROOR,S11102,65145,Indian National Congress,74469,9324
IRINJALAKUDA,S1170,56070,Kerala Congress,66282,10212
MANANTHAVADY,S1117,66882,Indian National Congress,77425,10543
KUTTIADI,S1121,77275,Indian Union Muslim League,88197,10922
QUILANDY,S1123,67843,Indian National Congress,79913,12070
VAMANAPURAM,S11131,61405,Indian National Congress,73590,12185
TALIPARAMBA,S118,78788,Independent,91339,12551
PONNANI,S1148,67407,Indian National Congress,80674,13267
PERAVOOR,S1116,61687,Indian National Congress,76140,14453
KAYAMKULAM,S11108,61079,Indian National Congress,76651,15572
VYPEN,S1179,50464,Indian National Congress,66112,15648
KALAMASSERY,S1177,64294,Indian Union Muslim League,80606,16312
SULTHANBATHERY,S1118,62339,Indian National Congress,78936,16597
KOLLAM,S11124,46586,Indian National Congress,63416,16830
KOTHAMANGALAM,S1187,56620,Kerala Congress,73479,16859
BALUSSERI,S1125,77824,Indian National Congress,94804,16980
THRIPUNITHURA,S1181,51788,Indian National Congress,70256,18468
ARANMULA,S11113,51098,Indian National Congress,70083,18985
ETTUMANOOR,S1196,44325,Indian National Congress,64077,19752
UDUMBANCHOLA,S1189,44895,Indian National Congress,64916,20021
ALAPPUZHA,S11104,60050,Indian National Congress,81065,21015
KUNNATHUNAD,S1184,49009,Indian National Congress,70292,21283
TIRUR,S1145,81971,Indian Union Muslim League,106108,24137
AMBALAPPUZHA,S11105,47249,Independent,75184,27935
ALUVA,S1176,54756,Indian National Congress,83899,29143
PERINTHALMANNA,S1138,72457,Indian Union Muslim League,104888,32431
KUNDARA,S11123,55298,Indian National Congress,87862,32564
KOTTAYAM,S1197,32907,Indian National Congress,68893,35986
ANGAMALY,S1175,41323,Indian National Congress,78331,37008
WANDOOR,S1136,73135,Indian National Congress,121074,47939
