constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
VAIKOM,S1195,51584,Indian National Congress,52944,1360
CHIRAYINKEEZHU,S11129,55411,Indian National Congress,56833,1422
CHATHANNOOR,S11126,47525,Bharatiya Janata Party,51923,4398
CHADAYAMANGALAM,S11122,60795,Indian National Congress,68281,7486
KODUNGALLUR,S1173,56854,Indian National Congress,65162,8308
ADOOR,S11115,55821,Indian National Congress,66153,10332
PARAVUR,S1178,58058,Indian National Congress,78658,20600
HARIPAD,S11107,44807,Indian National Congress,68184,23377
NADAPURAM,S1122,76163,Indian National Congress,99763,23600
MANNARKKAD,S1154,64703,Indian Union Muslim League,90606,25903
KARUNAGAPPALLY,S11116,55975,Indian National Congress,82593,26618
THRISSUR,S1167,33487,Indian National Congress,60290,26803
PEERUMADE,S1192,42038,Indian National Congress,69672,27634
ERNAD,S1134,57258,Indian Union Muslim League,98547,41289
MUVATTUPUZHA,S1186,47085,Indian National Congress,89914,42829
