party,hhi_band,seats_won
Bharatiya Janata Party,Fragmented,3
Communist Marxist Party Kerala State Committee,Fragmented,1
Communist Party of India,Competitive,6
Communist Party of India,Fragmented,2
Communist Party of India (Marxist),Competitive,20
Communist Party of India (Marxist),Fragmented,6
Independent,Competitive,3
Independent,Fragmented,1
Indian National Congress,Competitive,48
Indian National Congress,Dominant,8
Indian National Congress,Fragmented,7
Indian Union Muslim League,Competitive,11
Indian Union Muslim League,Dominant,10
Indian Union Muslim League,Fragmented,1
Kerala Congress,Competitive,6
Kerala Congress,Fragmented,1
Kerala Congress (Jacob),Competitive,1
Rashtriya Janata Dal,Competitive,1
Revolutionary Marxist Party of India,Competitive,1
Revolutionary Socialist Party,Competitive,3
