CANDIDATE,PARTY,CONSTITUENCY,STATE,WINNER_VOTES
"VIRENDER SINGH KADIAN","Aam Aadmi Party","DELHI CANTT","NEW DELHI",22191
"PARVESH SAHIB SINGH","Bharatiya Janata Party","NEW DELHI","NEW DELHI",30088
"NEERAJ BASOYA","Bharatiya Janata Party","KASTURBA NAGAR","NEW DELHI",38067
"TARVINDER SINGH MARWAH","Bharatiya Janata Party",JANGPURA,"NEW DELHI",38859
"PUNARDEEP SINGH SAWHNEY (SABBY)","Aam Aadmi Party","CHANDNI CHOWK","NEW DELHI",38993
"SATISH UPADHYAY","Bharatiya Janata Party","MALVIYA NAGAR","NEW DELHI",39564
"ANIL KUMAR SHARMA","Bharatiya Janata Party","R. K. PURAM","NEW DELHI",43260
"DR. AJAY DUTT","Aam Aadmi Party","AMBEDKAR NAGAR","NEW DELHI",46285
"UMANG BAJAJ","Bharatiya Janata Party","RAJINDER NAGAR","NEW DELHI",46671
"GAJENDER SINGH YADAV","Bharatiya Janata Party",MEHRAULI,"NEW DELHI",48349
"SHIKHA ROY","Bharatiya Janata Party","GREATER KAILASH","NEW DELHI",49594
"SHYAM SHARMA","Bharatiya Janata Party","HARI NAGAR","NEW DELHI",50179
"KAILASH GANGWAL","Bharatiya Janata Party",MADIPUR,"NEW DELHI",52019
"ASHOK GOEL","Bharatiya Janata Party","MODEL TOWN","NEW DELHI",52108
"JARNAIL SINGH","Aam Aadmi Party","TILAK NAGAR","NEW DELHI",52134
ATISHI,"Aam Aadmi Party",KALKAJI,"NEW DELHI",52154
"VISHESH RAVI","Aam Aadmi Party","KAROL BAGH","NEW DELHI",52297
"RAJ KUMAR BHATIA","Bharatiya Janata Party","ADARSH NAGAR","NEW DELHI",52510
"CHANDAN KUMAR CHOUDHARY","Bharatiya Janata Party","SANGAM VIHAR","NEW DELHI",54049
"POONAM SHARMA","Bharatiya Janata Party",WAZIRPUR,"NEW DELHI",54721
"SURYA PRAKASH KHATRI","Bharatiya Janata Party",TIMARPUR,"NEW DELHI",55941
"SOM DUTT","Aam Aadmi Party","SADAR BAZAR","NEW DELHI",56177
"ARVINDER SINGH LOVELY","Bharatiya Janata Party","GANDHI NAGAR","NEW DELHI",56858
"KARNAIL SINGH","Bharatiya Janata Party","SHAKUR BASTI","NEW DELHI",56869
"IMRAN HUSSAIN","Aam Aadmi Party",BALLIMARAN,"NEW DELHI",57004
"PRAVESH RATN","Aam Aadmi Party","PATEL NAGAR","NEW DELHI",57512
"HARISH KHURANA","Bharatiya Janata Party","MOTI NAGAR","NEW DELHI",57565
"AALEY MOHAMMED IQBAL","Aam Aadmi Party","MATIA MAHAL","NEW DELHI",58120
"RAVI KANT","Bharatiya Janata Party",TRILOKPURI,"NEW DELHI",58217
"MUKESH KUMAR AHLAWAT","Aam Aadmi Party","SULTANPUR MAJRA","NEW DELHI",58767
"TILAK RAM GUPTA","Bharatiya Janata Party","TRI NAGAR","NEW DELHI",59073
"AAHIR DEEPAK CHAUDHARYY","Bharatiya Janata Party",BADLI,"NEW DELHI",61192
"KULDEEP KUMAR (MONU)","Aam Aadmi Party",KONDLI,"NEW DELHI",61792
"RAJ KUMAR CHAUHAN","Bharatiya Janata Party","MANGOL PURI","NEW DELHI",62007
"SAHI RAM","Aam Aadmi Party",TUGHLAKABAD,"NEW DELHI",62155
"SANJAY GOYAL","Bharatiya Janata Party",SHAHDARA,"NEW DELHI",62788
"MANJINDER SINGH SIRSA","Bharatiya Janata Party","RAJOURI GARDEN","NEW DELHI",64132
"KAILASH GAHLOT","Bharatiya Janata Party",BIJWASAN,"NEW DELHI",64951
"ABHAY VERMA","Bharatiya Janata Party","LAXMI NAGAR","NEW DELHI",65858
"VEER SINGH DHINGAN","Aam Aadmi Party",SEEMAPURI,"NEW DELHI",66353
"REKHA GUPTA","Bharatiya Janata Party","SHALIMAR BAGH","NEW DELHI",68200
"ASHISH SOOD","Bharatiya Janata Party",JANAKPURI,"NEW DELHI",68986
"PARDUYMN SINGH RAJPUT","Bharatiya Janata Party",DWARKA,"NEW DELHI",69137
"VIJENDER GUPTA","Bharatiya Janata Party",ROHINI,"NEW DELHI",70365
"OM PRAKASH SHARMA","Bharatiya Janata Party","VISHWAS NAGAR","NEW DELHI",72141
"Ravinder Singh Negi (Ravi Negi)","Bharatiya Janata Party",PATPARGANJ,"NEW DELHI",74060
"MANOJ KUMAR SHOKEEN","Bharatiya Janata Party","NANGLOI JAT","NEW DELHI",75272
"DR ANIL GOYAL","Bharatiya Janata Party","KRISHNA NAGAR","NEW DELHI",75922
"GOPAL RAI","Aam Aadmi Party",BABARPUR,"NEW DELHI",76192
"CHAUDHARY ZUBAIR AHMAD","Aam Aadmi Party","SEELAM PUR","NEW DELHI",79009
"AJAY MAHAWAR","Bharatiya Janata Party",GHONDA,"NEW DELHI",79987
"KARTAR SINGH TANWAR","Bharatiya Janata Party",CHHATARPUR,"NEW DELHI",80469
"SURENDRA KUMAR","Aam Aadmi Party",GOKALPUR,"NEW DELHI",80504
"KULDEEP SOLANKI","Bharatiya Janata Party",PALAM,"NEW DELHI",82046
"JITENDER MAHAJAN","Bharatiya Janata Party","ROHTAS NAGAR","NEW DELHI",82896
"MOHAN SINGH BISHT","Bharatiya Janata Party",MUSTAFABAD,"NEW DELHI",85215
"PREM CHAUHAN","Aam Aadmi Party",DEOLI,"NEW DELHI",86889
"RAJ KARAN KHATRI","Bharatiya Janata Party",NERELA,"NEW DELHI",87215
"AMANATULLAH KHAN","Aam Aadmi Party",OKHLA,"NEW DELHI",88943
"GAJENDER DRALL","Bharatiya Janata Party",MUNDKA,"NEW DELHI",89839
"NEELAM PAHALWAN","Bharatiya Janata Party",NAJAFGARH,"NEW DELHI",101708
"PAWAN SHARMA","Bharatiya Janata Party","UTTAM NAGAR","NEW DELHI",103613
"KULWANT RANA","Bharatiya Janata Party",RITHALA,"NEW DELHI",104371
"ANIL JHA","Aam Aadmi Party",KIRARI,"NEW DELHI",105780
"KAPIL MISHRA","Bharatiya Janata Party","KARAWAL NAGAR","NEW DELHI",107367
"RAM SINGH NETAJI","Aam Aadmi Party",BADARPUR,"NEW DELHI",112991
"RAVINDER INDRAJ SINGH","Bharatiya Janata Party",BAWANA,"NEW DELHI",119515
"SANJEEV JHA","Aam Aadmi Party",BURARI,"NEW DELHI",121181
"PANKAJ KUMAR SINGH","Bharatiya Janata Party",VIKASPURI,"NEW DELHI",135564
"SANDEEP SEHRAWAT","Bharatiya Janata Party",MATIALA,"NEW DELHI",146295
