STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
"NEW DELHI","SANGAM VIHAR","CHANDAN KUMAR CHOUDHARY","Bharatiya Janata Party",54049,"DINESH MOHANIYA","Aam Aadmi Party",53705,344
"NEW DELHI",TRILOKPURI,"RAVI KANT","Bharatiya Janata Party",58217,"ANJANA PARCHA","Aam Aadmi Party",57825,392
"NEW DELHI",JANGPURA,"TARVINDER SINGH MARWAH","Bharatiya Janata Party",38859,"MANISH SISODIA","Aam Aadmi Party",38184,675
"NEW DELHI",TIMARPUR,"SURYA PRAKASH KHATRI","Bharatiya Janata Party",55941,"SURINDER PAL SINGH (BITTOO)","Aam Aadmi Party",54773,1168
"NEW DELHI","RAJINDER NAGAR","UMANG BAJAJ","Bharatiya Janata Party",46671,"DURGESH PATHAK","Aam Aadmi Party",45440,1231
"NEW DELHI",MEHRAULI,"GAJENDER SINGH YADAV","Bharatiya Janata Party",48349,"MAHENDER CHAUDHARY","Aam Aadmi Party",46567,1782
"NEW DELHI","DELHI CANTT","VIRENDER SINGH KADIAN","Aam Aadmi Party",22191,"BHUVAN TANWAR","Bharatiya Janata Party",20162,2029
"NEW DELHI","MALVIYA NAGAR","SATISH UPADHYAY","Bharatiya Janata Party",39564,"SOMNATH BHARTI","Aam Aadmi Party",37433,2131
"NEW DELHI","GREATER KAILASH","SHIKHA ROY","Bharatiya Janata Party",49594,"SAURABH BHARADWAJ","Aam Aadmi Party",46406,3188
"NEW DELHI",KALKAJI,ATISHI,"Aam Aadmi Party",52154,"RAMESH BIDHURI","Bharatiya Janata Party",48633,3521
"NEW DELHI","PATEL NAGAR","PRAVESH RATN","Aam Aadmi Party",57512,"RAAJ KUMAR ANAND","Bharatiya Janata Party",53463,4049
"NEW DELHI","NEW DELHI","PARVESH SAHIB SINGH","Bharatiya Janata Party",30088,"ARVIND KEJRIWAL","Aam Aadmi Party",25999,4089
"NEW DELHI","AMBEDKAR NAGAR","DR. AJAY DUTT","Aam Aadmi Party",46285,"KHUSHI RAM CHUNAR","Bharatiya Janata Party",42055,4230
"NEW DELHI",SHAHDARA,"SANJAY GOYAL","Bharatiya Janata Party",62788,"JITENDER SINGH SHUNTY","Aam Aadmi Party",57610,5178
"NEW DELHI",CHHATARPUR,"KARTAR SINGH TANWAR","Bharatiya Janata Party",80469,"BRAHM SINGH TANWAR","Aam Aadmi Party",74230,6239
"NEW DELHI","MANGOL PURI","RAJ KUMAR CHAUHAN","Bharatiya Janata Party",62007,"DHARAM RAKSHAK ALIAS RAKESH JATAV","Aam Aadmi Party",55752,6255
"NEW DELHI",KONDLI,"KULDEEP KUMAR (MONU)","Aam Aadmi Party",61792,"PRIYANKA GAUTAM","Bharatiya Janata Party",55499,6293
"NEW DELHI","SADAR BAZAR","SOM DUTT","Aam Aadmi Party",56177,"MANOJ KUMAR JINDAL","Bharatiya Janata Party",49870,6307
"NEW DELHI","HARI NAGAR","SHYAM SHARMA","Bharatiya Janata Party",50179,"SURINDER KUMAR SETIA","Aam Aadmi Party",43547,6632
