CONSTITUENCY,STATE,NO_OF_CANDIDATES
"NEW DELHI","NEW DELHI",24
JANAKPURI,"NEW DELHI",17
"LAXMI NAGAR","NEW DELHI",16
"ROHTAS NAGAR","NEW DELHI",16
"KARAWAL NAGAR","NEW DELHI",16
"ADARSH NAGAR","NEW DELHI",15
OKHLA,"NEW DELHI",15
BURARI,"NEW DELHI",15
"R. K. PURAM","NEW DELHI",14
VIKASPURI,"NEW DELHI",14
MATIALA,"NEW DELHI",14
MUNDKA,"NEW DELHI",14
DWARKA,"NEW DELHI",14
"SEELAM PUR","NEW DELHI",14
KALKAJI,"NEW DELHI",14
BADLI,"NEW DELHI",13
MUSTAFABAD,"NEW DELHI",13
BIJWASAN,"NEW DELHI",13
GOKALPUR,"NEW DELHI",13
"SULTANPUR MAJRA","NEW DELHI",13
TIMARPUR,"NEW DELHI",13
BADARPUR,"NEW DELHI",13
"MOTI NAGAR","NEW DELHI",13
SEEMAPURI,"NEW DELHI",12
"SANGAM VIHAR","NEW DELHI",12
"MATIA MAHAL","NEW DELHI",12
CHHATARPUR,"NEW DELHI",12
"SADAR BAZAR","NEW DELHI",12
RITHALA,"NEW DELHI",12
SHAHDARA,"NEW DELHI",11
"HARI NAGAR","NEW DELHI",11
"VISHWAS NAGAR","NEW DELHI",11
"MODEL TOWN","NEW DELHI",10
KONDLI,"NEW DELHI",10
"NANGLOI JAT","NEW DELHI",10
WAZIRPUR,"NEW DELHI",10
"AMBEDKAR NAGAR","NEW DELHI",10
NAJAFGARH,"NEW DELHI",10
BALLIMARAN,"NEW DELHI",10
KIRARI,"NEW DELHI",10
JANGPURA,"NEW DELHI",10
GHONDA,"NEW DELHI",10
"SHALIMAR BAGH","NEW DELHI",10
TUGHLAKABAD,"NEW DELHI",10
MADIPUR,"NEW DELHI",10
"UTTAM NAGAR","NEW DELHI",10
PATPARGANJ,"NEW DELHI",10
BABARPUR,"NEW DELHI",9
"RAJOURI GARDEN","NEW DELHI",9
ROHINI,"NEW DELHI",9
MEHRAULI,"NEW DELHI",9
PALAM,"NEW DELHI",8
"MALVIYA NAGAR","NEW DELHI",8
TRILOKPURI,"NEW DELHI",8
"KRISHNA NAGAR","NEW DELHI",8
"SHAKUR BASTI","NEW DELHI",8
DEOLI,"NEW DELHI",8
NERELA,"NEW DELHI",8
"CHANDNI CHOWK","NEW DELHI",8
BAWANA,"NEW DELHI",8
"RAJINDER NAGAR","NEW DELHI",8
"DELHI CANTT","NEW DELHI",8
"MANGOL PURI","NEW DELHI",7
"GREATER KAILASH","NEW DELHI",7
"KAROL BAGH","NEW DELHI",7
"TILAK NAGAR","NEW DELHI",7
"GANDHI NAGAR","NEW DELHI",7
"TRI NAGAR","NEW DELHI",7
"PATEL NAGAR","NEW DELHI",6
"KASTURBA NAGAR","NEW DELHI",6
