STATE,CANDIDATE,CONSTITUENCY_COUNT
"NEW DELHI","MUKESH KUMAR",3
"NEW DELHI","ASHOK KUMAR",2
"NEW DELHI","ASHOK KUMAR",2
"NEW DELHI","CHARAN SINGH MALIYAN",2
"NEW DELHI","DEEPAK KUMAR",2
"NEW DELHI",RAVI,2
"NEW DELHI","A DHANWATI CHANDELA A",1
"NEW DELHI","AAHIR DEEPAK CHAUDHARYY",1
"NEW DELHI","AAKASH GOEL",1
"NEW DELHI","AALEY MOHAMMED IQBAL",1
"NEW DELHI","ABDUL REHMAN",1
"NEW DELHI","ABDUL ZABBAR",1
"NEW DELHI","ABHA JHA",1
"NEW DELHI","ABHAY VERMA",1
"NEW DELHI",ABHISHEK,1
"NEW DELHI",ABHISHEK,1
"NEW DELHI","ABHISHEK DUTT",1
"NEW DELHI","ABHISHEK KUMAR SINGH (MASTER JI)",1
"NEW DELHI",ABRAR,1
"NEW DELHI","ADARSH SHASTRI",1
"NEW DELHI","ADEEL AHMAD KHAN",1
"NEW DELHI","ADVOCATE MEHAK DOGRA",1
"NEW DELHI","AFSANA SARWAR",1
"NEW DELHI","AJAY KUMAR",1
"NEW DELHI","AJAY KUMAR SINGH",1
"NEW DELHI","AJAY MAHAWAR",1
"NEW DELHI","AJAY SINGH NEGI",1
"NEW DELHI","AJESH YADAV",1
"NEW DELHI","AKESHAN DUT",1
"NEW DELHI","AKHILESH PATI TRIPATHI",1
"NEW DELHI","AKSHAY KUMAR",1
"NEW DELHI","ALI MEHDI",1
"NEW DELHI","ALKA LAMBA",1
"NEW DELHI","ALTAF AHMAD",1
"NEW DELHI","AMAN SAINI",1
"NEW DELHI","AMANATULLAH KHAN",1
"NEW DELHI","AMAR NATH",1
"NEW DELHI","AMAR SINGH",1
"NEW DELHI",AMARDEEP,1
"NEW DELHI","AMARJEET PRASAD",1
"NEW DELHI","AMIT KUMAR SHARMA",1
"NEW DELHI","AMIT SAINI",1
"NEW DELHI","AMJAD HASAN",1
"NEW DELHI",AMRINA,1
"NEW DELHI","ANDEEP DRALL",1
"NEW DELHI","ANIL BHARDWAJ",1
"NEW DELHI","ANIL JHA",1
"NEW DELHI","ANIL KAPOOR",1
"NEW DELHI","ANIL KUMAR",1
"NEW DELHI","ANIL KUMAR",1
"NEW DELHI","ANIL KUMAR",1
"NEW DELHI","ANIL KUMAR",1
"NEW DELHI","ANIL KUMAR SHARMA",1
"NEW DELHI","ANIL KUMAR SHARMA (GAUR)",1
"NEW DELHI","ANIL KUMAR SINGH",1
"NEW DELHI","ANIL KUMAR VASHISHT",1
"NEW DELHI","ANIL SINGH",1
"NEW DELHI","ANIMA OJHA",1
"NEW DELHI",ANITA,1
"NEW DELHI","ANITA BANSAL",1
"NEW DELHI","ANJANA PARCHA",1
"NEW DELHI","ANURADHA RANA",1
"NEW DELHI","ANURAG KUMAR",1
"NEW DELHI","ARAVENDRA KUMAR",1
"NEW DELHI","ARIBA KHAN",1
"NEW DELHI","ARJUN SINGH BHADANA",1
"NEW DELHI",ARUN,1
"NEW DELHI","ARUN KUMAR",1
"NEW DELHI","ARUN KUMAR SHARMA",1
"NEW DELHI",ARUNA,1
"NEW DELHI","ARVIND KEJRIWAL",1
"NEW DELHI","ARVIND KUMAR",1
"NEW DELHI","ARVIND KUMAR PANDEY",1
"NEW DELHI","ARVINDER SINGH LOVELY",1
"NEW DELHI","ASHA CHAUDHARY",1
"NEW DELHI","ASHA KAMBLE",1
"NEW DELHI","ASHA RANI",1
"NEW DELHI","ASHISH KUMAR",1
"NEW DELHI","ASHISH SOOD",1
"NEW DELHI","ASHISH SOOD",1
"NEW DELHI","ASHOK AGARWAL",1
"NEW DELHI","ASHOK AGYANI",1
"NEW DELHI","ASHOK BAMBANI",1
"NEW DELHI","ASHOK GOEL",1
"NEW DELHI","ASHOK JAIN",1
"NEW DELHI","ASHOK JINDAL",1
"NEW DELHI","ASHOK KUMAR",1
"NEW DELHI","ASHOK KUMAR GAUTAM",1
"NEW DELHI","ASHOK SURANA",1
"NEW DELHI","ASIM AHMED KHAN",1
"NEW DELHI",ASMITA,1
"NEW DELHI",ATISHI,1
"NEW DELHI","ATUL KUMAR",1
"NEW DELHI","AVADH OJHA",1
"NEW DELHI","AVINASH GUPTA",1
"NEW DELHI","AWDHESH KUMAR JHA",1
"NEW DELHI","AYASHA KHATOON",1
"NEW DELHI","AYUSH GUPTA",1
"NEW DELHI","B B TYAGI",1
"NEW DELHI",BABITA,1
"NEW DELHI",BABITA,1
"NEW DELHI","BABU LAL",1
"NEW DELHI","BABU LAL",1
"NEW DELHI","BACHAN RAM",1
"NEW DELHI","BAJRANG SHUKLA",1
"NEW DELHI","BALYOGI BABA BALAKNATH",1
"NEW DELHI","BANDANA KUMARI",1
"NEW DELHI","BHAGWAN DASS",1
"NEW DELHI","BHARAT SINGH",1
"NEW DELHI","BHAVISH DHANKAR",1
"NEW DELHI",BHAWANA,1
"NEW DELHI","BHAWANA BOTHRA",1
"NEW DELHI","BHISHAM SHARMA",1
"NEW DELHI","BHUPENDER YADAV",1
"NEW DELHI","BHUVAN TANWAR",1
"NEW DELHI",BIJENDER,1
"NEW DELHI","BIJENDER KUMAR",1
"NEW DELHI","BINDU KUMAR",1
"NEW DELHI","BIR SAIN",1
"NEW DELHI","BRAHM SINGH TANWAR",1
"NEW DELHI","BRIJ LAL",1
"NEW DELHI",BRIJPAL,1
"NEW DELHI",BUDIYA,1
"NEW DELHI","CA SOHARSH GULGULIA JAIN",1
"NEW DELHI","CHAMAN LAL",1
"NEW DELHI","CHAMAN LAL VERMA",1
"NEW DELHI","CHANDAN KUMAR CHOUDHARY",1
"NEW DELHI","CHANDER PAL",1
"NEW DELHI","CHARANJEET KAUR",1
"NEW DELHI","CHAUDHARY ZUBAIR AHMAD",1
"NEW DELHI","CHUNNI LAL",1
"NEW DELHI","COL DEVINDER KUMAR SEHRAWAT",1
"NEW DELHI","DANVEER VIDYALANKAR",1
"NEW DELHI","DARSAN SINGH",1
"NEW DELHI","DAYA RAM GURJAR",1
"NEW DELHI","DEEPA DEVI",1
"NEW DELHI","DEEPAK CHAWLA",1
"NEW DELHI","DEEPAK KAPILA",1
"NEW DELHI","DEEPAK KUMAR",1
"NEW DELHI","DEEPAK KUMAR",1
"NEW DELHI","DEEPAK PANDEY",1
"NEW DELHI","DEEPAK RAWAT",1
"NEW DELHI","DEEPAK SINGHAL",1
"NEW DELHI","DEEPAK TANWAR",1
"NEW DELHI","DEEPTI INDORA",1
"NEW DELHI","DEVENDER KUMAR",1
"NEW DELHI","DEVENDER KUMAR YADAV",1
"NEW DELHI","DEVENDER YADAV",1
"NEW DELHI","DEVENDRA BHAIYA",1
