STATE,CONSTITUENCY,RUNNER_UP_VOTES,WINNING_PARTY,WINNING_VOTES,VOTE_DIFFERENCE
"NEW DELHI","DELHI CANTT",20162,"Aam Aadmi Party",22191,2029
"NEW DELHI",KALKAJI,48633,"Aam Aadmi Party",52154,3521
"NEW DELHI","PATEL NAGAR",53463,"Aam Aadmi Party",57512,4049
"NEW DELHI","AMBEDKAR NAGAR",42055,"Aam Aadmi Party",46285,4230
"NEW DELHI",KONDLI,55499,"Aam Aadmi Party",61792,6293
"NEW DELHI","SADAR BAZAR",49870,"Aam Aadmi Party",56177,6307
"NEW DELHI","KAROL BAGH",44867,"Aam Aadmi Party",52297,7430
"NEW DELHI",GOKALPUR,72297,"Aam Aadmi Party",80504,8207
"NEW DELHI",SEEMAPURI,55985,"Aam Aadmi Party",66353,10368
"NEW DELHI","TILAK NAGAR",40478,"Aam Aadmi Party",52134,11656
"NEW DELHI",TUGHLAKABAD,47444,"Aam Aadmi Party",62155,14711
"NEW DELHI","CHANDNI CHOWK",22421,"Aam Aadmi Party",38993,16572
"NEW DELHI","SULTANPUR MAJRA",41641,"Aam Aadmi Party",58767,17126
"NEW DELHI",BABARPUR,57198,"Aam Aadmi Party",76192,18994
"NEW DELHI",KIRARI,83909,"Aam Aadmi Party",105780,21871
"NEW DELHI",OKHLA,65304,"Aam Aadmi Party",88943,23639
"NEW DELHI",BADARPUR,87103,"Aam Aadmi Party",112991,25888
"NEW DELHI",BALLIMARAN,27181,"Aam Aadmi Party",57004,29823
"NEW DELHI","SEELAM PUR",36532,"Aam Aadmi Party",79009,42477
"NEW DELHI","MATIA MAHAL",15396,"Aam Aadmi Party",58120,42724
