Constituency,Winning Party,Runner Up Party,Candidate Count,Others Vote Pct,Margin Votes,Margin Pct,Postal Vote Gap,Crowding Band
MEHRAULI,Bharatiya Janata Party,Aam Aadmi Party,9,18.21,1782,1.54,186,Standard
SANGAM VIHAR,Bharatiya Janata Party,Aam Aadmi Party,12,14.29,344,0.27,22,Crowded
DELHI CANTT,Aam Aadmi Party,Bharatiya Janata Party,8,10.76,2029,4.28,-38,Standard
SADAR BAZAR,Aam Aadmi Party,Bharatiya Janata Party,12,10.42,6307,5.33,-92,Crowded
JANGPURA,Bharatiya Janata Party,Aam Aadmi Party,10,9.91,675,0.79,81,Crowded
MALVIYA NAGAR,Bharatiya Janata Party,Aam Aadmi Party,8,9.46,2131,2.51,195,Standard
AMBEDKAR NAGAR,Aam Aadmi Party,Bharatiya Janata Party,10,9.10,4230,4.35,-15,Crowded
HARI NAGAR,Bharatiya Janata Party,Aam Aadmi Party,11,9.05,6632,6.44,286,Crowded
NEW DELHI,Bharatiya Janata Party,Aam Aadmi Party,24,8.99,4089,6.64,76,Ultra-crowded
TIMARPUR,Bharatiya Janata Party,Aam Aadmi Party,13,8.91,1168,0.96,144,Crowded
KONDLI,Aam Aadmi Party,Bharatiya Janata Party,10,8.88,6293,4.89,-73,Crowded
TRILOKPURI,Bharatiya Janata Party,Aam Aadmi Party,8,8.12,392,0.31,55,Standard
GOKALPUR,Aam Aadmi Party,Bharatiya Janata Party,13,7.98,8207,4.94,-115,Crowded
GREATER KAILASH,Bharatiya Janata Party,Aam Aadmi Party,7,7.59,3188,3.07,49,Standard
DWARKA,Bharatiya Janata Party,Aam Aadmi Party,14,6.47,7829,5.61,133,Crowded
