party,no_of_candidates
Independent,117
Naam Tamilar Katchi,28
Tamilaga Vettri Kazhagam,28
Indian National Congress,22
Pattali Makkal Katchi,19
All India N.R. Congress,16
Dravida Munnetra Kazhagam,13
Bharatiya Janata Party,10
Tamilaga Makkal Thannurimai Katchi,8
Naadaalum Makkal Katchi,5
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,4
Desa Makkal Munnetrak Kazhagam,3
Aanaithinthiya Jananayaka Pathukappu Kazhagam,3
All India Anna Dravida Munnetra Kazhagam,2
Communist Party of India (Marxist),2
Neyam Makkal Kazhagam,2
Rashtriya Samaj Dal (R),2
Viduthalai Chiruthaigal Katchi,2
Latchiya Jananayaka Katchi (LJK),2
Parivartan Rajniti Party,1
Communist Party of India,1
Anna Makkal Katchi,1
Socialist Unity Centre Of India (COMMUNIST),1
Loktantrik Janta Dal,1
Indian Union Muslim League,1
