constituency_code,candidate,party,constituency,state,votes
U0730,MALLADI KRISHNA RAO,All India N.R. Congress,YANAM,PUDUCHERRY,19863
U074,N. RANGASAMY,All India N.R. Congress,MANGALAM,PUDUCHERRY,17917
U075,B.RAVICOUMAR,All India N.R. Congress,VILLIANUR,PUDUCHERRY,16970
U0725,G.N.S. RAJASEKARAN,Bharatiya Janata Party,THIRUNALLAR,PUDUCHERRY,16829
U0710,JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),KAMARAJ NAGAR,PUDUCHERRY,16592
U0721,E. MOHANDOSS,All India N.R. Congress,EMBALAM,PUDUCHERRY,16017
U071,A. NAMASSIVAYAM,Bharatiya Janata Party,MANNADIPET,PUDUCHERRY,15918
U073,P. KARTHIKEYAN,Indian National Congress,OUSSUDU,PUDUCHERRY,15400
U0730,GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,YANAM,PUDUCHERRY,15295
U075,R.SIVA,Dravida Munnetra Kazhagam,VILLIANUR,PUDUCHERRY,15000
U077,AZHAGU @ AZHAGANANTHAM,Independent,KADIRGAMAM,PUDUCHERRY,14633
U0724,DR. V. VIGNESWARAN,Independent,NEDUNGADU,PUDUCHERRY,14368
U0719,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,ARIANKUPPAM,PUDUCHERRY,14210
U0720,B.RAMU,Tamilaga Vettri Kazhagam,MANAVELY,PUDUCHERRY,13822
U0722,P. RAJAVELU,All India N.R. Congress,NETTAPAKKAM,PUDUCHERRY,13665
U0719,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,ARIANKUPPAM,PUDUCHERRY,13607
U0718,A. JOHNKUMAR,Bharatiya Janata Party,MUDALIARPET,PUDUCHERRY,12945
U0726,P.R.N. THIRUMURUGAN,All India N.R. Congress,KARAIKAL NORTH,PUDUCHERRY,12731
U078,P.V. AROUMOUGAME @ AKD,All India N.R. Congress,INDIRA NAGAR,PUDUCHERRY,12640
U076,K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,OZHUKARAI,PUDUCHERRY,12635
U0727,A.M.H. NAZEEM,Dravida Munnetra Kazhagam,KARAIKAL SOUTH,PUDUCHERRY,12543
U0712,SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,KALAPET,PUDUCHERRY,12069
U078,S. MOUROUGANE,Tamilaga Vettri Kazhagam,INDIRA NAGAR,PUDUCHERRY,12056
U0721,M. CANDASSAMY,Indian National Congress,EMBALAM,PUDUCHERRY,11956
U0712,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,KALAPET,PUDUCHERRY,11622
U073,E. THEEPPAINTHAN,Bharatiya Janata Party,OUSSUDU,PUDUCHERRY,11382
U074,S.S. RANGAN,Dravida Munnetra Kazhagam,MANGALAM,PUDUCHERRY,10867
U0728,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,NERAVY-T.R.PATTINAM,PUDUCHERRY,10818
U0720,EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,MANAVELY,PUDUCHERRY,10729
U0711,V.P. SIVAKOLUNDHU,All India N.R. Congress,LAWSPET,PUDUCHERRY,10578
U0718,L. SAMBATH,Dravida Munnetra Kazhagam,MUDALIARPET,PUDUCHERRY,10574
U0723,R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,BAHOUR,PUDUCHERRY,10520
U0726,A.M. RANJITH,Indian National Congress,KARAIKAL NORTH,PUDUCHERRY,10078
U079,N. RANGASAMY,All India N.R. Congress,THATTANCHAVADY,PUDUCHERRY,10024
U0716,G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,ORLEAMPETH,PUDUCHERRY,9960
U0724,C. CHANDIRA PRIYANGA,All India N.R. Congress,NEDUNGADU,PUDUCHERRY,9869
U071,T.P.R. SELVAME,Indian National Congress,MANNADIPET,PUDUCHERRY,9808
U072,AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,THIRUBHUVANAI,PUDUCHERRY,9740
U0711,M. VAITHIANATHAN,Indian National Congress,LAWSPET,PUDUCHERRY,9161
U0715,A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,OUPALAM,PUDUCHERRY,9099
U072,B. KOBIGA,All India N.R. Congress,THIRUBHUVANAI,PUDUCHERRY,9039
U0728,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,NERAVY-T.R.PATTINAM,PUDUCHERRY,8800
U0716,S. GOPAL,Dravida Munnetra Kazhagam,ORLEAMPETH,PUDUCHERRY,8759
U076,SASIBALAN,Tamilaga Vettri Kazhagam,OZHUKARAI,PUDUCHERRY,8401
U0713,VAIYAPURI MANIKANDAN,All India N.R. Congress,MUTHIALPET,PUDUCHERRY,8382
U0729,ADV. T. ASHOK KUMAR,Independent,MAHE,PUDUCHERRY,8375
U0717,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,NELLITHOPE,PUDUCHERRY,8226
U0723,T. THIAGARAJAN,All India N.R. Congress,BAHOUR,PUDUCHERRY,8123
U0715,S SIVA,Tamilaga Vettri Kazhagam,OUPALAM,PUDUCHERRY,8073
U0723,N. DHANAVELOU,Tamilaga Vettri Kazhagam,BAHOUR,PUDUCHERRY,8043
U077,K.S.P @ S. RAMESH,All India N.R. Congress,KADIRGAMAM,PUDUCHERRY,7629
U076,N. SARAVANAN,Independent,OZHUKARAI,PUDUCHERRY,7446
U0713,EERAM G. RAJENDRAN,Indian National Congress,MUTHIALPET,PUDUCHERRY,7430
U0717,OMSAKTHISEKAR,Independent,NELLITHOPE,PUDUCHERRY,7376
U0714,VIGNESH KANNAN,Dravida Munnetra Kazhagam,RAJ BHAVAN,PUDUCHERRY,7304
U0725,R. KAMALAKANNAN,Indian National Congress,THIRUNALLAR,PUDUCHERRY,7303
U0729,RAMESH PARAMBATH,Indian National Congress,MAHE,PUDUCHERRY,7260
U0714,V. P. RAMALINGAME,Bharatiya Janata Party,RAJ BHAVAN,PUDUCHERRY,7017
U0722,G. ANBARASAN,Indian National Congress,NETTAPAKKAM,PUDUCHERRY,6976
U0729,A. DINESAN,Bharatiya Janata Party,MAHE,PUDUCHERRY,6969
U0727,AVS SAKTHIVEL PRABU,Indian National Congress,KARAIKAL SOUTH,PUDUCHERRY,6681
U072,P. ANGALANE,Dravida Munnetra Kazhagam,THIRUBHUVANAI,PUDUCHERRY,6630
U0710,P.K. DEVADOSS,Indian National Congress,KAMARAJ NAGAR,PUDUCHERRY,6387
U0710,SUMAN,Tamilaga Vettri Kazhagam,KAMARAJ NAGAR,PUDUCHERRY,6289
U075,R.RAMESH,Tamilaga Vettri Kazhagam,VILLIANUR,PUDUCHERRY,6248
U0720,R K R. ANANTHARAMAN,Indian National Congress,MANAVELY,PUDUCHERRY,5932
U0718,N. MANIBALAN,Tamilaga Vettri Kazhagam,MUDALIARPET,PUDUCHERRY,5906
U0711,V. SAMINATHAN,Tamilaga Vettri Kazhagam,LAWSPET,PUDUCHERRY,5647
U079,E. VINAYAGAM,Neyam Makkal Kazhagam,THATTANCHAVADY,PUDUCHERRY,5583
U0719,KUMARAVELU,Tamilaga Vettri Kazhagam,ARIANKUPPAM,PUDUCHERRY,5424
U0722,L PERIASAMY,Tamilaga Vettri Kazhagam,NETTAPAKKAM,PUDUCHERRY,5382
U0715,ANNIBAL KENNEDY,Dravida Munnetra Kazhagam,OUPALAM,PUDUCHERRY,5327
U0726,A. VENGADESH,Tamilaga Vettri Kazhagam,KARAIKAL NORTH,PUDUCHERRY,5033
U0712,D. SASIKUMAR,Tamilaga Vettri Kazhagam,KALAPET,PUDUCHERRY,4775
U0717,S. VIGNESHWARAN,Tamilaga Vettri Kazhagam,NELLITHOPE,PUDUCHERRY,4763
U0727,K.A.U. ASSANA,Tamilaga Vettri Kazhagam,KARAIKAL SOUTH,PUDUCHERRY,4346
U074,M.K. SATHIA MANIKKAVASAGANE,Tamilaga Vettri Kazhagam,MANGALAM,PUDUCHERRY,4202
U079,K. SETHU @ SETHUSELVAM,Independent,THATTANCHAVADY,PUDUCHERRY,3984
U076,M. SIVASANKAR,Indian National Congress,OZHUKARAI,PUDUCHERRY,3709
U073,S. SARAGANABAVA,Tamilaga Vettri Kazhagam,OUSSUDU,PUDUCHERRY,3698
U0713,J. PRAKASH KUMAR,Tamilaga Vettri Kazhagam,MUTHIALPET,PUDUCHERRY,3611
U072,K. VELU,Indian National Congress,THIRUBHUVANAI,PUDUCHERRY,3561
U0717,A. JAYAKUMAR,Latchiya Jananayaka Katchi (LJK),NELLITHOPE,PUDUCHERRY,3311
U0728,V.M.C.S. MANOHAREN,Independent,NERAVY-T.R.PATTINAM,PUDUCHERRY,3296
U0713,M. PRABAGARAN,Independent,MUTHIALPET,PUDUCHERRY,3285
U0725,A. RAJA MOHAMED,Tamilaga Vettri Kazhagam,THIRUNALLAR,PUDUCHERRY,3201
