candidate,party,constituency,runner_up_vote_percentage
S. GOPAL,Dravida Munnetra Kazhagam,ORLEAMPETH,44.700
GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,YANAM,42.690
S. MOUROUGANE,Tamilaga Vettri Kazhagam,INDIRA NAGAR,40.190
VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,ARIANKUPPAM,39.430
R.SIVA,Dravida Munnetra Kazhagam,VILLIANUR,38.120
M. CANDASSAMY,Indian National Congress,EMBALAM,37.910
V. P. RAMALINGAME,Bharatiya Janata Party,RAJ BHAVAN,37.490
P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,KALAPET,36.840
E. THEEPPAINTHAN,Bharatiya Janata Party,OUSSUDU,36.360
S SIVA,Tamilaga Vettri Kazhagam,OUPALAM,35.050
C. CHANDIRA PRIYANGA,All India N.R. Congress,NEDUNGADU,34.710
A.M. RANJITH,Indian National Congress,KARAIKAL NORTH,34.500
M. VAITHIANATHAN,Indian National Congress,LAWSPET,34.230
L. SAMBATH,Dravida Munnetra Kazhagam,MUDALIARPET,33.890
T.P.R. SELVAME,Indian National Congress,MANNADIPET,33.250
M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,NERAVY-T.R.PATTINAM,33.150
EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,MANAVELY,33.130
EERAM G. RAJENDRAN,Indian National Congress,MUTHIALPET,31.540
S.S. RANGAN,Dravida Munnetra Kazhagam,MANGALAM,30.690
RAMESH PARAMBATH,Indian National Congress,MAHE,30.500
B. KOBIGA,All India N.R. Congress,THIRUBHUVANAI,29.830
OMSAKTHISEKAR,Independent,NELLITHOPE,29.780
T. THIAGARAJAN,All India N.R. Congress,BAHOUR,29.590
K.S.P @ S. RAMESH,All India N.R. Congress,KADIRGAMAM,26.770
AVS SAKTHIVEL PRABU,Indian National Congress,KARAIKAL SOUTH,26.180
R. KAMALAKANNAN,Indian National Congress,THIRUNALLAR,26.110
G. ANBARASAN,Indian National Congress,NETTAPAKKAM,24.290
E. VINAYAGAM,Neyam Makkal Kazhagam,THATTANCHAVADY,23.680
SASIBALAN,Tamilaga Vettri Kazhagam,OZHUKARAI,23.410
P.K. DEVADOSS,Indian National Congress,KAMARAJ NAGAR,20.450
