party,total_cost,party_votes,cost_per_vote
All India N.R. Congress,64000000,200292,319.5334811175683502
Bharatiya Janata Party,40000000,105583,378.8488677154466155
Latchiya Jananayaka Katchi (LJK),8000000,19903,401.9494548560518515
Dravida Munnetra Kazhagam,52000000,119036,436.8426358412581068
Neyam Makkal Kazhagam,8000000,15543,514.7011516438268031
Indian National Congress,88000000,151934,579.1988626640514960
Tamilaga Vettri Kazhagam,112000000,144817,773.3898644496157219
All India Anna Dravida Munnetra Kazhagam,8000000,9399,851.1543781253324822
Indian Union Muslim League,4000000,800,5000.0000000000000000
Independent,468000000,75185,6224.6458735120037241
Viduthalai Chiruthaigal Katchi,8000000,1232,6493.5064935064935065
Naam Tamilar Katchi,112000000,11813,9481.0801659189029036
Communist Party of India,4000000,402,9950.2487562189054726
Socialist Unity Centre Of India (COMMUNIST),4000000,299,13377.926421404682
Communist Party of India (Marxist),8000000,556,14388.489208633094
None of the Above,120000000,6633,18091.361374943464
Loktantrik Janta Dal,4000000,127,31496.062992125984
Tamilaga Makkal Thannurimai Katchi,32000000,695,46043.165467625899
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,16000000,270,59259.259259259259
Pattali Makkal Katchi,76000000,1057,71901.608325449385
Naadaalum Makkal Katchi,20000000,225,88888.888888888889
Aanaithinthiya Jananayaka Pathukappu Kazhagam,12000000,126,95238.095238095238
Anna Makkal Katchi,4000000,39,102564.102564102564
Desa Makkal Munnetrak Kazhagam,12000000,102,117647.058823529412
Parivartan Rajniti Party,4000000,24,166666.666666666667
Rashtriya Samaj Dal (R),8000000,47,170212.765957446809
