party,seats_participated,seats_won,success_ratio
None of the Above,30,,
Naam Tamilar Katchi,28,,
Pattali Makkal Katchi,19,,
Tamilaga Makkal Thannurimai Katchi,8,,
Naadaalum Makkal Katchi,5,,
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,4,,
Aanaithinthiya Jananayaka Pathukappu Kazhagam,3,,
Desa Makkal Munnetrak Kazhagam,3,,
Viduthalai Chiruthaigal Katchi,2,,
Communist Party of India (Marxist),2,,
Rashtriya Samaj Dal (R),2,,
Parivartan Rajniti Party,1,,
Indian Union Muslim League,1,,
Socialist Unity Centre Of India (COMMUNIST),1,,
Loktantrik Janta Dal,1,,
Anna Makkal Katchi,1,,
Communist Party of India,1,,
All India N.R. Congress,16,12,75.00000000000000000000
Neyam Makkal Kazhagam,2,1,50.00000000000000000000
All India Anna Dravida Munnetra Kazhagam,2,1,50.00000000000000000000
Latchiya Jananayaka Katchi (LJK),2,1,50.00000000000000000000
Bharatiya Janata Party,10,4,40.00000000000000000000
Dravida Munnetra Kazhagam,13,5,38.46153846153846153800
Independent,28,3,10.71428571428571428600
Tamilaga Vettri Kazhagam,28,2,7.14285714285714285700
Indian National Congress,22,1,4.54545454545454545500
