constituency,candidate,party,runner_up_vote_pct,party_avg_vote_pct,overperformance_pct,total_constested_at
NELLITHOPE,OMSAKTHISEKAR,Independent,29.78,2.33,27.45,117
INDIRA NAGAR,S. MOUROUGANE,Tamilaga Vettri Kazhagam,40.19,17.60,22.59,28
YANAM,GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,42.69,23.35,19.34,22
OUPALAM,S SIVA,Tamilaga Vettri Kazhagam,35.05,17.60,17.45,28
ARIANKUPPAM,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,39.43,23.35,16.08,22
EMBALAM,M. CANDASSAMY,Indian National Congress,37.91,23.35,14.56,22
ORLEAMPETH,S. GOPAL,Dravida Munnetra Kazhagam,44.70,33.23,11.47,13
KARAIKAL NORTH,A.M. RANJITH,Indian National Congress,34.50,23.35,11.15,22
LAWSPET,M. VAITHIANATHAN,Indian National Congress,34.23,23.35,10.88,22
MANNADIPET,T.P.R. SELVAME,Indian National Congress,33.25,23.35,9.90,22
MUTHIALPET,EERAM G. RAJENDRAN,Indian National Congress,31.54,23.35,8.19,22
MAHE,RAMESH PARAMBATH,Indian National Congress,30.50,23.35,7.15,22
OZHUKARAI,SASIBALAN,Tamilaga Vettri Kazhagam,23.41,17.60,5.81,28
VILLIANUR,R.SIVA,Dravida Munnetra Kazhagam,38.12,33.23,4.89,13
KARAIKAL SOUTH,AVS SAKTHIVEL PRABU,Indian National Congress,26.18,23.35,2.83,22
