party,hhi_band,seats_won
All India Anna Dravida Munnetra Kazhagam,Fragmented,1
All India N.R. Congress,Competitive,3
All India N.R. Congress,Dominant,1
All India N.R. Congress,Fragmented,8
Bharatiya Janata Party,Competitive,2
Bharatiya Janata Party,Fragmented,2
Dravida Munnetra Kazhagam,Fragmented,5
Independent,Competitive,2
Independent,Fragmented,1
Indian National Congress,Competitive,1
Latchiya Jananayaka Katchi (LJK),Competitive,1
Neyam Makkal Kazhagam,Dominant,1
Tamilaga Vettri Kazhagam,Fragmented,2
