constituency_code,candidate,party,constituency,state,votes
S2227,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,SHOZHINGANALLUR,TAMIL NADU,220382
S229,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,MADAVARAM,TAMIL NADU,190462
S226,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,AVADI,TAMIL NADU,180384
S225,PRAKASAM.R,Tamilaga Vettri Kazhagam,POONAMALLEE,TAMIL NADU,161309
S2286,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,EDAPPADI,TAMIL NADU,148933
S2229,THENNARASU.K,Tamilaga Vettri Kazhagam,SRIPERUMBUDUR,TAMIL NADU,147611
S22117,KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,KAVUNDAMPALAYAM,TAMIL NADU,146466
S227,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,MADURAVOYAL,TAMIL NADU,141725
S2232,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,CHENGALPATTU,TAMIL NADU,137136
S2230,J.KAMATCHI,Tamilaga Vettri Kazhagam,PALLAVARAM,TAMIL NADU,133611
S228,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,AMBATTUR,TAMIL NADU,133339
S22113,V.SATHYABAMA,Tamilaga Vettri Kazhagam,TIRUPPUR,TAMIL NADU,131401
S2227,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,SHOZHINGANALLUR,TAMIL NADU,123602
S22115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,PALLADAM,TAMIL NADU,121297
S2288,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,SALEM,TAMIL NADU,120407
S2212,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,PERAMBUR,TAMIL NADU,120365
S2231,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,TAMBARAM,TAMIL NADU,118967
S22189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,MADURAI EAST,TAMIL NADU,118777
