constituency_code,candidate,party,constituency,state,winner_votes
S2218,P K SEKARBABU,Dravida Munnetra Kazhagam,HARBOUR,TAMIL NADU,45254
S22108,BHOJARAJAN.M,Bharatiya Janata Party,UDHAGAMANDALAM,TAMIL NADU,48488
S22110,M. RAJU,Dravida Munnetra Kazhagam,COONOOR,TAMIL NADU,50470
S2224,ANAND N,Tamilaga Vettri Kazhagam,THIYAGARAYANAGAR,TAMIL NADU,51632
S2216,RAJMOHAN,Tamilaga Vettri Kazhagam,EGMORE,TAMIL NADU,53901
S22124,KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,VALPARAI,TAMIL NADU,54671
S22164,LATHA. T,Communist Party of India (Marxist),KILVELUR,TAMIL NADU,56108
S22163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,NAGAPATTINAM,TAMIL NADU,56305
S22181,REGUPATHY.S,Dravida Munnetra Kazhagam,THIRUMAYAM,TAMIL NADU,58201
S22213,MARKANDAYAN G V,Dravida Munnetra Kazhagam,VILATHIKULAM,TAMIL NADU,58395
S22178,N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,GANDHARVAKOTTAI,TAMIL NADU,58795
S22216,SARAVANAN. G,Tamilaga Vettri Kazhagam,SRIVAIKUNTAM,TAMIL NADU,58814
S2220,PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,THOUSAND LIGHTS,TAMIL NADU,58965
S2217,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,ROYAPURAM,TAMIL NADU,59091
S22209,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,PARAMAKUDI,TAMIL NADU,59161
S22165,MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,VEDARANYAM,TAMIL NADU,59172
S22120,V SENTHILBALAJI,Dravida Munnetra Kazhagam,COIMBATORE,TAMIL NADU,59724
S22105,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,ANTHIYUR,TAMIL NADU,60042
S22188,P.VISWANATHAN,Indian National Congress,MELUR,TAMIL NADU,60080
S22100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,MODAKKURICHI,TAMIL NADU,60715
S22143,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,LALGUDI,TAMIL NADU,60795
S22177,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,PERAVURANI,TAMIL NADU,60919
S2295,SEKAR S,All India Anna Dravida Munnetra Kazhagam,PARAMATHI-VELUR,TAMIL NADU,61349
