constituency_code,candidate,party,constituency,state,runner_votes
S2227,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,SHOZHINGANALLUR,TAMIL NADU,123602
S22117,ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,KAVUNDAMPALAYAM,TAMIL NADU,104326
S226,S.M.NASAR,Dravida Munnetra Kazhagam,AVADI,TAMIL NADU,104073
S22189,MOORTHY P,Dravida Munnetra Kazhagam,MADURAI EAST,TAMIL NADU,102230
S2232,KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,CHENGALPATTU,TAMIL NADU,101495
S2284,ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,OMALUR,TAMIL NADU,97707
S2277,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,ULUNDURPETTAI,TAMIL NADU,96194
S229,S.SUDHARSANAM,Dravida Munnetra Kazhagam,MADAVARAM,TAMIL NADU,95477
S2229,K. SELVAPERUNTHAGAI,Indian National Congress,SRIPERUMBUDUR,TAMIL NADU,93365
S225,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,POONAMALLEE,TAMIL NADU,88569
S22122,SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,KINATHUKADAVU,TAMIL NADU,88240
S2263,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,TIRUVANNAMALAI,TAMIL NADU,85818
S22116,V.P.KANDASAMY,All India Anna Dravida Munnetra Kazhagam,SULUR,TAMIL NADU,85741
S2283,LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,YERCAUD,TAMIL NADU,85583
S2241,R. GANDHI,Dravida Munnetra Kazhagam,RANIPET,TAMIL NADU,85362
S2278,ASHOK KUMAR G,Tamilaga Vettri Kazhagam,RISHIVANDIYAM,TAMIL NADU,84849
S22201,ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,CUMBUM,TAMIL NADU,84643
S22129,N. KALAISELVI,Tamilaga Vettri Kazhagam,ATHOOR,TAMIL NADU,83872
S22140,G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,TIRUCHIRAPPALLI,TAMIL NADU,83449
S22115,K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,PALLADAM,TAMIL NADU,83400
S223,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,TIRUTTANI,TAMIL NADU,83376
S22185,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,TIRUPPATTUR,TAMIL NADU,83374
S2231,R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,TAMBARAM,TAMIL NADU,83346
S2228,T.M.ANBARASAN,Dravida Munnetra Kazhagam,ALANDUR,TAMIL NADU,82596
S2255,VENDARKARASAN.S,Tamilaga Vettri Kazhagam,HOSUR,TAMIL NADU,82064
S22138,DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,MANAPPARAI,TAMIL NADU,81615
S22142,ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,THIRUVERUMBUR,TAMIL NADU,81132
S2280,RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,KALLAKURICHI,TAMIL NADU,80334
S227,GANAPATHY. K,Dravida Munnetra Kazhagam,MADURAVOYAL,TAMIL NADU,80216
S2230,D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,PALLAVARAM,TAMIL NADU,78918
S2239,K.SARAVANAN,Pattali Makkal Katchi,SHOLINGUR,TAMIL NADU,78820
S22119,SATHISH RAJU (ALIAS) K.P.R. SATHISH,Tamilaga Vettri Kazhagam,THONDAMUTHUR,TAMIL NADU,78591
S22200,PRAKASH.S,Tamilaga Vettri Kazhagam,BODINAYAKANUR,TAMIL NADU,78401
S2258,SELVAM. V.,Pattali Makkal Katchi,PENNAGARAM,TAMIL NADU,78075
S22171,ANBALAGAN G,Dravida Munnetra Kazhagam,KUMBAKONAM,TAMIL NADU,77971
S2287,SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,SANKARI,TAMIL NADU,77825
S2279,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,SANKARAPURAM,TAMIL NADU,76810
S22211,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,RAMANATHAPURAM,TAMIL NADU,76678
S22147,DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,PERAMBALUR,TAMIL NADU,76489
S22194,BALAJI R,Dravida Munnetra Kazhagam,MADURAI WEST,TAMIL NADU,76319
S2237,V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,KANCHEEPURAM,TAMIL NADU,75862
S2291,SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,VEERAPANDI,TAMIL NADU,75836
S22168,VEERAMANI V,Tamilaga Vettri Kazhagam,THIRUVARUR,TAMIL NADU,75260
S22133,PARAMASIVAM. V.P.B.,All India Anna Dravida Munnetra Kazhagam,VEDASANDUR,TAMIL NADU,74885
S22229,MAHESH.R,Dravida Munnetra Kazhagam,KANNIYAKUMARI,TAMIL NADU,74831
S2299,S. MUTHUSAMY,Dravida Munnetra Kazhagam,ERODE,TAMIL NADU,74586
S228,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,AMBATTUR,TAMIL NADU,74558
S2254,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,VEPPANAHALLI,TAMIL NADU,74553
S2262,K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,CHENGAM,TAMIL NADU,74524
S2213,M. K. STALIN,Dravida Munnetra Kazhagam,KOLATHUR,TAMIL NADU,74202
S22131,SELVAKUMAR K,Dravida Munnetra Kazhagam,NATHAM,TAMIL NADU,73839
S22221,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,KADAYANALLUR,TAMIL NADU,73579
S2297,P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,KUMARAPALAYAM,TAMIL NADU,73483
S22132,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,DINDIGUL,TAMIL NADU,73358
S22157,SARAVANAN. DURAI . K,Dravida Munnetra Kazhagam,BHUVANAGIRI,TAMIL NADU,73220
S2256,DR.NAGESH KUMAR. C,Bharatiya Janata Party,THALLI,TAMIL NADU,73043
S22162,PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,POOMPUHAR,TAMIL NADU,72836
S2259,SIVAN. M.,Tamilaga Vettri Kazhagam,DHARMAPURI,TAMIL NADU,72817
S22195,KIRUTHIGA THANGAPANDI,Dravida Munnetra Kazhagam,THIRUPARANKUNDRAM,TAMIL NADU,72763
S2246,K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,GUDIYATTAM,TAMIL NADU,72761
S2276,VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,TIRUKKOYILUR,TAMIL NADU,72748
S2261,SHANMUGAM. A,Dravida Munnetra Kazhagam,HARUR,TAMIL NADU,72194
S22173,MATHI. MANIKANDAN,Tamilaga Vettri Kazhagam,THIRUVAIYARU,TAMIL NADU,71870
S22148,SARANYA. A,All India Anna Dravida Munnetra Kazhagam,KUNNAM,TAMIL NADU,71680
S2289,RAJENDRAN. R,Dravida Munnetra Kazhagam,SALEM,TAMIL NADU,71676
S2267,MAHALAKSHMI GOVARTHANAN,Dravida Munnetra Kazhagam,ARANI,TAMIL NADU,71104
S22174,SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,THANJAVUR,TAMIL NADU,70750
S2233,R. PANNEERDOSS,Viduthalai Chiruthaigal Katchi,THIRUPORUR,TAMIL NADU,70744
S22149,LATHA BALU,Dravida Munnetra Kazhagam,ARIYALUR,TAMIL NADU,70721
S2236,SUNDAR.K,Dravida Munnetra Kazhagam,UTHIRAMERUR,TAMIL NADU,70694
S2253,ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,KRISHNAGIRI,TAMIL NADU,70530
S22118,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,COIMBATORE,TAMIL NADU,70508
S22150,KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,JAYANKONDAM,TAMIL NADU,70502
S2247,SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,VANIYAMBADI,TAMIL NADU,70199
S22135,MATHIYALAGAN  V.P,Tamilaga Vettri Kazhagam,KARUR,TAMIL NADU,69721
S22139,S. DURAIRAJ,Dravida Munnetra Kazhagam,SRIRANGAM,TAMIL NADU,69645
S22222,S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,TENKASI,TAMIL NADU,69400
S2244,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,ANAIKATTU,TAMIL NADU,69221
S22156,A  BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,KURINJIPADI,TAMIL NADU,69106
S22144,V.SARAVANAN,Tamilaga Vettri Kazhagam,MANACHANALLUR,TAMIL NADU,69083
S2274,MOHANRAJ N,Tamilaga Vettri Kazhagam,VILUPPURAM,TAMIL NADU,68863
S22112,DR. L. MURUGAN,Bharatiya Janata Party,AVANASHI,TAMIL NADU,68836
S2275,VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,VIKRAVANDI,TAMIL NADU,68817
S22187,TAMILARASI.A,Dravida Munnetra Kazhagam,MANAMADURAI,TAMIL NADU,68763
S2294,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,NAMAKKAL,TAMIL NADU,68736
S2260,PALANIAPPAN. P,Dravida Munnetra Kazhagam,PAPPIREDDIPATTI,TAMIL NADU,68715
S22172,AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,PAPANASAM,TAMIL NADU,68219
S22104,BALAKRISHNAN,Tamilaga Vettri Kazhagam,BHAVANI,TAMIL NADU,68181
S22111,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,METTUPPALAYAM,TAMIL NADU,67896
S22107,A.BANNARI,All India Anna Dravida Munnetra Kazhagam,BHAVANISAGAR,TAMIL NADU,67822
