constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22185,TIRUPPATTUR,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,83375,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,83374,1
S2254,VEPPANAHALLI,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,74691,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,74553,138
S22229,KANNIYAKUMARI,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,75045,MAHESH.R,Dravida Munnetra Kazhagam,74831,214
S2266,POLUR,ABISHEK. R,Tamilaga Vettri Kazhagam,67961,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,67734,227
S2276,TIRUKKOYILUR,PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,73033,VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,72748,285
S2295,PARAMATHI-VELUR,SEKAR S,All India Anna Dravida Munnetra Kazhagam,61349,MOORTHIY K S,Dravida Munnetra Kazhagam,61041,308
S22137,KULITHALAI,SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,68138,G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,67559,579
S22171,KUMBAKONAM,VINOTH,Tamilaga Vettri Kazhagam,78650,ANBALAGAN G,Dravida Munnetra Kazhagam,77971,679
S22127,PALANI,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,66986,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,66293,693
S2272,TINDIVANAM,VANNI ARASU,Viduthalai Chiruthaigal Katchi,63833,ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,63099,734
S22201,CUMBUM,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,85394,ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,84643,751
S2280,KALLAKURICHI,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,81132,RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,80334,798
S22218,KOVILPATTI,KARUNANITHI.K,Dravida Munnetra Kazhagam,61643,BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,60800,843
S2275,VIKRAVANDI,SIVAKUMAR C,Pattali Makkal Katchi,69727,VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,68817,910
S22108,UDHAGAMANDALAM,BHOJARAJAN.M,Bharatiya Janata Party,48488,IBRAHIM.R,Tamilaga Vettri Kazhagam,47512,976
S22172,PAPANASAM,A.M. SHAHJAHAN,Indian Union Muslim League,69284,AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,68219,1065
S22132,DINDIGUL,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,74489,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,73358,1131
S22216,SRIVAIKUNTAM,SARAVANAN. G,Tamilaga Vettri Kazhagam,58814,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,57628,1186
S22187,MANAMADURAI,ELANGOVAN.D,Tamilaga Vettri Kazhagam,69971,TAMILARASI.A,Dravida Munnetra Kazhagam,68763,1208
S22105,ANTHIYUR,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,60042,SIVABALAN.M,Dravida Munnetra Kazhagam,58782,1260
S22234,KILLIYOOR,RAJESH KUMAR. S,Indian National Congress,66434,SABIN. S,Tamilaga Vettri Kazhagam,65123,1311
S22138,MANAPPARAI,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,83041,DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,81615,1426
S22181,THIRUMAYAM,REGUPATHY.S,Dravida Munnetra Kazhagam,58201,CHINTHAMANI.C,Tamilaga Vettri Kazhagam,56709,1492
S22167,MANNARGUDI,KAMARAJ. S,Amma Makkal Munnettra Kazagam,68416,RAJAA.T.R.B,Dravida Munnetra Kazhagam,66850,1566
S22197,USILAMPATTI,VIJAY. M,Tamilaga Vettri Kazhagam,65743,MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,63938,1805
S22135,KARUR,M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,71542,MATHIYALAGAN  V.P,Tamilaga Vettri Kazhagam,69721,1821
S22180,PUDUKKOTTAI,V. MUTHURAJA,Dravida Munnetra Kazhagam,66825,K.M. SHARIFF,Tamilaga Vettri Kazhagam,64958,1867
S2283,YERCAUD,USHARANI. P,All India Anna Dravida Munnetra Kazhagam,87772,LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,85583,2189
S22120,COIMBATORE,V SENTHILBALAJI,Dravida Munnetra Kazhagam,59724,V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,57453,2271
S2277,ULUNDURPETTAI,VASANTHAVEL G R,Dravida Munnetra Kazhagam,98471,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,96194,2277
S22164,KILVELUR,LATHA. T,Communist Party of India (Marxist),56108,SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,53830,2278
S22152,VRIDDHACHALAM,PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,69351,VIJAY.S,Tamilaga Vettri Kazhagam,66964,2387
S22100,MODAKKURICHI,D.SHANMUGAN,Tamilaga Vettri Kazhagam,60715,S.KIRTHIKA,Bharatiya Janata Party,58285,2430
S2263,TIRUVANNAMALAI,VELU. E.V,Dravida Munnetra Kazhagam,88273,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,85818,2455
