constituency_code,constituency,state,no_of_candidates
S22135,KARUR,TAMIL NADU,80
S2212,PERAMBUR,TAMIL NADU,48
S2211,DR.RADHAKRISHNAN NAGAR,TAMIL NADU,39
S2213,KOLATHUR,TAMIL NADU,36
S22120,COIMBATORE,TAMIL NADU,32
S2295,PARAMATHI-VELUR,TAMIL NADU,32
S2288,SALEM,TAMIL NADU,32
S22180,PUDUKKOTTAI,TAMIL NADU,31
S22134,ARAVAKURICHI,TAMIL NADU,31
S2263,TIRUVANNAMALAI,TAMIL NADU,31
S22137,KULITHALAI,TAMIL NADU,30
S2214,VILLIVAKKAM,TAMIL NADU,29
S2217,ROYAPURAM,TAMIL NADU,29
S22121,SINGANALLUR,TAMIL NADU,29
S22136,KRISHNARAYAPURAM,TAMIL NADU,29
S22118,COIMBATORE,TAMIL NADU,29
S2226,VELACHERY,TAMIL NADU,28
S2294,NAMAKKAL,TAMIL NADU,28
S2227,SHOZHINGANALLUR,TAMIL NADU,28
S2219,CHEPAUK-THIRUVALLIKENI,TAMIL NADU,27
S22142,THIRUVERUMBUR,TAMIL NADU,27
S2224,THIYAGARAYANAGAR,TAMIL NADU,27
S22179,VIRALIMALAI,TAMIL NADU,27
S22184,KARAIKUDI,TAMIL NADU,26
S2278,RISHIVANDIYAM,TAMIL NADU,26
S22207,ARUPPUKKOTTAI,TAMIL NADU,26
S22227,NANGUNERI,TAMIL NADU,26
S2222,VIRUGAMPAKKAM,TAMIL NADU,25
S2274,VILUPPURAM,TAMIL NADU,25
S2250,TIRUPPATTUR,TAMIL NADU,25
S2275,VIKRAVANDI,TAMIL NADU,25
S22143,LALGUDI,TAMIL NADU,25
S2221,ANNA NAGAR,TAMIL NADU,25
S22114,TIRUPPUR,TAMIL NADU,25
S2267,ARANI,TAMIL NADU,25
S228,AMBATTUR,TAMIL NADU,24
S2230,PALLAVARAM,TAMIL NADU,24
S2228,ALANDUR,TAMIL NADU,24
S2215,THIRU-VI-KA-NAGAR,TAMIL NADU,24
S2239,SHOLINGUR,TAMIL NADU,24
S2218,HARBOUR,TAMIL NADU,24
S22228,RADHAPURAM,TAMIL NADU,24
S2296,TIRUCHENGODU,TAMIL NADU,24
S2264,KILPENNATHUR,TAMIL NADU,24
S22208,TIRUCHULI,TAMIL NADU,24
S22221,KADAYANALLUR,TAMIL NADU,23
S22202,RAJAPALAYAM,TAMIL NADU,23
S22144,MANACHANALLUR,TAMIL NADU,23
S22204,SATTUR,TAMIL NADU,23
S22222,TENKASI,TAMIL NADU,23
S22111,METTUPPALAYAM,TAMIL NADU,23
S2258,PENNAGARAM,TAMIL NADU,23
S2279,SANKARAPURAM,TAMIL NADU,23
S22119,THONDAMUTHUR,TAMIL NADU,22
S22139,SRIRANGAM,TAMIL NADU,22
S227,MADURAVOYAL,TAMIL NADU,22
S2265,KALASAPAKKAM,TAMIL NADU,22
S22131,NATHAM,TAMIL NADU,22
S2297,KUMARAPALAYAM,TAMIL NADU,22
S2271,MAILAM,TAMIL NADU,22
S22210,TIRUVADANAI,TAMIL NADU,22
S22218,KOVILPATTI,TAMIL NADU,22
S2291,VEERAPANDI,TAMIL NADU,21
S22219,SANKARANKOVIL,TAMIL NADU,21
S22141,TIRUCHIRAPPALLI,TAMIL NADU,21
S22161,MAYILADUTHURAI,TAMIL NADU,21
S22224,TIRUNELVELI,TAMIL NADU,21
S22230,NAGERCOIL,TAMIL NADU,21
S22212,MUDHUKULATHUR,TAMIL NADU,21
S226,AVADI,TAMIL NADU,21
S22132,DINDIGUL,TAMIL NADU,21
S2298,ERODE,TAMIL NADU,21
S2287,SANKARI,TAMIL NADU,21
S22148,KUNNAM,TAMIL NADU,20
S2290,SALEM,TAMIL NADU,20
S2249,JOLARPET,TAMIL NADU,20
