candidate,party,constituency,vote_share
VIJAY. M,Tamilaga Vettri Kazhagam,USILAMPATTI,29.34326572877240591300
R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,MUDHUKULATHUR,29.39106983096558371100
SUNILANAND,Tamilaga Vettri Kazhagam,METTUPPALAYAM,30.96934745148760432100
ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,PARAMAKUDI,31.17789969065047719900
KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,SATTUR,31.22767115843288013100
PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,ALANGULAM,31.31890770951339554600
THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,KANNIYAKUMARI,31.37988710014635166200
P.VISWANATHAN,Indian National Congress,MELUR,31.50068684919727777000
RAJEEV,Tamilaga Vettri Kazhagam,TIRUVADANAI,31.57419261115499505200
KARUNANITHI.K,Dravida Munnetra Kazhagam,KOVILPATTI,31.73678899460439062600
D.SHANMUGAN,Tamilaga Vettri Kazhagam,MODAKKURICHI,31.82811820150032239600
REGUPATHY.S,Dravida Munnetra Kazhagam,THIRUMAYAM,31.87139946991435393100
ABISHEK. R,Tamilaga Vettri Kazhagam,POLUR,32.09598428283343487200
RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,PALANI,32.10925179394014926700
HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,ANTHIYUR,32.31974162293096487700
SEKAR S,All India Anna Dravida Munnetra Kazhagam,PARAMATHI-VELUR,32.48643067065582885400
ARUL VIGNESH C,Tamilaga Vettri Kazhagam,KALLAKURICHI,32.50142212750274410500
VANNI ARASU,Viduthalai Chiruthaigal Katchi,TINDIVANAM,32.56353748992480589300
SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,KULITHALAI,32.58772496185871223500
BHOJARAJAN.M,Bharatiya Janata Party,UDHAGAMANDALAM,32.60705831719388853000
P CHANDRASEKAR,Tamilaga Vettri Kazhagam,SENTHAMANGALAM,32.81796201004354108700
LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,LALGUDI,32.82436977965909520400
SATHYA. M,Tamilaga Vettri Kazhagam,KRISHNARAYAPURAM,32.94200900943720063200
M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,KARUR,32.99466399789696027700
DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,SANKARANKOVIL,33.01353827361563517900
NM.SUKUMAR,Tamilaga Vettri Kazhagam,SULUR,33.09558974059017927600
PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,VRIDDHACHALAM,33.15279225187154016000
E. RAJA,Dravida Munnetra Kazhagam,VASUDEVANALLUR,33.21741879396190626700
THARAHAI CUTHBERT,Indian National Congress,COLACHAL,33.26767598096606754300
E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,BARGUR,33.29594316694709291500
SIVAKUMAR C,Pattali Makkal Katchi,VIKRAVANDI,33.32536765584449723000
SARAVANAN. G,Tamilaga Vettri Kazhagam,SRIVAIKUNTAM,33.33730111494663333700
JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,ARANI,33.33956083106681380900
A.M. SHAHJAHAN,Indian Union Muslim League,PAPANASAM,33.35403397794177823400
AMBETHKUMAR. S,Dravida Munnetra Kazhagam,VANDAVASI,33.37011777996276228500
MARKANDAYAN G V,Dravida Munnetra Kazhagam,VILATHIKULAM,33.40407518848604802800
ELANGOVAN.D,Tamilaga Vettri Kazhagam,MANAMADURAI,33.53623174513403277400
SRINIVASAN.P.S,Dravida Munnetra Kazhagam,VEPPANAHALLI,33.55270250844533889200
PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,TIRUKKOYILUR,33.60651211588547658300
JAYAKUMAR M.,Dravida Munnetra Kazhagam,UDUMALAIPETTAI,33.67260223504850792100
V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,BHAVANISAGAR,33.73377758102472098600
KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,SHOLAVANDAN,33.79892109160143854500
PALANIVEL. M.S,Tamilaga Vettri Kazhagam,VEERAPANDI,33.87684154742978272400
LAKSHMANAN R,Dravida Munnetra Kazhagam,VILUPPURAM,33.87861963959112811100
DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,TENKASI,33.91634430840855026000
KARTHIK.A,Tamilaga Vettri Kazhagam,SRIVILLIPUTHUR,33.93428472484248285300
RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,CHEYYUR,34.01622739679290344600
RAKESH R,All India Anna Dravida Munnetra Kazhagam,SANKARAPURAM,34.07238205224007336700
N ELAIYARAJA,Tamilaga Vettri Kazhagam,UTHANGARAI,34.15608426993626234600
MAHARAJAN.A,Dravida Munnetra Kazhagam,ANDIPATTI,34.19884138794178411500
K. NITHYANANDHAN,Dravida Munnetra Kazhagam,POLLACHI,34.22426543632309764000
DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,AMBASAMUDRAM,34.30476738408431182800
SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,HARUR,34.32208396578834949700
DR M SUDHAKAR,Tamilaga Vettri Kazhagam,KATPADI,34.33367568072256593500
R. KATHIRAVAN,Tamilaga Vettri Kazhagam,MANAPPARAI,34.42599164234544972100
SYED FAROOQ BASHA SSB,Indian Union Muslim League,VANIYAMBADI,34.43260842971006991800
KULANTHAI RANI A,Tamilaga Vettri Kazhagam,SIVAGANGA,34.44575763662778475900
ASHOKKUMAR. N,Dravida Munnetra Kazhagam,PERAVURANI,34.55926568864381587800
USHARANI. P,All India Anna Dravida Munnetra Kazhagam,YERCAUD,34.61150194012429414200
AYYANAR.R,Tamilaga Vettri Kazhagam,NILAKKOTTAI,34.70770725683602151900
MURUGHAN.R.S.,Tamilaga Vettri Kazhagam,TIRUNELVELI,34.72130021746594941100
NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,KANGAYAM,34.94354751540283195900
MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,MADURANTAKAM,34.94761690987687325700
DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,RADHAPURAM,34.98557002165747182800
JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,PERUNDURAI,35.03084420437898009800
N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,GANDHARVAKOTTAI,35.07678172988581178600
