candidate,party,constituency,runner_up_vote_percentage
G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,TIRUCHIRAPPALLI,42.500
M. K. STALIN,Dravida Munnetra Kazhagam,KOLATHUR,40.320
ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,CUMBUM,40.200
SELVAM. D,Tamilaga Vettri Kazhagam,CHEPAUK-THIRUVALLIKENI,39.680
ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,TIRUVANNAMALAI,39.000
PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,TIRUPPATTUR,38.650
R. GANDHI,Dravida Munnetra Kazhagam,RANIPET,38.620
ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,THIRUVERUMBUR,37.990
MOORTHY P,Dravida Munnetra Kazhagam,MADURAI EAST,37.640
ANBALAGAN G,Dravida Munnetra Kazhagam,KUMBAKONAM,37.430
V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,COIMBATORE,36.710
SABIN. S,Tamilaga Vettri Kazhagam,KILLIYOOR,36.680
MARIA JOHN,Tamilaga Vettri Kazhagam,PALAYAMKOTTAI,36.510
ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,OMALUR,36.040
TAMILAN PRASANNA,Dravida Munnetra Kazhagam,EGMORE,35.990
J. MURUGAN,Tamilaga Vettri Kazhagam,TIRUCHENDUR,35.930
P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,KUMARAPALAYAM,35.790
SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,THANJAVUR,35.590
PRAKASH.S,Tamilaga Vettri Kazhagam,BODINAYAKANUR,35.540
KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,ULUNDURPETTAI,35.500
SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,KILVELUR,35.500
DR.NAGESH KUMAR. C,Bharatiya Janata Party,THALLI,35.480
N. KALAISELVI,Tamilaga Vettri Kazhagam,ATHOOR,35.360
SARAVANAN. DURAI . K,Dravida Munnetra Kazhagam,BHUVANAGIRI,35.320
BALAJI R,Dravida Munnetra Kazhagam,MADURAI WEST,35.270
DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,ROYAPURAM,35.210
S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,35.050
M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,TIRUTTANI,34.910
P.KARTHIKEYAN,Dravida Munnetra Kazhagam,VELLORE,34.770
KARTHIK MOHAN,Dravida Munnetra Kazhagam,VILLIVAKKAM,34.740
ASHOK KUMAR G,Tamilaga Vettri Kazhagam,RISHIVANDIYAM,34.660
NAZEER RAJA. G,Tamilaga Vettri Kazhagam,DINDIGUL,34.600
RAMACHANDRAN . T,Indian National Congress,ARANTHANGI,34.580
VEERAMANI V,Tamilaga Vettri Kazhagam,THIRUVARUR,34.540
RAJAA.T.R.B,Dravida Munnetra Kazhagam,MANNARGUDI,34.440
RAJASEKAR A,Tamilaga Vettri Kazhagam,TITTAKUDI,34.410
IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,AMBUR,34.240
SELVAM. V.,Pattali Makkal Katchi,PENNAGARAM,34.140
K.M. SHARIFF,Tamilaga Vettri Kazhagam,PUDUKKOTTAI,34.120
RAJENDRAN. R,Dravida Munnetra Kazhagam,SALEM,34.020
SAMAYAN.S,Tamilaga Vettri Kazhagam,TIRUCHULI,33.990
G.THALAPATHI,Dravida Munnetra Kazhagam,MADURAI NORTH,33.880
DINESHKUMAR. N,Dravida Munnetra Kazhagam,TIRUPPUR,33.860
DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,MANAPPARAI,33.830
LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,YERCAUD,33.750
K.SARAVANAN,Pattali Makkal Katchi,SHOLINGUR,33.730
KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,ARUPPUKKOTTAI,33.720
S. MUTHUSAMY,Dravida Munnetra Kazhagam,ERODE,33.690
SINORA P S ASHOK,Tamilaga Vettri Kazhagam,HARBOUR,33.630
MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,VEPPANAHALLI,33.490
VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,TIRUKKOYILUR,33.480
EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,THOUSAND LIGHTS,33.240
NAGAJOTHI.S,Dravida Munnetra Kazhagam,NILAKKOTTAI,33.230
PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,POOMPUHAR,33.210
C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,KADAYANALLUR,33.150
PARAMASIVAM. V.P.B.,All India Anna Dravida Munnetra Kazhagam,VEDASANDUR,33.050
SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,VANIYAMBADI,33.030
TAMILARASI.A,Dravida Munnetra Kazhagam,MANAMADURAI,32.960
SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,KINATHUKADAVU,32.940
V.SARAVANAN,Tamilaga Vettri Kazhagam,MANACHANALLUR,32.930
VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,VIKRAVANDI,32.890
SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,SAIDAPET,32.850
AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,PAPANASAM,32.840
SHANMUGAM. A,Dravida Munnetra Kazhagam,HARUR,32.810
GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,PERAVURANI,32.770
BALAKRISHNAN,Tamilaga Vettri Kazhagam,BHAVANI,32.730
SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,SRIVAIKUNTAM,32.670
UDHAYASURIYAN T,Dravida Munnetra Kazhagam,SANKARAPURAM,32.610
R.D. SHEKAR,Dravida Munnetra Kazhagam,PERAMBUR,32.610
PANDIAN. K.A,All India Anna Dravida Munnetra Kazhagam,CHIDAMBARAM,32.550
