party,no_of_candidates_with_less_than_one_sixth_votes
Independent,2208
Naam Tamilar Katchi,234
None of the Above,234
Tamizhaga Vaazhvurimai Katchi,164
Bahujan Samaj Party,119
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,77
Puthiya Tamilagam,60
Naam Indiar Party,33
Aanaithinthiya Jananayaka Pathukappu Kazhagam,29
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,26
Samaniya Makkal Nala Katchi,25
Naadaalum Makkal Katchi,22
All India Anna Dravida Munnetra Kazhagam,19
Republican Party of India (Athawale),16
Thamizhaka Padaippalar Makkal Katchi,16
Thakkam Katchi,15
Anti Corruption Dynamic Party,14
Communist Party of India (Marxist-Leninist) (Liberation),13
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,13
Ganasangam Party of India,13
Party for the Rights of Other backward Classes,13
Puthiya Makkal Tamil Desam Katchi,12
Vishwa Tamil Kazhagam,11
Desiya Makkal Sakthi Katchi,11
Tamilar Makkal Katchi,8
Indhu Dravida Makkal Katchi,8
Tamilaga Makkal Nala Katchi,8
All India Jananayaka Makkal Kazhagam,7
Tamizhaga Murpokku Makkal Katchi,7
Rashtriya Samaj Dal (R),7
Anaithinthiya Anna Dravida Makkal Seyal katchi,7
Amma Makkal Munnettra Kazagam,6
Bharatiya Janata Party,5
Anna Makkal Katchi,5
Makkal Nalvaazhvuk Katchi,4
Tamil Telugu National Party,4
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,4
Ezhuchi Tamilargal Munnetra Kazhagam,4
Vanchit Bahujan Aaghadi,4
Samata Party,4
Socialist Unity Centre Of India (COMMUNIST),4
All India Youth Development Party,4
Democratic National Allegiance,3
Makkal Arasial Katchi,3
All India Forward Bloc,3
Akila Inthiya Makkal Marumalarchi Kazhakam,3
Thamizh Desiya Munnetra Kazhagam,3
Viro Ke Vir Indian Party,3
Bahujan Dravida Party,3
Anna MGR Dravida Makkal Kalgam,3
Communist Party of India (Marxist-Leninist) Red Star,3
Vada Tamil Nadu Munnetra Katchi,2
Thamizh Perarasu Katchi,2
Namadhu Makkal Katchi,2
Ahimsa Socialist Party,2
MAKKAL SAKTHI KATCHI,2
Makkal Munnetra Katchi,2
National Maha Sabha Party,2
New Generation Peoples Party,2
Tamil Nadu Ilangyar Katchi,2
Our Mahathma National Party,2
All India Uzhavargal Uzhaippalargal Katchi,2
Makkal Nala Kazhagam,2
Pattali Makkal Katchi,2
Bharat Jan Chikitsa Party,2
Jebamani Janata,2
Desa Makkal Munnetrak Kazhagam,2
Rashtriya Janata Dal,1
Dravida Jananayaga Makkal Katchi,1
Indhia Kudiarasu Katchi,1
Indian Christian Front,1
Indian National League,1
India Suyarajya Party,1
Kamarajar Deseeya Congress,1
Makkalatchi Katchi,1
Makkal Murasu Katchi,1
Makkal Sananayaga Kudiyarasu Katchi,1
Mannin Maithargal Kazhagam,1
MGR Makkal Katchi,1
Anaithindia Samudaya Munnetra Kazhagam,1
ALL PENSIONERS PARTY,1
Namathu Kongu Munnetra Kalagam,1
Nationalist Janshakti Party,1
Parivartan Rajniti Party,1
Periyar Ambedkar Munnetra Kazhagam (PAMK),1
Proutist Sarva Samaj,1
Bharatha Makkal Katchi,1
Republican Party of India,1
Republican Party of India (A),1
All India Majlis-E-Inquilab-E-Millat,1
Tamil Manila Murpokku Dravida Kazhagam,1
Tamilnadu Mahatma Gandhi Makkal Katchi,1
Thamizhaga Dravidar Katchi,1
Thamizhaga Munnetra Congress,1
Ahila India Dhayaga Makkal Munnetra Katchi,1
Vidial Valarchi Perani,1
Viduthalai Kalam Katchi,1
