party,seats_participated,seats_won,success_ratio
Bharatiya Janata Party,33,1,3.03030303030303030300
Amma Makkal Munnettra Kazagam,11,1,9.09090909090909090900
Desiya Murpokku Dravida Kazhagam,10,1,10.00000000000000000000
Indian National Congress,28,5,17.85714285714285714300
Pattali Makkal Katchi,18,4,22.22222222222222222200
Viduthalai Chiruthaigal Katchi,8,2,25.00000000000000000000
All India Anna Dravida Munnetra Kazhagam,172,47,27.32558139534883720900
Dravida Munnetra Kazhagam,176,57,32.38636363636363636400
Communist Party of India (Marxist),5,2,40.00000000000000000000
Communist Party of India,5,2,40.00000000000000000000
Tamilaga Vettri Kazhagam,233,103,44.20600858369098712400
Indian Union Muslim League,2,2,100.00000000000000000000
