candidate,constituency,constituency_code,party,result
C. JOSEPH VIJAY,TIRUCHIRAPPALLI,S22141,Tamilaga Vettri Kazhagam,WON
C. JOSEPH VIJAY,PERAMBUR,S2212,Tamilaga Vettri Kazhagam,WON
SIVAKUMAR. K,PERAMBALUR,S22147,Tamilaga Vettri Kazhagam,WON
SIVAKUMAR. K,SALEM,S2289,Tamilaga Vettri Kazhagam,WON
R.MANOHARAN,SRIRANGAM,S22139,All India Anna Dravida Munnetra Kazhagam,LOST
R.MANOHARAN,ERODE,S2298,All India Anna Dravida Munnetra Kazhagam,LOST
AGNI AALVAR,CHEPAUK-THIRUVALLIKENI,S2219,Independent,LOST
AGNI AALVAR,PERAMBUR,S2212,Independent,LOST
A. RAMESH,PALLADAM,S22115,Independent,LOST
A. RAMESH,COIMBATORE,S22118,Independent,LOST
ARJUNAN. M,VANDAVASI,S2269,Independent,LOST
ARJUNAN. M,CHEYYAR,S2268,Independent,LOST
A.SARAVANAN,ALANDUR,S2228,Independent,LOST
A.SARAVANAN,PALLADAM,S22115,Independent,LOST
A.VIJAY,DR.RADHAKRISHNAN NAGAR,S2211,Independent,LOST
A.VIJAY,ARCOT,S2242,Independent,LOST
DHANASEKAR,KATPADI,S2240,Independent,LOST
DHANASEKAR,THIRUVIDAIMARUDUR,S22170,Independent,LOST
D.SARAVANAN,ALANDUR,S2228,Independent,LOST
D.SARAVANAN,KULITHALAI,S22137,Independent,LOST
GOPALAKRISHNAN,KUMARAPALAYAM,S2297,Independent,LOST
GOPALAKRISHNAN,COIMBATORE,S22120,Independent,LOST
GUNASEKARAN.P,KOVILPATTI,S22218,Independent,LOST
GUNASEKARAN.P,SHOLAVANDAN,S22190,Independent,LOST
KANDASAMY S,VILLIVAKKAM,S2214,Independent,LOST
KANDASAMY S,PARAMATHI-VELUR,S2295,Independent,LOST
KANNAN. M,BHAVANI,S22104,Independent,LOST
KANNAN. M,METTUR,S2285,Independent,LOST
KARTHICK.M,VIRUGAMPAKKAM,S2222,Independent,LOST
KARTHICK.M,SALEM,S2288,Independent,LOST
KARTHICK S,TIRUKKOYILUR,S2276,Independent,LOST
KARTHICK S,VILLIVAKKAM,S2214,Independent,LOST
KARTHIKEYAN. P,BHAVANI,S22104,Independent,LOST
KARTHIKEYAN. P,MANACHANALLUR,S22144,Independent,LOST
KOTHANDAPANI. B,TIRUVANNAMALAI,S2263,Independent,LOST
KOTHANDAPANI. B,KALASAPAKKAM,S2265,Independent,LOST
MANIKANDAN C,RISHIVANDIYAM,S2278,Independent,LOST
MANIKANDAN C,RASIPURAM,S2292,Independent,LOST
MANIKANDAN P,ULUNDURPETTAI,S2277,Independent,LOST
MANIKANDAN P,SANKARAPURAM,S2279,Independent,LOST
MARIMUTHU. S,VEDASANDUR,S22133,Independent,LOST
MARIMUTHU. S,TIRUPPATTUR,S22185,Independent,LOST
M. ARUMUGASAMY,KADAYANALLUR,S22221,Independent,LOST
M. ARUMUGASAMY,VASUDEVANALLUR,S22220,Independent,LOST
MOHAN. R,CHEYYAR,S2268,Independent,LOST
MOHAN. R,VELACHERY,S2226,Independent,LOST
MOHAN RAJ. R,TIRUPPATTUR,S2250,Independent,LOST
MOHAN RAJ. R,SALEM,S2288,Independent,LOST
M. RAVICHANDRAN,THURAIYUR,S22146,Independent,LOST
M. RAVICHANDRAN,COIMBATORE,S22120,Independent,LOST
MURUGAN. P,METTUR,S2285,Independent,LOST
MURUGAN. P,KADAYANALLUR,S22221,Independent,LOST
MURUGAN. S,PAPPIREDDIPATTI,S2260,Independent,LOST
MURUGAN. S,SRIVAIKUNTAM,S22216,Independent,LOST
MURUGAN. S,POOMPUHAR,S22162,Independent,LOST
MURUGAN. S,KRISHNARAYAPURAM,S22136,Independent,LOST
MUTHUKUMAR D,PATTUKKOTTAI,S22176,Independent,LOST
MUTHUKUMAR D,MADURAI WEST,S22194,Independent,LOST
NALLAKKANNU ALIAS KARTHIC.K,PALAYAMKOTTAI,S22226,Independent,LOST
NALLAKKANNU ALIAS KARTHIC.K,NANGUNERI,S22227,Independent,LOST
PRASANTH. D,KRISHNARAYAPURAM,S22136,Independent,LOST
PRASANTH. D,THIRU-VI-KA-NAGAR,S2215,Independent,LOST
P.RAVICHANDRAN,METTUPPALAYAM,S22111,Independent,LOST
P.RAVICHANDRAN,PALLAVARAM,S2230,Independent,LOST
RAJASEKAR. R,AVADI,S226,Independent,LOST
RAJASEKAR. R,NANNILAM,S22169,Independent,LOST
RAJASEKAR. S,CHEPAUK-THIRUVALLIKENI,S2219,Independent,LOST
RAJASEKAR. S,SALEM,S2289,Independent,LOST
RAJASEKAR. S,VELACHERY,S2226,Independent,LOST
