constituency_code,constituency,party,candidate,third_place_vote_pct,party_avg_vote_pct,overperformance_pct,total_candidates,margin_votes
S22173,THIRUVAIYARU,Amma Makkal Munnettra Kazagam,VELU. KARTHIKEYAN,24.82,18.48,6.34,14,8555
S22231,COLACHAL,Bharatiya Janata Party,SIVAKUMAR. T,27.33,22.59,4.74,14,2833
S22230,NAGERCOIL,Bharatiya Janata Party,GANDHI M R,26.67,22.59,4.08,21,7570
S22108,UDHAGAMANDALAM,Indian National Congress,RAMACHANDRAN.B,30.70,28.60,2.10,7,976
S2266,POLUR,Pattali Makkal Katchi,BASKARAN. C. R,29.02,27.05,1.97,16,227
S22181,THIRUMAYAM,All India Anna Dravida Munnetra Kazhagam,VAIRAMUTHU.PK,30.37,28.50,1.87,15,1492
S22152,VRIDDHACHALAM,Pattali Makkal Katchi,DR.TAMIZHARASI.P,28.58,27.05,1.53,19,2387
S22188,MELUR,All India Anna Dravida Munnetra Kazhagam,P.PERIYAPULLAN (A) SELVAM,29.75,28.50,1.25,14,2724
S2274,VILUPPURAM,All India Anna Dravida Munnetra Kazhagam,VIJAYASURESHBABU,29.62,28.50,1.12,25,4119
S2251,UTHANGARAI,Indian National Congress,R KUPPUSAMY,29.68,28.60,1.08,14,5198
S22198,ANDIPATTI,All India Anna Dravida Munnetra Kazhagam,LOGIRAJAN.A,29.15,28.50,0.65,19,9554
S22124,VALPARAI,All India Anna Dravida Munnetra Kazhagam,LEKSHMANA SINGH. D,29.07,28.50,0.57,7,9371
S22210,TIRUVADANAI,All India Anna Dravida Munnetra Kazhagam,M.KEERTHIKA,29.00,28.50,0.50,22,2513
S22137,KULITHALAI,All India Anna Dravida Munnetra Kazhagam,S.KARUNAKARAN,28.85,28.50,0.35,30,579
S2247,VANIYAMBADI,All India Anna Dravida Munnetra Kazhagam,SENDHIL KUMAR.G,28.73,28.50,0.23,16,2982
