constituency_code,candidate,party,constituency,state,runner_votes
S256,ASHUTOSH BARMA,Bharatiya Janata Party,SITAI,WEST BENGAL,125467
S257,UDAYAN GUHA,All India Trinamool Congress,DINHATA,WEST BENGAL,120808
S25132,BANKIM CHANDRA HAZRA,All India Trinamool Congress,SAGAR,WEST BENGAL,119921
S255,HARIHAR DAS,All India Trinamool Congress,SITALKUCHI,WEST BENGAL,119089
S25210,PABITRA KAR,All India Trinamool Congress,NANDIGRAM,WEST BENGAL,117636
S25234,SRIKANTA MAHATA,All India Trinamool Congress,SALBONI,WEST BENGAL,117613
S25218,TARUN KUMAR MAITY,All India Trinamool Congress,EGRA,WEST BENGAL,116978
S25226,MANAS RANJAN BHUNIA,All India Trinamool Congress,SABANG,WEST BENGAL,116647
S25134,PALASH RANA,Bharatiya Janata Party,RAIDIGHI,WEST BENGAL,113034
S25130,ASIT KUMAR HALDAR,Bharatiya Janata Party,PATHARPRATIMA,WEST BENGAL,112291
S25287,KHOKAN DAS,Bharatiya Janata Party,NANOOR,WEST BENGAL,111788
S25206,CHANDAN MONDAL,All India Trinamool Congress,MOYNA,WEST BENGAL,110925
S25145,SOMASHREE BETAL,All India Trinamool Congress,SATGACHHIA,WEST BENGAL,110622
S25197,BARNALI DAS,Bharatiya Janata Party,DHANEKHALI,WEST BENGAL,110405
S25213,DEBASIS BHUNYA,All India Trinamool Congress,KANTHI UTTAR,WEST BENGAL,110033
S25151,FIRDOUSI BEGAM,All India Trinamool Congress,SONARPUR UTTAR,WEST BENGAL,110017
S25196,KARABI MANNA,All India Trinamool Congress,HARIPAL,WEST BENGAL,109844
S25214,MANAB KUMAR PARUA,All India Trinamool Congress,BHAGABANPUR,WEST BENGAL,109708
S25183,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,JAGATBALLAVPUR,WEST BENGAL,108937
S25257,SHYAMALI ROY BAGDI,All India Trinamool Congress,INDUS,WEST BENGAL,107833
S25212,PIJUS KANTI PANDA,All India Trinamool Congress,PATASHPUR,WEST BENGAL,107538
S25232,DOLOI SURJYA KANTA,All India Trinamool Congress,CHANDRAKONA,WEST BENGAL,107036
S25115,TAPASH CHATTERJEE,All India Trinamool Congress,RAJARHAT NEW TOWN,WEST BENGAL,106248
S25266,SANJOY DAS,Bharatiya Janata Party,BARDHAMAN UTTAR,WEST BENGAL,106228
S25211,UTTAM BARIK,All India Trinamool Congress,CHANDIPUR,WEST BENGAL,105777
S25227,AJIT MAITY,All India Trinamool Congress,PINGLA,WEST BENGAL,105709
S25205,SIRAJ KHAN,All India Trinamool Congress,PANSKURA PASCHIM,WEST BENGAL,105352
S25217,AKHIL GIRI,All India Trinamool Congress,RAMNAGAR,WEST BENGAL,104869
S25289,NILABATI SAHA,All India Trinamool Congress,SAINTHIA,WEST BENGAL,104748
S25131,MANTURAM PAKHIRA,All India Trinamool Congress,KAKDWIP,WEST BENGAL,104613
S25238,RAJIB LOCHAN SAREN,All India Trinamool Congress,BANDWAN,WEST BENGAL,104503
S25124,DR. SOURYA BANERJEE,Bharatiya Janata Party,BASIRHAT DAKSHIN,WEST BENGAL,103421
S25179,NADEBASI JANA,All India Trinamool Congress,SHYAMPUR,WEST BENGAL,103391
S2533,SATYAJIT BARMAN,All India Trinamool Congress,HEMTABAD,WEST BENGAL,103168
S25288,ABHIJIT SINHA (RANA),All India Trinamool Congress,LABPUR,WEST BENGAL,102852
S25261,MANDIRA DALUI,All India Trinamool Congress,RAINA,WEST BENGAL,102653
S25203,DIPENDRA NARAYAN ROY,All India Trinamool Congress,TAMLUK,WEST BENGAL,101837
S25286,DILIP GHOSH,Bharatiya Janata Party,BOLPUR,WEST BENGAL,101727
S25195,SNEHASIS CHAKRABORTY,All India Trinamool Congress,JANGIPARA,WEST BENGAL,101547
S25230,ASHIS HUDAIT,All India Trinamool Congress,DASPUR,WEST BENGAL,100937
S25207,SUKUMAR DE,All India Trinamool Congress,NANDAKUMAR,WEST BENGAL,100873
S25181,SUKANTA KUMAR PAUL,All India Trinamool Congress,AMTA,WEST BENGAL,100195
S25274,ALOK KUMAR MAJHI,All India Trinamool Congress,GALSI,WEST BENGAL,100146
S25219,MANIK MAITI,All India Trinamool Congress,DANTAN,WEST BENGAL,99883
S25265,RASH BIHARI  HALDER,All India Trinamool Congress,MEMARI,WEST BENGAL,99322
S25223,RAMJIBAN MANDI,All India Trinamool Congress,KESHIARY,WEST BENGAL,97826
S25215,RABIN CHANDRA MANDAL,All India Trinamool Congress,KHEJURI,WEST BENGAL,97185
S25149,BANERJEE SANDIP,Bharatiya Janata Party,KASBA,WEST BENGAL,96919
S2520,BULU CHIK BARAIK,All India Trinamool Congress,MAL,WEST BENGAL,96603
S25254,SUBRATA DUTTA (GOPI),All India Trinamool Congress,ONDA,WEST BENGAL,96573
S2515,NIRMAL CHANDRA ROY,All India Trinamool Congress,DHUPGURI,WEST BENGAL,96248
S2549,KABITA MANDAL,All India Trinamool Congress,MANIKCHAK,WEST BENGAL,96180
S25192,SAMIR CHAKRABORTY,All India Trinamool Congress,PANDUA,WEST BENGAL,96121
S259,SHIBSANKAR PAUL,All India Trinamool Congress,TUFANGANJ,WEST BENGAL,96068
S25259,GOUTAM DHARA,Bharatiya Janata Party,KHANDAGHOSH,WEST BENGAL,95899
S25146,ABHIJIT SARDAR,Bharatiya Janata Party,BISHNUPUR,WEST BENGAL,95722
S25225,PRATIBHA MAITI,All India Trinamool Congress,NARAYANGARH,WEST BENGAL,95683
S25285,UJJAL CHATTERJEE,All India Trinamool Congress,SURI,WEST BENGAL,95557
S25228,TAPAN BHUYA,Bharatiya Janata Party,KHARAGPUR,WEST BENGAL,95448
S25208,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,MAHISADAL,WEST BENGAL,95346
S25273,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,AUSGRAM,WEST BENGAL,95157
S2577,SOHAM CHAKRABORTY,All India Trinamool Congress,KARIMPUR,WEST BENGAL,95049
S25126,ANANDA SARKAR,All India Trinamool Congress,HINGALGANJ,WEST BENGAL,94786
S25148,SAOKAT MOLLA,All India Trinamool Congress,BHANGAR,WEST BENGAL,94467
S25220,DULAL MURMU,All India Trinamool Congress,NAYAGRAM,WEST BENGAL,94433
S25268,SWAPAN DEBNATH,All India Trinamool Congress,PURBASTHALI DAKSHIN,WEST BENGAL,94342
S25236,SUJOY HAZRA,All India Trinamool Congress,MEDINIPUR,WEST BENGAL,94294
S25190,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,CHUNCHURA,WEST BENGAL,94269
S25200,BAG MITA,All India Trinamool Congress,ARAMBAG,WEST BENGAL,94041
S25231,SHYAMALI SARDAR,All India Trinamool Congress,GHATAL,WEST BENGAL,93893
S25180,PRAMANSHU RANA,Bharatiya Janata Party,BAGNAN,WEST BENGAL,93744
S25118,ANINDYA BANERJEE,Bharatiya Janata Party,MADHYAMGRAM,WEST BENGAL,93596
S25182,PROBHAKAR PANDIT,Bharatiya Janata Party,UDAYNARAYANPUR,WEST BENGAL,93575
S2544,PRASENJIT DAS,All India Trinamool Congress,GAZOLE,WEST BENGAL,93349
S25243,SANDHYA RANI TUDU,All India Trinamool Congress,MANBAZAR,WEST BENGAL,93204
S25147,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,SONARPUR DAKSHIN,WEST BENGAL,93188
S2518,SWAPNA BARMAN,All India Trinamool Congress,RAJGANJ,WEST BENGAL,93180
S25235,SUVENDU SAMANTA,Bharatiya Janata Party,KESHPUR,WEST BENGAL,93018
S25281,MOLOY GHATAK,All India Trinamool Congress,ASANSOL UTTAR,WEST BENGAL,92901
S25173,SHYAMAL KUMAR HATI,Bharatiya Janata Party,HOWRAH DAKSHIN,WEST BENGAL,92712
S25178,SWAMI MANGALANANDA PURI,Bharatiya Janata Party,ULUBERIA DAKSHIN,WEST BENGAL,92462
S25127,SUBRATA MONDAL,All India Trinamool Congress,GOSABA,WEST BENGAL,92392
S258,SAILENDRA NATH BARMA,All India Trinamool Congress,NATABARI,WEST BENGAL,92298
S25267,KONER SHANTANU,All India Trinamool Congress,BHATAR,WEST BENGAL,92292
S25202,PALASH KUMAR ROY,All India Trinamool Congress,KHANAKUL,WEST BENGAL,92246
S25256,HARAKALI PROTIHER,All India Trinamool Congress,KATULPUR,WEST BENGAL,91874
S25184,GOBINDA HAZRA,Bharatiya Janata Party,DOMJUR,WEST BENGAL,91859
S25135,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,MANDIRBAZAR,WEST BENGAL,91691
S2575,HUMAYUN KABIR,All India Trinamool Congress,DOMKAL,WEST BENGAL,91586
S25188,BECHARAM MANNA,All India Trinamool Congress,SINGUR,WEST BENGAL,91570
S25204,ASHIM KUMAR MAJI,All India Trinamool Congress,PANSKURA PURBA,WEST BENGAL,91361
S25272,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,MANGALKOT,WEST BENGAL,91297
S2542,DEBABRATA MAJUMDER,Bharatiya Janata Party,HARIRAMPUR,WEST BENGAL,91112
S2516,RAMMOHAN RAY,All India Trinamool Congress,MAYNAGURI,WEST BENGAL,90900
S25187,ARINDAM GUIN (BUBAI),All India Trinamool Congress,CHAMPDANI,WEST BENGAL,90678
S25153,SUBHASISH CHAKRABORTY,All India Trinamool Congress,BEHALA PURBA,WEST BENGAL,90365
S2510,RAJEEV TIRKEY,All India Trinamool Congress,KUMARGRAM,WEST BENGAL,90167
S25284,NARESH CHANDRA BAURI,All India Trinamool Congress,DUBRAJPUR,WEST BENGAL,89790
S25123,JHARNA SARDAR,All India Trinamool Congress,SANDESHKHALI,WEST BENGAL,89679
S251,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,MEKLIGANJ,WEST BENGAL,89525
S25137,TUMPA SARDAR,Bharatiya Janata Party,BARUIPUR PURBA,WEST BENGAL,89172
S25177,BIMAL KUMAR DAS,All India Trinamool Congress,ULUBERIA UTTAR,WEST BENGAL,89143
S25262,BHUTNATH MALIK,All India Trinamool Congress,JAMALPUR,WEST BENGAL,88758
S25174,BARNALI DHALI NASKAR,Bharatiya Janata Party,SANKRAIL,WEST BENGAL,88672
S25154,RATNA CHATTERJEE,All India Trinamool Congress,BEHALA PASCHIM,WEST BENGAL,88472
S2537,REKHA ROY,All India Trinamool Congress,KUSHMANDI,WEST BENGAL,88374
S2513,SUBHASH CHANDRA ROY,All India Trinamool Congress,FALAKATA,WEST BENGAL,88371
S25143,DIPAK KUMAR HALDER,Bharatiya Janata Party,DIAMOND HARBOUR,WEST BENGAL,88054
S25221,AJIT MAHATA,All India Trinamool Congress,GOPIBALLAVPUR,WEST BENGAL,88008
S25291,ASISH BANERJEE,All India Trinamool Congress,RAMPURHAT,WEST BENGAL,87687
S25119,SABYASACHI DUTTA,All India Trinamool Congress,BARASAT,WEST BENGAL,87613
S25233,UTTARA SINGHA (HAZRA),All India Trinamool Congress,GARBETA,WEST BENGAL,87527
S25194,DEBASISH MUKHERJEE,Bharatiya Janata Party,CHANDITALA,WEST BENGAL,87480
S25101,NARAYAN GOSWAMI,All India Trinamool Congress,ASHOKNAGAR,WEST BENGAL,87399
S2584,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,NABADWIP,WEST BENGAL,87187
S25129,MADHABI MAHALDER,Bharatiya Janata Party,KULTALI,WEST BENGAL,87159
S25270,RABINDRANATH CHATTERJEE,All India Trinamool Congress,KATWA,WEST BENGAL,86954
S25140,BISWAJIT PAUL,Bharatiya Janata Party,BARUIPUR PASCHIM,WEST BENGAL,86919
S25216,TARUN KUMAR JANA,All India Trinamool Congress,KANTHI DAKSHIN,WEST BENGAL,86747
S2594,MADHUPARNA THAKUR,All India Trinamool Congress,BAGDA,WEST BENGAL,86691
S252,DR. SABLU BARMAN,All India Trinamool Congress,MATHABHANGA,WEST BENGAL,86250
S25258,KALLOL SAHA,All India Trinamool Congress,SONAMUKHI,WEST BENGAL,86139
S25290,ABHIJIT ROY,All India Trinamool Congress,MAYURESWAR,WEST BENGAL,86054
S25198,RAMENDU SINHARAY,All India Trinamool Congress,TARAKESWAR,WEST BENGAL,85902
S2593,DR. RAJIB BISWAS.,All India Trinamool Congress,HARINGHATA,WEST BENGAL,85845
S25229,RAJIB BANERJEE,All India Trinamool Congress,DEBRA,WEST BENGAL,85662
S25175,RANJAN PAUL,Bharatiya Janata Party,PANCHLA,WEST BENGAL,85647
S25199,PARTHA HAZARI,All India Trinamool Congress,PURSURAH,WEST BENGAL,85368
S25244,SOUMEN BELTHARIA,All India Trinamool Congress,KASHIPUR,WEST BENGAL,85295
S254,AVIJIT DE BHOWMIK,All India Trinamool Congress,COOCHBEHAR DAKSHIN,WEST BENGAL,85198
S253,PARTHA PRATIM RAY,All India Trinamool Congress,COOCHBEHAR UTTAR,WEST BENGAL,84943
S25201,DR. NIRMAL MAJI,All India Trinamool Congress,GOGHAT,WEST BENGAL,84916
S25237,BIRBAHA HANSDA,All India Trinamool Congress,BINPUR,WEST BENGAL,84261
S25253,GOUTAM MISHRA (SHYAM),All India Trinamool Congress,BARJORA,WEST BENGAL,84109
S25155,TAMANATH BHOWMICK,Bharatiya Janata Party,MAHESHTALA,WEST BENGAL,83898
S2578,DILIP KUMAR PODDAR,All India Trinamool Congress,TEHATTA,WEST BENGAL,83885
S25176,RUDRA PROSAD BANERJEE,Bharatiya Janata Party,ULUBERIA PURBA,WEST BENGAL,83795
S25191,RANJAN DHARA,All India Trinamool Congress,BALAGARH,WEST BENGAL,83710
S25246,HAZARI BOURI,All India Trinamool Congress,RAGHUNATHPUR,WEST BENGAL,83569
S25271,SEKH SAHONAWEZ,All India Trinamool Congress,KETUGRAM,WEST BENGAL,83494
S25239,SHANTIRAM MAHATO,All India Trinamool Congress,BALARAMPUR,WEST BENGAL,83370
S25120,MD MOFIDUL HOQUE SAHAJI MINTU,All India Secular Front,DEGANGA,WEST BENGAL,83296
S2581,KALLOL KHAN,All India Trinamool Congress,NAKASHIPARA,WEST BENGAL,83273
S25209,TAPASI MONDAL,All India Trinamool Congress,HALDIA,WEST BENGAL,83121
S25247,UTTAM BAURI,All India Trinamool Congress,SALTORA,WEST BENGAL,83045
S2564,SHAONI SINGHA ROY,All India Trinamool Congress,MURSHIDABAD,WEST BENGAL,82922
S25252,DR. ANUP MANDAL,All India Trinamool Congress,BANKURA,WEST BENGAL,82815
S25222,MONGAL SAREN,All India Trinamool Congress,JHARGRAM,WEST BENGAL,82730
S25250,THAKURMANI SAREN,All India Trinamool Congress,RAIPUR,WEST BENGAL,82701
S25241,ARJUN MAHATO,All India Trinamool Congress,JOYPUR,WEST BENGAL,82450
S25152,AROOP BISWAS,All India Trinamool Congress,TOLLYGANJ,WEST BENGAL,82394
S25264,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,KALNA,WEST BENGAL,82160
S2534,NITAI BAISHYA,All India Trinamool Congress,KALIAGANJ,WEST BENGAL,81924
S25136,ALOKE HALDER,Bharatiya Janata Party,JAYNAGAR,WEST BENGAL,81844
S25263,CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,MONTESWAR,WEST BENGAL,81761
S2596,RITUPARNA ADDHYA,All India Trinamool Congress,BANGAON DAKSHIN,WEST BENGAL,81585
S25269,VASUNDHARA GOSWAMI,All India Trinamool Congress,PURBASTHALI UTTAR,WEST BENGAL,81153
S25133,ABANI NASKAR,Bharatiya Janata Party,KULPI,WEST BENGAL,80883
S2558,JAKIR HOSSAIN,All India Trinamool Congress,JANGIPUR,WEST BENGAL,80659
S25255,TANMAY GHOSH (BUMBA),All India Trinamool Congress,BISHNUPUR,WEST BENGAL,80477
