constituency_code,constituency,state,total_votes
S255,SITALKUCHI,WEST BENGAL,279822
S25218,EGRA,WEST BENGAL,269373
S257,DINHATA,WEST BENGAL,267925
S25148,BHANGAR,WEST BENGAL,267394
S25234,SALBONI,WEST BENGAL,266475
S25238,BANDWAN,WEST BENGAL,266178
S256,SITAI,WEST BENGAL,265319
S25232,CHANDRAKONA,WEST BENGAL,264690
S25205,PANSKURA PASCHIM,WEST BENGAL,258432
S2534,KALIAGANJ,WEST BENGAL,258225
S25132,SAGAR,WEST BENGAL,258107
S2575,DOMKAL,WEST BENGAL,257790
S25134,RAIDIGHI,WEST BENGAL,257773
S25226,SABANG,WEST BENGAL,257340
S25203,TAMLUK,WEST BENGAL,256930
S25151,SONARPUR UTTAR,WEST BENGAL,256444
S25190,CHUNCHURA,WEST BENGAL,255204
S25184,DOMJUR,WEST BENGAL,254187
S253,COOCHBEHAR UTTAR,WEST BENGAL,254175
S25235,KESHPUR,WEST BENGAL,253963
S25129,KULTALI,WEST BENGAL,253551
S2576,JALANGI,WEST BENGAL,253306
S25287,NANOOR,WEST BENGAL,253119
S25210,NANDIGRAM,WEST BENGAL,252722
S25115,RAJARHAT NEW TOWN,WEST BENGAL,252560
S25183,JAGATBALLAVPUR,WEST BENGAL,252515
S25230,DASPUR,WEST BENGAL,252047
S2519,DABGRAM-FULBARI,WEST BENGAL,251889
S2516,MAYNAGURI,WEST BENGAL,251447
S2525,MATIGARA-NAXALBARI,WEST BENGAL,250985
S25146,BISHNUPUR,WEST BENGAL,250592
S25124,BASIRHAT DAKSHIN,WEST BENGAL,250535
S25213,KANTHI UTTAR,WEST BENGAL,249421
S25207,NANDAKUMAR,WEST BENGAL,249316
S2515,DHUPGURI,WEST BENGAL,248496
S25266,BARDHAMAN UTTAR,WEST BENGAL,247932
S25197,DHANEKHALI,WEST BENGAL,247691
S25214,BHAGABANPUR,WEST BENGAL,247653
S2510,KUMARGRAM,WEST BENGAL,246827
S25147,SONARPUR DAKSHIN,WEST BENGAL,246393
S25286,BOLPUR,WEST BENGAL,246339
S25206,MOYNA,WEST BENGAL,246333
S25254,ONDA,WEST BENGAL,246292
S25130,PATHARPRATIMA,WEST BENGAL,246059
S25196,HARIPAL,WEST BENGAL,245994
S25217,RAMNAGAR,WEST BENGAL,244842
S25179,SHYAMPUR,WEST BENGAL,244669
S25236,MEDINIPUR,WEST BENGAL,244086
S2544,GAZOLE,WEST BENGAL,243885
S25294,MURARAI,WEST BENGAL,242939
S25227,PINGLA,WEST BENGAL,242754
S25231,GHATAL,WEST BENGAL,242025
S25211,CHANDIPUR,WEST BENGAL,241957
S252,MATHABHANGA,WEST BENGAL,241845
S25139,CANNING PURBA,WEST BENGAL,241664
S25149,KASBA,WEST BENGAL,241206
S25289,SAINTHIA,WEST BENGAL,241175
S25199,PURSURAH,WEST BENGAL,240924
S2577,KARIMPUR,WEST BENGAL,240916
S25256,KATULPUR,WEST BENGAL,240253
S25270,KATWA,WEST BENGAL,239536
S25209,HALDIA,WEST BENGAL,239446
S2533,HEMTABAD,WEST BENGAL,239372
S25145,SATGACHHIA,WEST BENGAL,239370
S25252,BANKURA,WEST BENGAL,239331
S2570,REJINAGAR,WEST BENGAL,239295
S25154,BEHALA PASCHIM,WEST BENGAL,238796
S25125,BASIRHAT UTTAR,WEST BENGAL,238563
S25285,SURI,WEST BENGAL,238504
S25208,MAHISADAL,WEST BENGAL,238188
S2517,JALPAIGURI,WEST BENGAL,237856
S2564,MURSHIDABAD,WEST BENGAL,237534
S25121,HAROA,WEST BENGAL,237469
S25137,BARUIPUR PURBA,WEST BENGAL,237319
S2563,RANINAGAR,WEST BENGAL,237202
S25202,KHANAKUL,WEST BENGAL,237135
S25181,AMTA,WEST BENGAL,237001
S25249,RANIBANDH,WEST BENGAL,236828
S25119,BARASAT,WEST BENGAL,236603
S25243,MANBAZAR,WEST BENGAL,236467
S25215,KHEJURI,WEST BENGAL,236328
S2513,FALAKATA,WEST BENGAL,235953
S25200,ARAMBAG,WEST BENGAL,235875
S25253,BARJORA,WEST BENGAL,235362
S2573,HARIHARPARA,WEST BENGAL,235296
S25175,PANCHLA,WEST BENGAL,235163
S25153,BEHALA PURBA,WEST BENGAL,234687
S2551,ENGLISH BAZAR,WEST BENGAL,234560
S25246,RAGHUNATHPUR,WEST BENGAL,234431
S2545,CHANCHAL,WEST BENGAL,234409
S25201,GOGHAT,WEST BENGAL,234321
S25291,RAMPURHAT,WEST BENGAL,233723
S25192,PANDUA,WEST BENGAL,233718
S2578,TEHATTA,WEST BENGAL,233588
S25120,DEGANGA,WEST BENGAL,233473
S25261,RAINA,WEST BENGAL,233245
S25241,JOYPUR,WEST BENGAL,233203
S2548,RATUA,WEST BENGAL,233138
S25118,MADHYAMGRAM,WEST BENGAL,232916
S258,NATABARI,WEST BENGAL,232716
S2590,RANAGHAT DAKSHIN,WEST BENGAL,232685
S2588,KRISHNAGANJ,WEST BENGAL,232467
S2512,ALIPURDUARS,WEST BENGAL,232466
S25257,INDUS,WEST BENGAL,232394
S25274,GALSI,WEST BENGAL,232345
S25195,JANGIPARA,WEST BENGAL,232291
S25143,DIAMOND HARBOUR,WEST BENGAL,232238
S25212,PATASHPUR,WEST BENGAL,232048
S25128,BASANTI,WEST BENGAL,231860
S25131,KAKDWIP,WEST BENGAL,231303
S25150,JADAVPUR,WEST BENGAL,231075
S259,TUFANGANJ,WEST BENGAL,230829
S25138,CANNING PASCHIM,WEST BENGAL,230686
S25242,PURULIA,WEST BENGAL,230653
S25240,BAGHMUNDI,WEST BENGAL,230137
S25155,MAHESHTALA,WEST BENGAL,229791
S25174,SANKRAIL,WEST BENGAL,229210
S2571,BELDANGA,WEST BENGAL,228591
S2543,HABIBPUR,WEST BENGAL,227613
S25265,MEMARI,WEST BENGAL,227492
S25194,CHANDITALA,WEST BENGAL,227472
S2599,BADURIA,WEST BENGAL,227365
S2553,SUJAPUR,WEST BENGAL,227125
S2546,HARISCHANDRAPUR,WEST BENGAL,227099
S25292,HANSAN,WEST BENGAL,226555
S25178,ULUBERIA DAKSHIN,WEST BENGAL,226271
S25191,BALAGARH,WEST BENGAL,226031
S25273,AUSGRAM,WEST BENGAL,225886
S25225,NARAYANGARH,WEST BENGAL,225543
S2549,MANIKCHAK,WEST BENGAL,225363
S25269,PURBASTHALI UTTAR,WEST BENGAL,224880
S2554,BAISNABNAGAR,WEST BENGAL,224839
S2520,MAL,WEST BENGAL,224453
S2518,RAJGANJ,WEST BENGAL,224379
S2572,BAHARAMPUR,WEST BENGAL,224268
S25223,KESHIARY,WEST BENGAL,223842
S25110,DUM DUM UTTAR,WEST BENGAL,223349
S25259,KHANDAGHOSH,WEST BENGAL,223246
S25288,LABPUR,WEST BENGAL,223002
S25188,SINGUR,WEST BENGAL,222573
S25293,NALHATI,WEST BENGAL,222519
S25141,MAGRAHAT PURBA,WEST BENGAL,222178
S25173,HOWRAH DAKSHIN,WEST BENGAL,222054
S25233,GARBETA,WEST BENGAL,222049
S25248,CHHATNA,WEST BENGAL,221957
S25258,SONAMUKHI,WEST BENGAL,221852
S2574,NOWDA,WEST BENGAL,221600
S2565,NABAGRAM,WEST BENGAL,221580
S25198,TARAKESWAR,WEST BENGAL,221578
S25140,BARUIPUR PASCHIM,WEST BENGAL,221031
S25222,JHARGRAM,WEST BENGAL,220940
S2557,SUTI,WEST BENGAL,220852
S2550,MALDAHA,WEST BENGAL,220797
S25204,PANSKURA PURBA,WEST BENGAL,220737
S25284,DUBRAJPUR,WEST BENGAL,220193
S25268,PURBASTHALI DAKSHIN,WEST BENGAL,220056
S2532,KARANDIGHI,WEST BENGAL,219973
S25239,BALARAMPUR,WEST BENGAL,219946
S25251,TALDANGRA,WEST BENGAL,219936
S25101,ASHOKNAGAR,WEST BENGAL,219757
S25272,MANGALKOT,WEST BENGAL,219247
S25271,KETUGRAM,WEST BENGAL,219183
S25136,JAYNAGAR,WEST BENGAL,219107
S2580,KALIGANJ,WEST BENGAL,219023
S251,MEKLIGANJ,WEST BENGAL,218859
S25247,SALTORA,WEST BENGAL,218491
S25180,BAGNAN,WEST BENGAL,218406
S25219,DANTAN,WEST BENGAL,218374
S2562,BHAGAWANGOLA,WEST BENGAL,218216
S2584,NABADWIP,WEST BENGAL,218181
S2598,SWARUPNAGAR,WEST BENGAL,218120
S25156,BUDGE BUDGE,WEST BENGAL,218093
S25229,DEBRA,WEST BENGAL,217323
S2594,BAGDA,WEST BENGAL,217223
S2587,RANAGHAT UTTAR PASCHIM,WEST BENGAL,217135
S25277,DURGAPUR PASCHIM,WEST BENGAL,216774
S25123,SANDESHKHALI,WEST BENGAL,216180
S25245,PARA,WEST BENGAL,215946
S25122,MINAKHAN,WEST BENGAL,215848
S25280,ASANSOL DAKSHIN,WEST BENGAL,215792
S2592,KALYANI,WEST BENGAL,215506
S2586,SANTIPUR,WEST BENGAL,214973
S25276,DURGAPUR PURBA,WEST BENGAL,214802
S25262,JAMALPUR,WEST BENGAL,214774
S25267,BHATAR,WEST BENGAL,214694
S2579,PALASHIPARA,WEST BENGAL,214650
S2569,BHARATPUR,WEST BENGAL,214424
S25182,UDAYNARAYANPUR,WEST BENGAL,213603
S25102,AMDANGA,WEST BENGAL,213502
S25290,MAYURESWAR,WEST BENGAL,213473
S25221,GOPIBALLAVPUR,WEST BENGAL,213383
S25264,KALNA,WEST BENGAL,213233
S25135,MANDIRBAZAR,WEST BENGAL,213229
S25216,KANTHI DAKSHIN,WEST BENGAL,212835
S2593,HARINGHATA,WEST BENGAL,212756
S2558,JANGIPUR,WEST BENGAL,212606
S2596,BANGAON DAKSHIN,WEST BENGAL,212191
S25244,KASHIPUR,WEST BENGAL,211974
S2589,RANAGHAT UTTAR PURBA,WEST BENGAL,211396
S2595,BANGAON UTTAR,WEST BENGAL,211344
S25127,GOSABA,WEST BENGAL,211328
S2528,CHOPRA,WEST BENGAL,211163
S2582,CHAPRA,WEST BENGAL,210762
S2591,CHAKDAHA,WEST BENGAL,210720
S25281,ASANSOL UTTAR,WEST BENGAL,210607
S25250,RAIPUR,WEST BENGAL,210215
S2597,GAIGHATA,WEST BENGAL,209201
S25228,KHARAGPUR,WEST BENGAL,208560
S25237,BINPUR,WEST BENGAL,208079
S25176,ULUBERIA PURBA,WEST BENGAL,208025
S2527,PHANSIDEWA,WEST BENGAL,207732
S25220,NAYAGRAM,WEST BENGAL,207713
S25133,KULPI,WEST BENGAL,207706
S2560,SAGARDIGHI,WEST BENGAL,207660
S25255,BISHNUPUR,WEST BENGAL,207478
S25126,HINGALGANJ,WEST BENGAL,207071
S2581,NAKASHIPARA,WEST BENGAL,205920
