candidate,party,constituency,vote_share
BHARAT KUMAR JHAWAR,Bharatiya Janata Party,BELDANGA,31.87877038028618799500
JULFIKAR ALI,Indian National Congress,RANINAGAR,33.48327585770777649400
NIAMOT SHEIKH,All India Trinamool Congress,HARIHARPARA,34.14337685298517611900
BABAR ALI,All India Trinamool Congress,JALANGI,35.01061956684800202100
DILIP SAHA,Bharatiya Janata Party,NABAGRAM,35.53524686343532809800
NOMAN RAI,Bharatiya Janata Party,DARJEELING,35.71547751241319394500
MOTAB SHAIKH,Indian National Congress,FARAKKA,36.06133572788991140500
GARGI DAS GHOSH,Bharatiya Janata Party,KANDI,36.77679735285270229600
EMANI BISWAS,All India Trinamool Congress,SUTI,36.82556644268559940600
ABDUL AZIZ DOCTOR,All India Trinamool Congress,LALGOLA,37.71722901530246937600
MITALI MAL,Bharatiya Janata Party,KHARGRAM,38.02285831658328320500
MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,AMDANGA,38.25256906258489381800
HUMAYUN KABIR,Aam Janata Unnayan party,NOWDA,39.01759927797833935000
DIPANJAN CHAKRABORTY,Bharatiya Janata Party,UTTARPARA,39.23603337000009734500
RAJENDRA PRASAD SINGH(RAJU SINGH),All India Trinamool Congress,NALHATI,39.43213837919458563100
MOHAMMED NOOR ALAM,All India Trinamool Congress,SAMSERGANJ,39.83658238435308499000
DR. MOSARRAF HOSSAIN,All India Trinamool Congress,MURARAI,39.88737913632640292400
ISLAM MD NAJRUL,All India Trinamool Congress,MOTHABARI,40.51412645364969354700
SUBRATA MAITRA (KANCHAN),Bharatiya Janata Party,BAHARAMPUR,40.61569194000035671600
ALIFA AHMED,All India Trinamool Congress,KALIGANJ,40.76832113522324139500
SONAM LAMA,Bharatiya Janata Party,KURSEONG,41.17954386717482525200
RATHIN GHOSH,All India Trinamool Congress,MADHYAMGRAM,41.21442923629119510900
RUKBANUR RAHMAN,All India Trinamool Congress,PALASHIPARA,41.57512229210342417900
MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),DOMKAL,41.84879165211994258900
PIYUSH KANODIA,Bharatiya Janata Party,RAJARHAT NEW TOWN,42.19353816914792524500
MUSTAFIJUR RAHAMAN (SUMAN),All India Trinamool Congress,BHARATPUR,42.37865164347274558800
USHA RANI MONDAL,All India Trinamool Congress,MINAKHAN,42.65918609391794225600
CHITTA MUKHERJEE,Bharatiya Janata Party,JANGIPUR,42.89671975391099028200
PAPIA ADHIKARY,Bharatiya Janata Party,TOLLYGANJ,42.98675976485575777600
ANISUR RAHAMAN BIDESH,All India Trinamool Congress,DEGANGA,43.30864810920320551000
TUSAR KUMAR MAJUMDAR,Bharatiya Janata Party,PANDUA,43.36379739686288604200
BINA MONDAL,All India Trinamool Congress,SWARUPNAGAR,43.46827434439757931400
SAMARENDRANATH GHOSH,Bharatiya Janata Party,KARIMPUR,43.68078500390177489200
MADAN MITRA,All India Trinamool Congress,KAMARHATI,43.71492931908924139400
BAYRON BISWAS,All India Trinamool Congress,SAGARDIGHI,43.71617066358470576900
BIRAJ BISWAS,Bharatiya Janata Party,KARANDIGHI,43.75991598968964372900
JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,MANDIRBAZAR,43.93680034141697423900
BARNALI DHARA,All India Trinamool Congress,KULPI,43.93999210422424003200
DR. SUMAY HIRA,Bharatiya Janata Party,ASHOKNAGAR,44.05183907679846375800
PROSENJIT BAG,Bharatiya Janata Party,JANGIPARA,44.08651217653718826800
AMIT SAMANTA,Bharatiya Janata Party,AMTA,44.15550989236332336200
SUBHASH PATRA,Bharatiya Janata Party,RAINA,44.36836802503805011900
BISWAJIT MAHATO,Bharatiya Janata Party,JOYPUR,44.88278452678567599900
SURAJIT MITRA (BADAL),All India Trinamool Congress,BASIRHAT DAKSHIN,45.08950845191290638000
NANDITA CHOWDHURY,All India Trinamool Congress,HOWRAH DAKSHIN,45.27727489709710250700
AZAD MINHAJUL ARFIN,All India Trinamool Congress,CHAKULIA,45.33684871311989956100
RITESH TIWARI,Bharatiya Janata Party,KASHIPUR-BELGACHHIA,45.41456869179365227000
BURHANUL MUKADDIM (LITON),All India Trinamool Congress,BADURIA,45.44850790579024915900
NISITH KUMAR MALIK,All India Trinamool Congress,BARDHAMAN UTTAR,45.45117209557459303400
FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,HANSAN,45.56200481119374986200
BIPLAB MITRA,All India Trinamool Congress,HARIRAMPUR,45.61972617775904818800
AKHRUZZAMAN,All India Trinamool Congress,RAGHUNATHGANJ,45.64937232048879418800
ANUPAM GHOSH,Bharatiya Janata Party,JAGATBALLAVPUR,45.78262677464705067000
SAMAR MUKHERJEE,All India Trinamool Congress,RATUA,45.82436153694378436800
DILIP SINGH,Bharatiya Janata Party,CHAMPDANI,45.84008022894601668200
CHIRAN BERA,Bharatiya Janata Party,ULUBERIA UTTAR,45.86515683209971199100
SARBORI MUKHERJEE,Bharatiya Janata Party,JADAVPUR,45.95867142702585740600
BHASKAR BHATTACHARYA,Bharatiya Janata Party,SREERAMPUR,45.97175477865988180200
RITABRATA BANERJEE,All India Trinamool Congress,ULUBERIA PURBA,45.97187838000240355700
PRIYA PAUL,All India Trinamool Congress,SANKRAIL,45.98926748396666812100
KARFA SOUMEN,Bharatiya Janata Party,BHATAR,46.02830074431516483900
JEBER SEKH,All India Trinamool Congress,CHAPRA,46.06380656854651218000
MADHUMITA GHOSH,Bharatiya Janata Party,HARIPAL,46.07104238314755644400
JITENDRA KUMAR TEWARI,Bharatiya Janata Party,PANDABESWAR,46.07640001831585695300
Deepanjan Kumar Guha,Bharatiya Janata Party,CHANDANNAGAR,46.15775591330540530400
TAPAS MONDAL S/O-SHIBPRASAD MONDAL,All India Trinamool Congress,RAIDIGHI,46.16115729731197604100
SOURAV SIKDAR,Bharatiya Janata Party,DUM DUM UTTAR,46.24332322956449323700
AGNISWAR NASKAR,Bharatiya Janata Party,SATGACHHIA,46.38133433596524209400
ARUN HALDER,Bharatiya Janata Party,JAMALPUR,46.53077188114017525400
CHANDRANATH SINHA,All India Trinamool Congress,BOLPUR,46.64912985763521001500
NABIN CHANDRA BAG,All India Trinamool Congress,KHANDAGHOSH,46.66735350241437696500
DEBASISH DHAR,Bharatiya Janata Party,SONARPUR UTTAR,46.72521096223736956200
MANAB GUHA,Bharatiya Janata Party,MEMARI,46.78318358447769591900
NIRMAL KUMAR DHARA,Bharatiya Janata Party,INDUS,46.78821312082067523300
SWATI KHANDOKER,All India Trinamool Congress,CHANDITALA,47.10162129844552296500
DINEN ROY,All India Trinamool Congress,KHARAGPUR,47.14230916762562332200
DIPANKAR JANA,Bharatiya Janata Party,KAKDWIP,47.28559508523451922400
SAIKAT PANJA,Bharatiya Janata Party,MONTESWAR,47.29459015991967281400
MD NAWSAD SIDDIQUE,All India Secular Front,BHANGAR,47.32903505688235338100
BIDHAN CHANDRA MAJHI,All India Trinamool Congress,NANOOR,47.37297476680928733100
DR. INDRANIL KHAN,Bharatiya Janata Party,BEHALA PASCHIM,47.39233487998123921700
BIMAN BANERJEE,All India Trinamool Congress,BARUIPUR PASCHIM,47.40556754482402920900
SHISHIR GHOSH,Bharatiya Janata Party,MANGALKOT,47.44420676223619935500
SAMIR KUMAR JANA,All India Trinamool Congress,PATHARPRATIMA,47.61622212558776553600
TORAF HOSSAIN MANDAL,All India Trinamool Congress,KUMARGANJ,47.61688397586688828900
RAJU PATRA,Bharatiya Janata Party,GALSI,47.61884266930641933300
KALITA MAJI,Bharatiya Janata Party,AUSGRAM,47.67537607465712793200
KRISHNA KANTA SAHA,Bharatiya Janata Party,SAINTHIA,47.70560796102415258600
DEBASIS OJHA (HAKU DA),Bharatiya Janata Party,LABPUR,47.71347342176303351500
DHRUBA SAHA,Bharatiya Janata Party,RAMPURHAT,47.88574509141162829500
SUBRATA KABIRAJ,Bharatiya Janata Party,TEHATTA,48.00674692193092110900
MOSARAF HUSSEN,All India Trinamool Congress,ITAHAR,48.08605057822579460100
ARUNAVA SEN,All India Trinamool Congress,BAGNAN,48.10307409137111617800
GOURI SANKAR GHOSH,Bharatiya Janata Party,MURSHIDABAD,48.17962902152954945400
SAJAL GHOSH,Bharatiya Janata Party,BARANAGAR,48.26185288195244084600
HARIPADA BARMAN,Bharatiya Janata Party,HEMTABAD,48.26337249135237204000
SANGITA ROY,All India Trinamool Congress,SITAI,48.31467026485099069400
RAJU KARMAKAR,Bharatiya Janata Party,BAISNABNAGAR,48.34214704744283687400
ARJUN SINGH,Bharatiya Janata Party,NOAPARA,48.37403997397234305300
REKHA PATRA,Bharatiya Janata Party,HINGALGANJ,48.39258032269125082700
MD. TAUSEFFUR RAHMAN,All India Trinamool Congress,BASIRHAT UTTAR,48.41614164811810716700
PULAK ROY,All India Trinamool Congress,ULUBERIA DAKSHIN,48.45914854311864976100
SUKHEN KUMAR BAGDI,Bharatiya Janata Party,BURWAN,48.51919096746190125800
AMIYA KISKU,Bharatiya Janata Party,NAYAGRAM,48.55594016744257701700
REYAT HOSSAIN SARKAR,All India Trinamool Congress,BHAGAWANGOLA,48.57434835209150566400
SARMISTHA PURKAIT,All India Trinamool Congress,MAGRAHAT PURBA,48.79511022693516009700
TAPAS CHANDRA ROY,Bharatiya Janata Party,KUSHMANDI,48.83423714202660304900
SANTANU DEY,Bharatiya Janata Party,NAKASHIPARA,48.85392385392385392400
GOUR CHANDRA MANDAL,Bharatiya Janata Party,MANIKCHAK,48.86250183038031975100
AHMED JAVED KHAN,All India Trinamool Congress,KASBA,48.87647902622654494500
SANJAY KUMAR SINGH,Bharatiya Janata Party,BALLY,48.91376296271151920400
RAHIDAS MAHATO,Bharatiya Janata Party,BAGHMUNDI,48.95475303840755723800
SUMITRO CHATTERJEE,Bharatiya Janata Party,NAIHATI,49.14501725187741018900
SANKAR SIKDER,Bharatiya Janata Party,BEHALA PURBA,49.21533787555339665200
BISWANATH DAS,All India Trinamool Congress,JAYNAGAR,49.37952689781704829100
RUDRANIL GHOSH,Bharatiya Janata Party,SHIBPUR,49.42285314052822863100
VIJAY OJHA,Bharatiya Janata Party,JORASANKO,49.48009770980935356200
SUBRATA MAITY(RANA),Bharatiya Janata Party,PANSKURA PURBA,49.49963078233372746800
SUMANTA MANDAL,Bharatiya Janata Party,SAGAR,49.51512357278183079100
ABDUL MATIN MUHAMMAD,All India Trinamool Congress,HAROA,49.51846346259932875400
GOPAL CHATTOPADHYAY,Bharatiya Janata Party,PURBASTHALI UTTAR,49.52819281394521522600
SAMIR KUMAR PANJA,All India Trinamool Congress,UDAYNARAYANPUR,49.53207586035776651100
ARIJIT ROY,Bharatiya Janata Party,BARABANI,49.53582261947170137200
SUDIPTA DAS,Bharatiya Janata Party,BIJPUR,49.55551260991400135300
PARTHA GHOSH,Bharatiya Janata Party,RANIGANJ,49.57960953563648948500
SANAT SARDAR,Bharatiya Janata Party,SANDESHKHALI,49.58321768896290128600
ARUP ROY,All India Trinamool Congress,HOWRAH MADHYA,49.59603843708486035800
KRISHNENDU MUKHERJEE,Bharatiya Janata Party,ASANSOL UTTAR,49.62608080453166324000
DR. BIJAN MUKHERJEE,Bharatiya Janata Party,JAMURIA,49.64371069528728922800
AMAL KUMAR PANDA,Bharatiya Janata Party,SABANG,49.65531981036760705700
SABINA YEASMIN,All India Trinamool Congress,SUJAPUR,49.66208035222894881700
BHARAT KUMAR CHETRI,Bharatiya Janata Party,KALIMPONG,49.73536232055087121000
KALYAN CHAKRABORTI,Bharatiya Janata Party,KHARDAHA,49.74529910180402534300
