candidate,constituency_count
HUMAYUN KABIR,3
SUBRATA DAS,3
ABDUR RAZZAK MOLLA,2
ABDUS SALAM,2
ABHIJIT HAZRA,2
ADHIKARI SUVENDU,2
ARINDAM GHOSH,2
ARUP KUMAR DAS,2
BABURAM KISKU,2
BAPAN GHOSH,2
BIKASH MANDAL,2
BISWAJIT DAS,2
DILIP GHOSH,2
HARIPADA BISWAS,2
MRINAL KANTI SAHA,2
NARAYAN DAS,2
RAFIKUL ISLAM,2
RAJIB CHATTERJEE,2
RAMKRISHNA MALIK (DEV),2
RATAN DAS,2
SANJIB ROY,2
SANKAR DEB MONDAL,2
SHARMISTHA DAS,2
SHEKH IMANUR RAHMAN,2
SUBHASIS DAS,2
SUBRATA MONDAL,2
TAPAS ROY,2
TAPAS SARDAR,2
UTTAM BARMAN,2
UTTAM KUMAR DAS,2
ABAI DULLAH,1
ABANIMOHAN ROY,1
ABANI NASKAR,1
ABDUL AHAD ALI SK,1
ABDUL ALIM SK,1
ABDUL ARIF,1
ABDUL AZIZ AL HASSAN,1
ABDUL AZIZ DOCTOR,1
ABDUL BARI,1
ABDUL HAI,1
ABDUL HANNAN,1
ABDUL HANNAN,1
ABDUL HANNAN SARDAR,1
ABDUL HANNAN SK,1
ABDUL KADER,1
ABDUL KADER DIN,1
ABDUL KHALEQUE,1
ABDUL KHALEQUE MOLLA,1
ABDULLAH KHAN SAHEB,1
ABDUL LATIF CHOUDHURY,1
ABDUL MAJID HALDER,1
ABDUL MALEQUE MOLLA,1
ABDUL MANNAN,1
ABDUL MATIN MUHAMMAD,1
ABDUL NAYEEM MOLLICK,1
ABDUL QADIR KHAN,1
ABDUL RAUF,1
ABDUL SAMAD GAZI,1
ABDUL SOUMIK HOSSAIN,1
ABDUR RAHIM BOXI,1
ABDUR RAHIM QUAZI,1
ABDUR RAHIM SHAIKH,1
ABDUR ROUF,1
ABHAY DAS,1
ABHIJIT BANERJEE,1
ABHIJIT DAS,1
ABHIJIT DEY,1
ABHIJIT GHATAK,1
ABHIJIT HALDER,1
ABHIJIT RAHA,1
ABHIJIT RAJAK,1
ABHIJIT ROY,1
ABHIJIT SAHA,1
ABHIJIT SARDAR,1
ABHIJIT SHOW,1
ABHIJIT SINGHA,1
ABHIJIT SINHA (RANA),1
ABHILASH KUMAR PASI,1
ABHIMANYU MONDAL,1
ABHIMANYU SHANDILYA,1
ABHISEK MONDAL,1
ABHOY BHOWMIK,1
ABINASH DAS,1
ABINASH HANSDA,1
ABISHEK SINGHANIA,1
ABJAL ALI SHA,1
ABKARI KUJUR,1
ABU ABBAS UDDIN SK.,1
ABU ESAHAK GAZI,1
ABU HENA MOSTAFA KAMAL,1
ABU KOWSAR MALEK ISMILE,1
ABUL HASNAT,1
ABUL KASEM SK,1
ABUL KASHEM,1
ABUL KASHIM,1
ABU SYEED KHANDOKER,1
ACHINTYA GHOSH,1
ADARSHA ROY,1
ADESH KHAMRUI,1
ADHIKARI DIBYENDU,1
ADHIKARI SANJOY,1
ADHIKARY PARESH CHANDRA,1
ADHIR CHANDRA BARMAN,1
ADHIR RANJAN CHOWDHURY,1
ADITI MUNSHI,1
ADITYA KUMAR BAURI,1
ADVOCATE  MOSTAHID HAQUE,1
ADWAITA BISWAS,1
ADWAITYA DAS,1
ADWAITYA JOTDAR,1
ADYANATH ROY,1
AFREEN BEGUM,1
AFSANA KHATOON,1
AGARWAL KANAIA LAL,1
AGNIMITRA PAUL,1
AGNISWAR NASKAR,1
AHAMADULLAH KHAN MD.,1
AHAMED ALAMGIR MIDDYA,1
AHIDUR RAHAMAN,1
AHMED ALI MOLLA,1
AHMED JAVED KHAN,1
AHMED SK. TASLIM,1
AJANTA SARKAR,1
AJARUL MOLLICK,1
AJAY CHOUHAN,1
AJAY GORAIN,1
AJAY KUMAR PASWAN,1
AJAY KUMAR PODDAR,1
AJAY RANO,1
AJAY RAY,1
AJAZ AHMED ANSARI,1
AJIJUL HOQUE,1
AJIJUL MALLIK,1
AJITESH PAHARI,1
AJIT KUMAR JANA,1
AJIT KUMAR KANANGO,1
AJIT MAHATA,1
AJIT MAHATO,1
AJIT MAITI,1
AJIT MAITY,1
AJIT RAY,1
AJOY DE,1
AJOY DOME,1
AJOY KUMAR SINHA,1
AJOY LUCAS EDWARDS,1
AKHILESH KUMAR SINGH,1
AKHIL GIRI,1
AKHRUZZAMAN,1
AKHTAR HUSSAIN MD,1
AKIK HASSAN,1
AKIYABUL MIDDYA,1
A. K. M HASANUJJAMAN,1
AKSHAY KHAN,1
AKSHOY KUMAR BARMAN,1
AKTAR SAMIM,1
ALAKESH BARMAN,1
ALAK KUMAR SAMAI,1
ALAM DEIYAN SEKH,1
ALAM MASUD,1
ALAM MOTTAKIN,1
ALDRIN LEPCHA,1
ALFAJUDDIN ALI NAYEK,1
ALFAJUDDIN BISWAS,1
ALI ARSHAF,1
ALIFA AHMED,1
ALI  HAZRAT (SOWDAGAR),1
ALI IMRAN RAMZ,1
ALI MD SABE MIRAJ KHAN,1
ALIM HOSSAIN MONDAL,1
ALI SIDDIQUE,1
ALOK CHATTERJEE,1
ALOK DALAPATI,1
ALOK DHARA,1
ALOKE HALDER,1
ALOKE KOLEY,1
ALOKE KUMAR BAURI,1
ALOKE KUMAR DAS,1
ALOK KUMAR MAJHI,1
ALOK KUMAR MANDAL,1
ALOK PAKHIRA,1
ALOK ROY,1
ALOK SEN,1
AMAJIT BASU,1
AMAL ACHARJEE,1
AMAL DHALI,1
AMAL KISKU,1
AMAL KUMAR BARMAN,1
AMAL KUMAR HUI,1
AMAL KUMAR PANDA,1
AMAL KUMAR RABIDAS,1
AMAL KUMAR SAHA,1
AMAL KUMAR SEN,1
AMAL SARKAR,1
AMARKANTA MANDAL,1
AMAR KUMAR DAS,1
AMAR LAMA,1
AMARNATH SHAKHA,1
AMBALIKA ROY,1
AMBAR MITRA,1
AMIR HOSSAIN SARDER,1
AMIRUL GAZI,1
AMIRUL ISLAM,1
AMIRUL ISLAM KHAN,1
AMITAVA BHATTACHARYA,1
AMITAVA NANDI,1
AMITAVA SARKAR,1
AMIT CHAKRABORTY,1
AMIT CHOMPRAMARI,1
AMIT DAS,1
AMIT DUTTA,1
AMIT GUPTA,1
AMIT KUMAR LAKRA,1
AMIT KUMAR SHAW,1
AMIT SAMANTA,1
AMIT SARKAR,1
AMIYA KISKU,1
AMJAD HOSSAIN SK,1
AMLAN BHADURI (BURO),1
AMLAN KRISHNA SARKAR,1
AMRITA BARMAN,1
AMULYA KUMAR SARDAR,1
AMULYA SAREN,1
ANADI GHOSH,1
ANAMIKA GHOSH,1
ANAMIKA ROY,1
ANANDA ANKURE,1
ANANDA BARAN HANDA,1
ANANDA BISWAS,1
ANANDA DAS BAGDI,1
ANANDA GHOSH,1
ANANDAMAY BARMAN,1
ANANDA MODAK,1
ANANDA SARKAR,1
ANANDA SINGHA,1
ANANDI TUDU,1
ANANTA BARMAN,1
ANANTA DEB ADHIKARY,1
ANANTA KISKU,1
ANANTA KUMAR ROY,1
ANANTA RAY,1
ANANYA NASKAR,1
ANARUL HAQUE SK,1
ANAS AHMED,1
ANAY SAHA,1
ANGSHUMAN ROY,1
ANIL BAURI,1
ANIL KUMAR PANDEY,1
ANIL KUMAR SINGH,1
ANIMA DUTTA,1
ANIMESH BARMAN,1
ANIMESH BISWAS,1
ANIMESH MAHATO,1
ANINDA BANERJEE,1
ANINDYA BANERJEE,1
ANINDYA RAY CHAUDHURY,1
ANIRBAN DAKUA,1
ANIRBAN SARKAR,1
ANIRUDDHA GAYEN,1
ANISUR RAHAMAN,1
ANISUR RAHAMAN BIDESH,1
ANITA JAISWAL,1
ANJAN CHIK BARAIK,1
ANJAN JANA,1
ANJAN KUMAR PATTANAYAK,1
ANJARUL HOQUE,1
ANJAY DEBSARMA,1
ANJU BEGAM,1
ANOWAR ALI,1
ANOWAR HOSSAIN MOLLA,1
ANOYAR HOSSAIN,1
ANSAR SEKH,1
ANSARUL HAQUE (KALU),1
ANSHAR ALI,1
ANSUMAN MITRA,1
ANUKUL PATRA,1
ANUMITA SHAW,1
ANUPAM BAGDI,1
ANUPAM BISWAS,1
ANUPAM BISWAS,1
ANUPAM GHOSH,1
ANUPAM GHOSH,1
ANUPAM MALIK,1
ANUPAM PANI,1
ANUP BHASKAR,1
ANUP BHATTACHARYA,1
ANUP KUMAR SAHA,1
ANUP KUMAR SAHA,1
ANUP KUMAR SINGHA,1
ANWARUL HOQUE,1
ANWARUL HOQUE,1
APARNA BOSE,1
APARNA GUHA,1
APU MALLICK,1
APURBA CHAKRABORTY,1
APURBA CHOWDHURY (ACHAL),1
APURBALAL BISWAS,1
APURBA PRAMANIK (APU),1
APURBA SARKAR (DAVID),1
AQUIB GULZAR,1
ARABINDA BAG,1
ARABINDA BISWAS,1
ARABUL ISLAM,1
ARAFAT SEKH,1
ARCHANA ANKUR (MONDAL),1
ARCHANA BHATTACHARJEE,1
ARCHANA BISWAS,1
ARGHYA GON,1
ARGHYA NASKAR,1
ARIJIT BAKSHI,1
ARIJIT NANDY,1
ARIJIT ROY,1
ARIKH AKHER,1
ARINDAM BHATTACHARYA,1
ARINDAM BISWAS,1
ARINDAM DEY,1
ARINDAM GUIN (BUBAI),1
ARJIT KALAM AZAD SK,1
ARJUN INDWAR,1
ARJUN KUMAR MAHATA,1
ARJUN MAHATO,1
ARJUN MANDAL,1
ARJUN MARDI,1
ARJUN SINGH,1
ARKAPRABHA CHOUDHURY,1
ARNAB CHOWDHURY,1
AROOP BISWAS,1
ARPITA GHOSH,1
ARUNAVA SEN,1
ARUN CHAND,1
ARUN DAS,1
ARUNDHUTI MAITRA(LOVELY),1
ARUN HALDER,1
ARUN JANA,1
ARUN KARAN,1
ARUN KUMAR BARMA,1
ARUP BANERJEE,1
ARUP CHOUDHURY (PULAK),1
ARUP DAS,1
ARUP MANDAL,1
ARUP MUKHERJEE,1
ARUP ROY,1
ASADUL,1
ASADUL SK,1
ASAMAY MANDAL,1
ASGAR ALI,1
ASGAR ALI,1
ASHADUL RAHAMAN SK,1
ASHIK MAHAMMAD KHAN,1
ASHIKUL ISLAM,1
ASHIM BISWAS,1
ASHIM CHAKRABORTY,1
ASHIM KUMAR BISWAS,1
