constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
RAJARHAT NEW TOWN,S25115,106248,Bharatiya Janata Party,106564,316
SATGACHHIA,S25145,110622,Bharatiya Janata Party,111023,401
RAINA,S25261,102653,Bharatiya Janata Party,103487,834
JANGIPARA,S25195,101547,Bharatiya Janata Party,102409,862
INDUS,S25257,107833,Bharatiya Janata Party,108733,900
PANDABESWAR,S25275,79103,Bharatiya Janata Party,80501,1398
KASHIPUR-BELGACHHIA,S25168,66717,Bharatiya Janata Party,68368,1651
RANINAGAR,S2563,76722,Indian National Congress,79423,2701
CHAMPDANI,S25187,90678,Bharatiya Janata Party,93704,3026
HARIPAL,S25196,109844,Bharatiya Janata Party,113332,3488
LABPUR,S25288,102852,Bharatiya Janata Party,106402,3550
ULUBERIA UTTAR,S25177,89143,Bharatiya Janata Party,93320,4177
AMTA,S25181,100195,Bharatiya Janata Party,104649,4454
KAKDWIP,S25131,104613,Bharatiya Janata Party,109373,4760
PANDUA,S25192,96121,Bharatiya Janata Party,101349,5228
HINGALGANJ,S25126,94786,Bharatiya Janata Party,100207,5421
JORASANKO,S25165,47071,Bharatiya Janata Party,52868,5797
NABAGRAM,S2565,72820,Bharatiya Janata Party,78739,5919
TOLLYGANJ,S25152,82394,Bharatiya Janata Party,88407,6013
NAYAGRAM,S25220,94433,Bharatiya Janata Party,100857,6424
BHATAR,S25267,92292,Bharatiya Janata Party,98820,6528
JAGATBALLAVPUR,S25183,108937,Bharatiya Janata Party,115608,6671
MEMARI,S25265,99322,Bharatiya Janata Party,106428,7106
SAGAR,S25132,119921,Bharatiya Janata Party,127802,7881
SREERAMPUR,S25186,76959,Bharatiya Janata Party,85644,8685
PATASHPUR,S25212,107538,Bharatiya Janata Party,116589,9051
KUSHMANDI,S2537,88374,Bharatiya Janata Party,97437,9063
KHARGRAM,S2566,68415,Bharatiya Janata Party,77748,9333
ASHOKNAGAR,S25101,87399,Bharatiya Janata Party,96807,9408
NANDIGRAM,S25210,117636,Bharatiya Janata Party,127301,9665
SONARPUR UTTAR,S25151,110017,Bharatiya Janata Party,119824,9807
